PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
29 November 2018,1 of 144 DOCUMENTS,Austin American-Statesman (Texas),POLITIFACT; Cold spells don't negate climate change big picture,John Kruzel PolitiFact.com,TX NEWS; Pg. A2,,592 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,global,temperature,drop,climate,Pletka,biggest,scientist,we,claim,2016,last,change,tell,average,trend,coldest,part,false,climatologist,article,event,degree,NASA,two_year,human,go,know,cool,1980,100,misleading,data,show,time,2017,warmest,record,take,place,february,c.,term,understanding,anything,long_term,Climate,impact,uncheck,warming,inflict,devastating,effect,environment,economy,public,health,warn,government,report,week,hear,national,assessment,blare,distress,call,other,less,alar,meet,press,foreign,policy,expert,conservative,allow,happen,hasten,add,cause,fact,main,contributor,argue,issue,subject,hysteria,certain,weather,phenomena,period,overlook,mainstream,media,narrative,need,recognize,talk,agenda
,9,9,8,7,7,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14 December 2018,5 of 144 DOCUMENTS,Austin American-Statesman (Texas),Harvey report warns of changing climate; But state report avoids the term 'climate change',Asher Price asherprice@statesman.com,TX NEWS; Pg. A1,,953 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,report,climate,state,change,Texas,hurricane,disaster,water,future,intense,increase,community,flood,property,thursday,term,use,include,scientific,make,decade,agency,Abbott,new,warn,building,business,infrastructure,call,gulf,accord,storm,texas,good,policy,system,dozen,except,papers,scientist,warming,lead,carbon,emission,note,rise,sea,level,event,point,amount,river,management,plan,board,cost,billion,cause,home,destroy,evacuate,damage,recommendation,base,emergency,many,estimate,reimbursement,spend,local,fund,tax,Hurricane_Harvey,Rebuild_Texas,Austin,Harvey_related,devastation,wring,construct,barrier,bolster,wetland,buy,homeowner,plain,encourage,owner,raise,floor,exist,add,waterproof,veneer,ahead,enormous,toll,individual,public,provide
,14,10,9,9,8,7,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 23, 2018 Tuesday",8 of 144 DOCUMENTS,Austin American-Statesman (Texas),Community news,American-Statesman Staff,METR; Pg. B2,,785 words,,,"January 23, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,city,flood,event,permit,change,use,recycl,map,deadline,AMERICAN_STATESMAN,announce,temporary,include,resident,discuss,pickup,league,county,march,sound,public,certificate,information,climate,program,bin,start,home,thursday,trash,per,wine,festival,base,type,amplify,due,structure,portion,assembly,occupancy,austintexas.gov,tuesday,p.m.,st,take,federal,curbside,beginning,feb,normal,week,cost,2.50,preliminary,available,comment,hazard,area,place,annual,beer,feature,Austin,STAFF,vendor,venue,organizer,apply,2018,spring,season,request,multiple,single,need,outdoor,parkland,right,way,location,parking,lot,patio,require,fire,code,definition,people,typically,involve,property,otherwise,exist,site,plan,specialevent,citystage,talk
,8,8,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25 November 2018,10 of 144 DOCUMENTS,Austin American-Statesman (Texas),Thank you for sharing Tessa Brown's story,,TX OPINION; Pg. A27,,527 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,change,thank,taxi,pickup,special,climate,time,think,spot,together,value,company,contract,American,story,nov,article,bear,leg,learn,swim,well,always,need,wonderful,people,make,joyful,idea,walk,luggage,extra,600,foot,take,location,we,passenger,taxis,soul,fire,tall,live,nation,join,government,work,commitment,job,Tessa_Brown,Austin,share,ymca,adaptive,program,help,girl,without,feeling,surge,overwhelming,gratitude,look,around,thanksgiving,publish,spirit,talent,loving,family,every,place,possible,arm,end,elbow,mermaid,pool,find,mary,ley,unnecessary,move,new,airport,travel,elevator,eliminate,al,traveler,bus,bicycle,scooter,reduce,traffic,congestion,wife,fly,dedicated
,7,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5 December 2018,11 of 144 DOCUMENTS,Austin American-Statesman (Texas),you say,,TX OPINION; Pg. A11,,423 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,school,funding,pass,child,start,go,change,nov,republican,climate,chance,formula,student,government,prosecutor,agree,bill,commentary,ignore,dire,report,three,restriction,sooner,Travis_County,Austin,United_Nations,House,Energy_Innovation,Carbon_Dividend_Act,Green_New_Deal,give,every,require,type,education,however,equal,rely,heavily,property,tax,therefore,live,area,little,inequality,create,cycle,immediately,minimum,wage,job,without,college,afford,family,barely,make,force,income,think,struggle,life,simply,fund,properly,donate,charity,write,letter,anything,possibly,shed,light,issue,must,dream,problem,article,deal,officer,controversial,arrest,vow,never,police,violate,folk,civil,rights,appeal,latest,film,transgression,cop,prosecute,perfect,thanks
,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 25, 2018 Wednesday",12 of 144 DOCUMENTS,Austin American-Statesman (Texas),Texas oil regulator: Science not settled on global warming,Asher Price American-Statesman Staff,METR; Pg. B5,,576 words,,,"April 25, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,climate,know,gas,science,scientist,greenhouse,impact,way,question,Christian,oil,dioxide,tell,increase,Texas,man_made,hold,whether,harmful,2016,state,make,opinion,piece,warming,much,write,never,â,time,energy,temperature,degree,scientific,fact,carbon,activity,remain,Texas_Tribune,American_Statesman,contrary,widely,conclusion,senior,official,regulatory,agency,tuesday,wayne,christian,republican,elect,oversee,operation,comment,act,trap,heat,sun,atmosphere,accord,lead,planet,campaign,contribution,industry,real,settle,politicization,related,attempt,academia,mainstream,media,shame,denier,wrong,dangerous,democracy,need,set,politics,aside,courage,admit,importantly,continue,billion,human,being,access,enough,electricity,result,shorter,difficult,life,we,civilization
,11,8,7,6,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7 December 2018,18 of 144 DOCUMENTS,Austin American-Statesman (Texas),Texan confirmed to energy panel,Maria Recio AmericanStatesman correspondent,TX NEWS; Pg. A4,,591 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,McNamee,energy,support,vote,fuel,video,climate,take,view,committee,fossil,make,nomination,mcnamee,work,understand,speech,Mr.,FERC,commission,policy,floor,sen,role,express,real,renewable,change,cite,benefit,attorney,wednesday,independent,commissioner,impact,human,U.S.,Senate,Schumer,Wyden,Senate_Energy,Natural_Resources_Committee,Texas_Public_Policy_Foundation,Texas,Manchin,senate,thursday,approve,texan,join,federal,regulatory,voting,along,party,line,revealing,deep,fissure,among,lawmaker,administration,democrat,stand,nominee,sharply,criticize,joe,manchin,switch,environmental,activist,seek,oppose,secure,senior,competitor,thought,zealot,false,claim,clean,technology,label,organized,propaganda,booster,supporter,tyranny,warn,confirm,someone,regressive,experience,extreme,critical,plan,author,bail
,9,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27 December 2018,20 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Smith retires after 32 years in Congress; Smith, long a bete noire of liberal Austin, has served for 32 years San Antonio Republican, for years a bete noire of liberal Austin, has served in Congress for more than three decades",Asher Price asherprice@statesman.com,TX NEWS; Pg. A1,,1217 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,Smith,scientist,EPA,science,climate,committee,member,scientific,board,vote,smith,congressional,might,conservative,tell,spend,time,regulation,portrait,agenda,campaign,industry,lobbyist,law,agency,last,work,research,panel,statesman,serve,U.S.,Trump,House,rep.,lamar,constituent,represent,good,voter,district,draw,republican,many,tenure,end,tough,election,think,obvious,family,extreme,life,sort,fact,long,question,president,future,conflict,painting,cost,least,list,donor,include,recording,company,favor,association,federal,oversight,pass,office,flat,earth,award,accuse,2017,call,far,fewer,though,increase,balance,expert,never,grant,high,legislative,regret,deficit,still,roy,lobbying,U.S._House,Austin_area,Austin,South_Austin
,26,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20 December 2018,24 of 144 DOCUMENTS,Austin American-Statesman (Texas),Single-use plastic bags a luxury we don't need,,TX OPINION; Pg. A5,,671 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
