PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 25, 1997",2 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Global warming threatens parks, report warns",,News; Pg. A14,,350 words,,,"June 25, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,national,park,global,warming,report,*,study,effect,group,wildlife,area,glacier,everglade,change,climate,forest,meadow,already,surface,become,largely,overlook,potentially,alarming,development,debate,release,tuesday,respected,environmental,warn,increase,temperature,threaten,height,seashore,bring,noticeable,shift,wildflower,sea,shorebird,number,accord,world,fund,add,new,home,element,pressure,put,administration,restrict,emission,greenhouse,gas,merely,future,impact,faraway,place,sign,detect,back,yard,alarmingly,many,cherish,natural,clearly,feeling,draw,skeptical,response,director,tion,question,existence,feel,science,still,much,doubt,among,predict,beginning,vake,fame,alpine,retreat,document,melting,permafrost,beneath,land,sinkhole,unable,support
,5,5,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 2, 1997",8 of 217 DOCUMENTS,Austin American-Statesman (Texas),Warming ocean menaces Pacific island nations; Residents fear seas,NICHOLAS D. KRISTOF,News; Pg. A13,,495 words,,,"March 3, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,rise,country,cause,seas,island,global,warming,might,people,million,gas,Kiribati,Marshall_Islands,tide,higher,home,nation,never,another,go,sea,include,change,study,ocean,perhaps,water,existence,link,Abeta,Tuvalu,Pacific,Bangladesh,sunny,january,stand,watch,high,roll,turquoise,lagoon,stop,typhoon,rain,wind,eerie,lap,swallow,roof,score,other,pacific,happen,wear,colorful,skirtlike,garment,sit,raise,platform,boy,tidal,surge,follow,february,flooding,help,focus,mind,warning,enough,next,century,obliterate,likely,maldive,many,lose,much,territory,danger,total,submersion,population,tiny,"75,000","10,000",live,number,pale,beside,150,refuge,worldwide,forecast,result,climate,2050,accord
,7,7,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 11, 1997",17 of 217 DOCUMENTS,Austin American-Statesman (Texas),Global warming debates heat up; Controversial issue - puts scientific,BY DAVID L. CHANDLER,News; Pg. A7,,635 words,,,"December 12, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,warming,record,satellite,may,show,climate,temperature,global,change,real,computer,next,degree,heat,threat,scientific,researcher,environmentalist,tend,exaggerate,side,skeptic,far,lead,extreme,view,need,agreement,climatologist,occur,century,project,1.5,perhaps,evidence,greenhouse,data,argue,sign,rise,model,action,possibility,uncertainty,Celsius,Trenberth,war,word,rage,nation,biggest,loser,objectivity,caution,try,responsible,nobody,listen,specialize,simulation,future,rhetoric,strong,trenberth,somewhere,nonalign,middle,wish,talk,go,away,scientist,concentrate,science,alone,specialist,decline,interview,controversial,reality,severe,media,encourage,disagreement,shun,coverage,less,spread,dissension,think,actually,lot,appear,long,question,high,estimate,much,example
,13,8,7,6,6,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 23, 1997",21 of 217 DOCUMENTS,Austin American-Statesman (Texas),Predicting El Nino an inexact science; Usually reliable computer,ALEXANDRA WITZE,News; Pg. A39,,592 words,,,"November 23, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,el,nino,model,climate,scientist,predict,Cane,researcher,event,prediction,information,much,miss,try,1997,early,might,know,develop,wind,power,every,water,better,face,ago,able,sign,happen,bring,earth,step,harder,speed,direction,make,kind,worldwide,computer,whether,center,use,ocean,usually,work,pretty,still,particular,affect,interaction,different,differently,warm,n.m.,warning,flood,drought,climatic,disaster,hard,spend,career,elusive,phenomenon,spot,telltale,tell,november,1996,winter,surprisingly,foresee,powerfully,churn,reliable,decade,completely,creator,report,last,week,workshop,system,predictability,blow,climatologist,observatory,n.y,seem,limit,matter,smart,think,several,other,modeler,study,temperature,height
,18,18,9,8,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
