PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 31, 1998",3 of 177 DOCUMENTS,Austin American-Statesman (Texas),Antarctic drilling turns up shellfish; The fossils and algae tell of,RAY LILLEY,News; Pg. A22,,468 words,,,"February 2, 1998",ENGLISH,,,,,,,Copyright 1998 The Austin American-Statesman
,Antarctic,climate,ice,find,shell,million,ago,study,global,scientist,indicate,change,bed,warming,period,new,New_Zealand,Antarctica,shellfish,species,seab,warmer,project,coastal,believe,sea,history,clue,may,help,whether,glacial,take,algal,seaweed,environment,form,different,mollusk,debate,sheet,Ross_Sea,Barrett,Wellington,Pleistocene,Pliocene,dozen,kind,fossil,previously,unknown,alga,friday,discovery,degree,1.2,1.8,geology,professor,peter,barrett,coordinator,drilling,climatic,rock,core,"1,500",foot,unlock,offer,earlier,antarctic,warm,spell,predict,world,level,controversy,present,budd,recent,epoch,together,run,5.3,"10,000",major,hardly,ever,enormous,variety,something,type,alone,thick,layer,contain,barnacle,coral
,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 12, 1998",5 of 177 DOCUMENTS,Austin American-Statesman (Texas),Experts pry into oyster mystery ; Bacteria's likely accomplice is,Dick Stanley,Metro/State; Pg. B1,,715 words,,,"July 13, 1998",ENGLISH,,,,,,,Copyright 1998 The Austin American-Statesman
,oyster,outbreak,cause,raw,bacteria,water,health,el,nio,warming,Texas,Vibrio,eat,associate,authority,normal,parahaemolyticus,bacterium,global,illness,risk,kill,increase,cholera,Galveston_Bay,may,certain,people,coastal,warmer,heat,bay,apparently,warm,related,investigator,temperature,change,degree,alga,document,recent,occur,least,unusual,Health,Masarang,Japan,federal,never,gulf,sicken,300,reason,unprecedented,history,simple,multiply,answer,range,wave,texan,endure,linger,effect,early,manifestation,discuss,chief,bureau,laboratory,investigate,particular,way,ty,moment,except,general,harvester,voluntarily,cease,production,june,learn,recall,shell,threat,fry,baked,cooking,level,begin,divide,faster,rate,university,microbiologist,specialize,number
,10,10,8,7,6,6,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 1, 1998",15 of 177 DOCUMENTS,Austin American-Statesman (Texas),La Nia v. El Nio: Winter is the prize,Dick Stanley,Metro/State; Pg. B1,,677 words,,,"October 6, 1998",ENGLISH,,,NASAA satellite image shows the dueling warm (red) and cold (blue) areas in the Pacific Ocean.,,,,Copyright 1998 The Austin American-Statesman
,la,nia,water,winter,cold,spring,el,nio,climate,last,rain,area,warm,dry,condition,researcher,Texas,late,eastern,effect,weather,normal,pacific,june,satellite,sea,level,chamber,heavy,april,equatorial,global,temperature,strengthen,mean,mild,opposite,farmer,settle,summer,happen,prevail,return,scientist,long,name,century,give,thing,seem,prediction,monitor,data,situation,observation,predict,period,duration,service,august,phenomena,move,eastward,week,however,Southwest,La_Nia,Pacific,thanks,september,grass,greener,turn,brown,stay,way,duel,reach,conclusion,winner,influence,affect,rainfall,wind,pattern,across,everywhere,else,expect,victorious,extend,generally,word,region,experience,cool,wet,early,lose
,10,10,9,9,8,7,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 8, 1998",22 of 177 DOCUMENTS,Austin American-Statesman (Texas),Satellite may give global warming clues,Dick Stanley,Metro/State; Pg. B1,,638 words,,,"December 18, 1998",ENGLISH,,,UT's R. Steven Nerem led a team that found a possible way to measure the early stages of global warming.,,,,Copyright 1998 The Austin American-Statesman
,el,nio,satellite,warming,sea,ocean,global,level,change,effect,detect,scientist,topex,poseidon,measurement,Texas,world,expect,researcher,cause,climate,rise,may,team,monitor,engineer,data,find,tropical,pacific,dub,1997,average,normal,understanding,variation,nerem,assistant,professor,research,develop,emission,fear,although,treaty,continue,observe,part,heat,sort,need,call,sea_level,able,stage,tiny,shift,warmer,bring,accord,conclusion,base,successful,announce,monday,university,annual,meeting,analysis,radar,weathermaker,apparently,begin,raising,worldwide,march,show,peak,inch,higher,november,return,july,important,respect,steven,ut,aerospace,engineering,lead,forecast,helpful,achieve,political,consensus,among,country,reduce,burn
,8,8,7,7,7,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 31, 1998",25 of 177 DOCUMENTS,Austin American-Statesman (Texas),"He Can Keep A Secret; Ballard's homemade buoy, a Coke can, keeps the",Mike Leggett,Sports; Pg. C9,,988 words,,,"June 2, 1998",ENGLISH,,,"GET ON BOARD; Bene Ballard, left, fights a largemouth bass that was holding in about 18 feet of water on Fayette County Resservoir and then hauls it in. Ballard, a full-time guide on the lake, says the keys to catching summer fish at Fayette are reading bottom contour and keeping the lure in the strike zone. // Sure looks like a Coke can. And it is. Once in the water, it's a clever way for Ballard to disguise his fishing spots. // This Fayette County bass was caught on a Carolina-rigged, Fry Assassin lure.",,,,Copyright 1998 The Austin American-Statesman
,fish,Ballard,bass,hold,water,lake,fishing,Fayette_County,catch,temperature,many,lure,thermocline,bottom,change,people,lot,spot,time,slot,summer,foot,boat,line,right,set,drop,have,use,think,little,worm,inch,go,best,degree,keep,zone,structure,along,jig,gene,ballard,marker,bouy,guide,brush,allow,heavy,wind,circle,back,around,within,represent,largemouth,mark,way,extreme,head,tail,body,release,abundant,another,surface,might,call,number,may,reach,limit,raise,end,size,move,deeper,comfortable,contour,strike,sometimes,subtle,look,suspend,spoon,crankbait,oxygen,level,comfort,small,homemade,coke,fill,inject,foam,wrap,monofilament,gunwale,gently
,19,13,11,9,9,8,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
"April 11, 1998",31 of 177 DOCUMENTS,Austin American-Statesman (Texas),Hurricane meeting spawns hot debate on global warming,MICHAEL CABBAGE,News; Pg. A20,,479 words,,,"April 13, 1998",ENGLISH,,,,,,,Copyright 1998 The Austin American-Statesman
