PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 30, 1999, Saturday",1 of 144 DOCUMENTS,Austin American-Statesman (Texas),Earth's no stranger to quick climate shifts,Paul Recer,News; Pg. A2,,474 words,,,"November 1, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,change,ice,temperature,climate,study,warming,warm,Earth,Greenland,age,end,suggest,decade,global,gas,much,may,sudden,greenhouse,carbon,dioxide,Severinghaus,thousand,new,publish,friday,world,happen,expert,p.,severinghaus,trap,last,abrupt,increase,still,take,scientist,effect,might,tans,many,cause,core,OKokay,grip,abruptly,soar,accord,finding,prompt,fresh,concern,suddenly,method,analyze,show,air,rapidly,"15,000",ago,degree,lead,author,journal,science,within,couple,old,idea,find,faster,rapid,touch,surge,current,bring,melting,trend,vast,sheet,cover,hundred,recede,start,great,thaw,think,tippy,prone,stable,long,period,subject,right,condition,know,next,100
,9,8,7,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 12, 1999",4 of 144 DOCUMENTS,Austin American-Statesman (Texas),Bush sweats politics of dry weather; News conference on drought,Ken Herman,Metro/State; Pg. B6,,566 words,,,"March 12, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,Bush,warming,global,air,dring,governor,weather,hot,measure,may,presidential,standard,emission,clean,plant,Public_Citizen,warm,dry,bush,president,sure,look,something,go,summer,serious,need,mandatory,texan,think,issue,put,group,compassion,reduce,company,forth,Texas,Gore,Sierra_Club,early,time,gov,w.,sound,alarm,apparently,everything,sun,become,political,enough,another,prolong,spell,heel,1998,kill,crop,cause,fire,threaten,water,supplies,worst,ever,recall,life,1950,generally,acknowledge,rest,history,book,rewritten,right,unknowingly,steering,news,conference,politics,evidence,vice,al,gore,frontrunner,nomination,bother,ask,hard,ignore,last,sweat,environmental,ill,medicine,include,approval,international
,10,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 11, 1999, Sunday",13 of 144 DOCUMENTS,Austin American-Statesman (Texas),Mars' wrinkles unveiled//A space probe's malfunction leads to vivid new images revealing clues to planet's past,John Noble Wilford,Insight; Pg. H1,,1020 words,,,"April 11, 1999",ENGLISH,,,"New data from the Mars Global Surveyor spacecraft helped NASA detail this graphic, above, that shows the north pole of the red planet, top.  At right, a crater lies next to the summit of a small volcano, which has a slashlike vent that's more than a mile long.//The 1.6 mile Nanedi Valles indicates that flowing water had steadly eroded the channel deeper and deeper over a long period of time.",,,,Copyright 1999 The Austin American-Statesman
,picture,surface,water,scientist,planet,orbit,map,Mars,time,mission,much,channel,atmosphere,flow,mar,layer,early,surveyor,spacecraft,mile,view,Surveyor,canyon,history,volcanoe,gas,past,plan,example,reach,landing,take,appear,flood,erosion,period,think,wall,meander,warmer,river,plain,condition,life,today,cold,environment,landscape,previous,part,leave,calif,entire,intend,use,select,future,site,result,planetary,photography,provide,new,observation,local,lander,climate,conclude,show,thick,depth,geologist,lava,volcanic,size,warm,dry,sign,volcanism,sustain,valley,almost,ground,mainly,long,reservoir,deeper,pole,polar,Technology,Martian,better,focus,clearly,tower,mountain,tell,trace,belch
,10,10,10,7,7,7,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"July 19, 1999, Monday",15 of 144 DOCUMENTS,Austin American-Statesman (Texas),New places to measure city weather; Austin-Bergstrom's gauges record,Dick Stanley,Metro/State; Pg. B1,,557 words,,,"July 19, 1999",ENGLISH,,,"These weather instruments at Austin-Bergstrom International Airport are used by local meteorologists to help monitor weather conditions. //The automated weather system at Austin-Bergstrom airport, shown in these two photographs, records different readings than the weather station at Camp Mabry in West Austin.",,,,Copyright 1999 The Austin American-Statesman
,airport,Austin,old,new,set,Austin_Bergstrom,change,weather,standard,temperature,meteorologist,data,already,inch,go,gauge,figure,report,measurement,winter,forecast,number,climate,much,rain,automated,rainfall,become,degree,official,low,cold,coldest,better,record,help,service,still,city,however,people,ought,observation,use,weathercast,Texas,Austin_City,need,wait,global,warming,well,perception,least,instance,defunct,accord,international,local,news,media,increasingly,total,wetter,tend,1.5,annually,summer,hotter,really,notice,daily,plunge,ever,colder,elevation,foot,lower,air,gather,place,time,folk,watch,steal,cope,last,week,move,humidity,wind,central,know,distinguish,southeast,reference,climatological,acquisition,manager
,7,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
