PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 15, 2000, Tuesday",1 of 95 DOCUMENTS,Austin American-Statesman (Texas),Clue: You're getting warmer,,Editorial; Pg. A8,,475 words,,,"February 16, 2000",ENGLISH,,,,,,,Copyright 2000 The Austin American-Statesman
,state,world,warming,global,change,Texas,source,group,climate,country,gov,bush,report,power,texas,big,biggest,vulnerable,effect,cause,dring,flood,rise,beach,environmental,plan,release,fund,energy,create,coastal,already,information,Austin,Texans,'if,popular,introductory,phrase,amazing,economic,statistic,boom,fact,hardly,brag,seventh,gas,worsen,extremely,harm,greenhouse,vanish,endangered,water,supplies,international,w.,use,authority,give,1993,draft,cope,suggestion,governor,solution,contend,progress,compatible,week,wildlife,need,shift,reliance,clean,renewable,sun,wind,require,construction,building,retrofit,"84,000",job,2020,campaign,focus,another,charge,part,particularly,become,smaller,sea,level,significantly,contributor,environmentalist
,6,6,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 18, 2000, Tuesday",2 of 95 DOCUMENTS,Austin American-Statesman (Texas),Report: Earth may warm by 9 degrees,,News; Pg. A2,,351 words,,,"April 19, 2000",ENGLISH,,,"Colonel pleads guilty: U.S. Army Col. James Hiett and his wife, Laurie, leave federal court Monday in Brooklyn, where the former commander of U.S. anti-drug efforts in Colombia pleaded guilty to a federal charge.  He admitted that he knew his wife was laundering drug money but failed to turn her in.",,,,Copyright 2000 The Austin American-Statesman
,security,company,monday,airport,charge,felony,manager,black,race,human,influence,climate,degree,global,pay,federal,deny,promotion,commission,WASHINGTON,Agriculture_Department,early,draft,intently,await,report,show,being,discernibly,planet,surface,likely,warm,least,much,fahrenheit,end,21st,century,new,preliminary,analysis,release,international,collaboration,several,hundred,scientist,sponsor,world,meteorological,organization,contain,virtually,surprise,prospect,continue,warming,major,conclusion,1995,state,balance,evidence,suggest,discernible,fourteen,people,hire,past,search,bag,convict,include,aggravate,assault,robbery,theft,firearm,violation,government,filing,provide,corporate,parent,largest,provider,personnel,pleaded,guilty,agree,1.2,million,fine,cost,three,former,airlines,responsible
,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 8, 2000, Monday",4 of 95 DOCUMENTS,Austin American-Statesman (Texas),Scientists ready to try hurricane predictions; Technology helps,Bruce Taylor Seeman,News; Pg. A1,,901 words,,,"May 8, 2000",ENGLISH,,,"Gerald Bell, a meteorologist with the National Weather Service, helped uncover the links between water temperatures in the Pacific, rains in the tropics and winds swirling around the globe in the creation of hurricanes.",,,,Copyright 2000 The Austin American-Statesman
,hurricane,weather,forecast,season,wind,predict,storm,global,service,prediction,pattern,Atlantic,Gray,number,temperature,tropical,rainfall,analysis,computer,expect,last,meteorologist,past,pressure,data,1999,three,major,Bell,federal,climatologist,for,water,rain,tropic,around,globe,activity,government,release,seasonal,atmospheric,whether,condition,work,information,el,nio,historical,scientist,use,spawn,average,active,climate,six,many,take,seven,actually,gray,category,larger,connect,change,spokeswoman,give,idea,Pacific,West_Africa,wednesday,important,date,calendar,break,away,map,announcement,dangerous,pinpoint,city,risk,offer,rough,estimate,beneath,sketchy,detail,emerge,truth,forecaster,roil,seed,destruction,trace,swirl,nail,link,impact
,16,12,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 21, 2000, Friday",5 of 95 DOCUMENTS,Austin American-Statesman (Texas),Ocean oscillations could play havoc with weather,William K. Stevens,News; Pg. A2,,527 words,,,"January 21, 2000",ENGLISH,,,"In this satellite image taken the week of Jan. 8, the cool surface waters symptomatic of La Nia are represented by darker colors. North America is at upper right.",,,,Copyright 2000 The Austin American-Statesman
,pattern,weather,winter,temperature,el,pacific,ocean,nia,nio,la,last,predominate,natural,oscillation,set,eastern,tropical,cooler,occur,shift,sea_surface,change,make,much,alternate,scientist,base,water,satellite,climate,atmospheric,include,new,regime,event,flip,state,another,warmer,whether,United_States,Pasadena,North_America,Pacific,Patzert,likely,exhibit,unusual,warmth,sharp,cold,calif,report,wednesday,researcher,prevalent,might,find,calculation,movement,surface,varying,amount,heat,bear,measurement,instrument,topex,poseidon,earth,data,reflect,condition,sign,global,development,tie,directly,variation,chain,reaction,many,part,world,image,indeed,signal,beginning,climatic,fewer,weaker,nias,research,oceanographer,laboratory,phenomenon,know,normal,series
,8,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
