PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 26, 2001, Friday",1 of 81 DOCUMENTS,Austin American-Statesman (Texas),Environmental terrors,"Editorial Board, Austin American-Statesman",Editorial; Pg. A14,,392 words,,,"October 26, 2001",ENGLISH,,,,,,,Copyright 2001 The Austin American Statesman
,change,scientist,report,climate,air,attack,health,gulf,coast,make,Texas,inhal,pollute,likely,texan,government,global,damage,water,forest,decline,need,plan,university,union,concerned,life,take,lot,anthrax,anxiety,mount,may,worth,noting,far,prove,fatal,average,rogue,bacteria,spore,yet,surprisingly,difficult,mobilize,citizen,pollution,threat,prosperity,link,rather,problem,still,argue,whether,real,unless,way,quickly,expect,parade,horrible,cripple,economy,warn,group,new,predict,warming,profound,effect,state,include,shortage,disease,death,summer,heat,flood,coastal,erosion,appearance,unhappy,outlook,cotton,crop,tourism,lousy,fishing,loss,wildlife,habitat,list,think,issue,start,future,rice
,7,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 5, 2001, Saturday",2 of 81 DOCUMENTS,Austin American-Statesman (Texas),Warming to the subject,,Editorial; Pg. A16,,437 words,,,"May 7, 2001",ENGLISH,,,Gonzalo Barrientos // Kathy Ireland,,,,Copyright 2001 The Austin American-Statesman
,emission,set,Bush,climate,class,global,course,use,smile,week,bill,almost,desk,shot,anything,coupon,posting,site,list,item,call,101,series,warming,offer,select,member,w.,bush,administration,official,act,president,renounce,campaign,pledge,regulate,carbon,dioxide,action,controversial,contribute,greenhouse,effect,believe,raise,temperature,reason,help,adviser,devise,alternative,international,agreement,reduction,reject,last,early,session,crash,dr.,jame,hansen,government,expert,christmas,tree,bulb,warm,thing,accord,variety,scientist,economist,teach,diverse,view,seek,note,public,hope,home,schooling,prove,helpful,least,hard,passion,hate,crime,flare,fight,break,lend,protester,evict,cope,mechanism,adopt
,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 12, 2001, Tuesday",4 of 81 DOCUMENTS,Austin American-Statesman (Texas),"News Focus: GLobal Warming//President seeks new warming research,; Bush will have to defend his opposition to Kyoto treaty on trip to Europe","Ken Herman, American-Statesman Washington Staff",News; Pg. A2,,713 words,,,"June 12, 2001",ENGLISH,,,"A protester wearing a Bush mask joins in a demonstration against global warming in Tokyo on Saturday. The demonstrators demanded that Japan ratify the Kyoto Protocol, a 1997 treaty outlining steps to fight global warming. President Bush opposes the treaty but announced Monday that he plans to spend more money on research.",,,,Copyright 2001 The Austin American Statesman
,Bush,warming,emission,global,treaty,include,mandatory,study,greenhouse,world,gas,president,1997,cap,leader,believe,change,help,climate,know,policy,percent,European,United_States,monday,opposition,reasonable,people,back,effect,raise,temperature,trip,protester,national,nation,cut,scientist,cause,flaw,academy,remain,much,may,energy,increase,accord,carbon,dioxide,support,limit,produce,Kyoto_Protocol,Europe,Kyoto,unconvinced,science,far,announce,new,defend,aim,battle,unratified,pollutant,contribute,ahead,encounter,work,promise,spend,money,investigate,create,technology,initiative,pay,research,university,laboratory,pledge,million,build,observation,station,develop,propose,gaseous,planet,average,rise,slowly,begin,today,stop,meet,criticize,rejection,expect
,20,8,8,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 15, 2001, Friday",5 of 81 DOCUMENTS,Austin American-Statesman (Texas),"Bush, EU clash on global warming, Meanwhile, about 10,000 people join in largest protest since he began his European tour","Bob Deans, American-Statesman Washington Staff",News; Pg. A4,,560 words,,,"June 18, 2001",ENGLISH,,,"President Bush, left, and first lady Laura Bush were greeted Thursday by Swedish Crown Princess Victoria, along with Queen Silvia and King Carl XVI Gustaf, in Goteborg, Sweden. $138:ENGLISH",,,,Copyright 2001 The Austin American Statesman
,Bush,European,global,treaty,warming,agree,thursday,climate,go,leader,call,today,believe,president,counterpart,without,policy,change,summit,meet,police,demonstrator,people,city,rally,plan,part,tour,question,carbon,dioxide,many,country,Kyoto,Swedish,European_Union,U.S.,Warsaw,clash,european,move,implement,disagree,prime,minister,stick,ratification,process,choose,another,reiterate,objection,serious,issue,must,work,together,require,response,intensify,cooperation,science,technology,outside,riot,use,horse,attack,dog,battle,thousand,assail,conservative,arrest,200,night,reinforcement,saturday,continue,weeklong,take,earlier,estimate,"10,000",march,port,largest,begin,tuesday,dozen,drop,pants,wag,bare,bottom,toward,luxury,hotel,stay
,10,6,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
