PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 10, 2002, Monday",2 of 65 DOCUMENTS,Austin American-Statesman (Texas),What we can do to cut energy use,American-Statesman,Editorial; Pg. A10,,547 words,,,"June 10, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,energy,wind,fossil,fuel,air,source,power,take,alternative,though,solar,use,light,web,site,report,role,human,play,change,bush,debate,consumer,federal,look,number,good,leave,instead,rely,appliance,save,keep,bulb,footprint,Bush,Austin_Energy,last,week,administration,send,time,clearly,acknowledge,existence,global,warming,cause,phenomenon,burn,much,harm,already,do,president,nothing,except,adapt,onslaught,criticism,begin,conservative,liberal,alike,distance,finding,spokesman,ari,fleischer,fall,back,earlier,campaign,rhetoric,cite,uncertainty,science,climate,scientific,political,continue,however,need,wait,resolve,action,curb,foul,question,pollute,pollution,literally,drive,being,regulatory,commission,chairman,pat,wood
,11,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 14, 2002, Thursday",3 of 65 DOCUMENTS,Austin American-Statesman (Texas),Defend schoolchildren from board's 'revisions',,Editorial; Pg. A14,,675 words,,,"November 14, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,board,education,textbook,fact,warming,theory,book,member,college,Texas,Texas_Citizens,public,school,group,social,study,schoolchild,need,law,global,scientist,acid,rain,Sound_Economy,citizen,student,scholar,higher,bench,game,lose,today,friday,information,admission,put,kid,allow,review,erroneous,revision,describe,panel,issue,real,accord,majority,state,decade,power,edit,conservative,error,Education,University,academics,debate,bullying,publisher,exorcise,history,government,slated,institution,learn,warm,football,fourth,goal,star,player,child,schedule,approve,4.1,million,cleanse,texas,compete,nation,best,university,omission,blur,disadvantage,take,entrance,exam,medical,test,elect,happen,dumb,let,identify,therefore,subject,push,top
,10,7,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 2002, Sunday",4 of 65 DOCUMENTS,Austin American-Statesman (Texas),"With GOP in control, tax code targeted While some push for sweeping changes, Bush takes more cautious approach","Marilyn Geewax, WASHINGTON BUREAU",Business; Pg. H1,,1177 words,,,"December 1, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,tax,change,cut,credit,code,taxpayer,last,make,Congress,many,business,deficit,Bush,election,system,may,economy,major,child,2003,package,republican,control,give,new,income,big,economic,president,leader,next,permanent,law,break,take,lobbyist,increase,budget,cost,simple,deduction,simplification,use,expense,cent,gain,look,individual,political,goal,push,speed,effect,become,agenda,still,margin,manufacturer,difficult,quickly,reform,another,call,spend,security,people,growth,advocate,might,shrink,2004,director,office,estimate,future,dynamic,scoring,account,replace,additional,eliminate,health,willing,group,have,preparer,add,o'neill,fair,man,care,tuition,maximum,lifetime,learn,"10,000",rate,vehicle,tax_cut
,38,9,8,8,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 1, 2002, Tuesday",5 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Was 2001 warmer or cooler than average? Well, it depends; Austin-Bergstrom was cooler than normal Camp Mabry,warmer","Dick Stanley, American-Statesman Staff",Metro/State; Pg. B1,,1729 words,,,"January 2, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,degree,normal,airport,Camp_Mabry,temperature,dry,record,weather,rain,average,meteorologist,usual,sensor,november,Austin_Bergstrom,almost,july,inch,Austin,cooler,site,service,near,march,coldest,continue,2001,rainfall,high,warmer,national,representative,low,cold,beginning,aug,week,end,begin,cool,*,Mabry,Central_Texas,heart,depend,monthly,international,recording,area,side,cause,island,summer,9.2,database,though,difference,total,hot,find,august,long,city,despite,four,october,fall,flash,flood,life,10.51,may,wet,warm,0.4,9th,back,forecast,0.1,wettest,storm,blow,0.3,103,**,figure,base,Texas,West_Austin,Rose,globally,follow,suit,1.2,accord,ah,deep,place,new
,23,18,17,16,15,9,8,8,8,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
