PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 7, 2003, Saturday",1 of 90 DOCUMENTS,Austin American-Statesman (Texas),Global warming study sets off storm Nonprofits tied to energy industry question link between climate change and fossil fuels,"Jeff Nesmith, WASHINGTON BUREAU",News; Pg. A17,,1652 words,,,"June 8, 2003",ENGLISH,,,Willie Soon: Acknowledges that his study does not present a full picture of heat records. // Michael Mann: Researcher whose work led to prevailing views on warming.,,,,Copyright 2003 The Austin American Statesman
,study,climate,scientist,organization,global,former,center,warming,author,past,research,temperature,energy,interest,new,science,president,change,record,coal,o'keefe,statement,trend,decade,warm,period,paper,publish,group,institute,industry,century,present,release,provide,support,office,funding,Harvard_Smithsonian,Soon,Sherwood_Idso,nonprofit,promote,"1,000",medieval,link,money,1980,issue,news,include,proxy,indicator,rise,hockey,stick,evidence,scientific,current,oil,receive,other,conservative,20th,luncheon,declare,nearly,question,ExxonMobil_Foundation,Mann,prevail,view,contend,recent,claim,know,among,journal,illustrate,company,late,early,rely,create,do,ago,relative,call,graph,result,greenhouse,gas,fossil,fuel,time,several,dramatic,largest,foundation
,19,14,11,8,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 2, 2003, Thursday",3 of 90 DOCUMENTS,Austin American-Statesman (Texas),"Added findings point to warming Greenhouse effect on butterflies seen in other animals, plants","Dick Stanley, AMERICAN-STATESMAN STAFF",Metro/State; Pg. B1,,518 words,,,"January 2, 2003",ENGLISH,,,"Camille Parmesan // UT researcher Camille Parmesan, standing next to rooftop greenhouses at the campus after her original global warming findings came out, says her latest research reinforces those conclusions.",,,,Copyright 2003 The Austin American Statesman
,warming,global,study,average,butterfly,earlier,change,cause,species,find,range,Parmesan,plant,animal,northward,per,decade,researcher,result,evidence,economist,publish,issue,science,journal,analyze,breeding,bloom,spring,territorial,higher,temperature,climate,extreme,shift,normal,new,research,bird,Nature,American,university,make,headline,ago,finding,dwindle,number,tiny,controversial,phenomenon,affect,natural,world,time,integrative,biologist,team,provide,statistical,today,ges,well,gary,yohe,conn,hundred,last,move,elevation,response,small,increase,worldwide,contradiction,factor,habitat,destruction,possibly,underlying,still,overall,conclusion,link,general,second,review,"1,400",determine,percent,undergone,behavioral,likely,2000,paper,expert,n.c.,coordinate,historical
,7,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2003, Friday",4 of 90 DOCUMENTS,Austin American-Statesman (Texas),"Senate votes down emission caps Bush administration says mandates would raise utility, gas costs","Eric Pianin, WASHINGTON BUREAU",News; Pg. A6,,336 words,,,"November 3, 2003",ENGLISH,,,,,,,Copyright 2003 The Austin American Statesman
,bill,utility,industry,Senate,emission,sen,reject,mandatory,greenhouse,gas,global,warming,president,opposition,auto,people,reduction,underlying,high,support,major,industrial,legislation,many,climate,change,target,thursday,proposal,cap,congressional,test,political,sentiment,toward,take,office,vote,anticipate,face,strong,administration,oppose,drive,home,gasoline,price,majority,today,tell,carbon,dioxide,unacceptable,rightly,jame,inhofe,science,repudiate,economic,cost,far,environmental,benefit,nonexistent,however,proponent,hearten,republican,state,generally,run,predict,eventually,adopt,really,mean,country,interested,something,joseph,lieberman,assure,colleague,back,hold,refinery,2000,level,allow,company,buy,pollution,credit,lesser,polluter,meet,draw,drop,ambitious
,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 5, 2003, Wednesday",5 of 90 DOCUMENTS,Austin American-Statesman (Texas),"Chief justice appeals to end elections Partisan voting on judges hurts state, lawmakers are told","David Pasztor, AMERICAN-STATESMAN STAFF",Metro/State; Pg. B3,,498 words,,,"March 5, 2003",ENGLISH,,,"Texas Supreme Court Chief Justice Tom Phillips delivers his State of the Judiciary message to the Legislature on Tuesday.  Gov. Rick Perry, left, and House Speaker Tom Craddick, R-Midland, heard the Republican incumbent argue that the court system sullies Texas' reputation and business climate.",,,,Copyright 2003 The Austin American Statesman
,court,Phillips,state,change,judge,judicial,lawmaker,election,system,voter,appoint,governor,speech,ask,reputation,ballot,candidate,back,justice,elect,legislation,face,perhaps,official,include,session,appeal,end,partisan,pass,bill,constitutional,amendment,race,campaign,require,party,label,lose,resolution,approve,retain,might,Texas,Senate,chief,tom,phillips,tuesday,renew,call,way,throw,support,behind,nonpartisan,retention,whose,footnote,appendix,deliver,judiciary,address,joint,legislature,streamline,redraw,local,district,balance,workload,among,longtime,advocate,incumbent,argue,business,climate,sully,unseemly,selection,diminish,public,confidence,damage,throughout,country,across,world,discourage,able,lawyer,offer,service,tell,urge,legislator,allow,consider
,7,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
