PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 16, 2004 Wednesday",1 of 103 DOCUMENTS,Austin American-Statesman (Texas),Rising seas erode Britain's coastline; Climate change doesn't seem to be waiting until the day after tomorrow,"Don Melvin, INTERNATIONAL STAFF",NEWS; Pg. A17,,774 words,,,"July 18, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,sea,rise,report,Britain,global,warming,may,government,London,release,scientist,protect,flooding,level,problem,abandon,effort,coast,billion,threat,warn,might,city,foot,change,official,trust,recently,effect,country,lead,coastline,eat,away,threaten,expert,home,title,grow,retreat,part,study,go,century,warning,leader,security,write,head,weapon,terrorism,climate,area,inland,barrier,local,environmental,coordinate,policy,mile,National_Trust,British,climate_change,Samuels,Aberdeen_City_Council,point,movie,sudden,melt,polar,ice,cap,extent,tide,five,story,high,crash,less,visually,spectacular,believe,horrifying,perhaps,fact,rather,fiction,island,nation,shrink,private,charity,buys,shoreline,countryside,stretch,simply,wait,assortment
,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2004 Tuesday",2 of 103 DOCUMENTS,Austin American-Statesman (Texas),"Global warming tied to ecological changes, scientists conclude","Jeff Nesmith, WASHINGTON BUREAU",NEWS; Pg. A4,,396 words,,,"November 15, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,study,change,show,report,warming,strong,evidence,global,scientist,conclude,climate,polar,United_States,coast,scientific,link,temperature,buildup,greenhouse,gas,release,trend,nation,University,heat_trapping,Parmesan,florida,nature,indicator,monday,biologist,observe,ecological,half,state,satellite,data,century,record,overall,increase,parallel,atmosphere,ecologist,grow,specific,able,happen,everyone,back,yard,case,cause,plant,animal,shift,habitat,northward,other,timing,natural,cycle,alter,individual,species,review,due,local,add,coincide,massive,international,region,twice,fast,rest,planet,mark,melting,glacier,shrink,sea,ice,climatic,turn,solid,ground,swamp,accord,association,six,indigenous,group,eight,territory,inside,include,point,time
,6,6,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 26, 2004 Sunday",3 of 103 DOCUMENTS,Austin American-Statesman (Texas),Bush may face stiff opposition to tax changes; Political climate not promising for president's push to overhaul code,"Marilyn Geewax, WASHINGTON BUREAU",NEWS; Pg. A1,,1551 words,,,"December 26, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,tax,Bush,change,income,make,Congress,code,deduction,president,White_House,group,sen,sale,state,cut,billion,individual,bush,take,revenue,local,legislation,work,system,economic,interest,conservative,bill,effort,promote,already,likely,must,law,eliminate,commission,Former,push,americans,last,recommend,might,lobbyist,support,replace,national,account,deficit,break,goal,save,people,purpose,member,business,expect,recommendation,develop,chairman,rep.,chair,Republican,next,cause,public,simpler,argue,complicated,news,conference,week,appoint,panel,way,political,help,major,term,dramatic,build,loophole,exist,well,mean,dollar,reward,back,reform,separate,security,ago,start,include,regardless,use,pay,fiscal,keep,worsen
,57,20,12,11,10,10,9,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 9, 2004 Thursday",5 of 103 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AMERICAN-STATESMAN STAFF,EDITORIAL; Pg. A10,,1140 words,,,"September 12, 2004",ENGLISH,,,Mike Harris,,,Newspaper,Copyright 2004 The Austin American Statesman
,president,chocolate,sign,steal,take,science,change,editorial,administration,climate,political,cartoon,2001,bush,put,think,might,run,report,austin,liberal,neighbor,old,freedom,go,reversal,technology,page,best,million,American_Statesman,American,sargent,sept,bracelet,leave,side,flag,watch,republican,feel,9/11,unbiased,illustrate,optimism,provide,position,aug,note,little,yard,four,replacement,house,keep,stand,food,new,shame,energy,recent,research,greenhouse,gas,human,activity,increase,due,speech,time,office,ever,people,poverty,Ben_Sargent,Clinton,Almond,Austin,Statesman,Bush,right,target,thank,much,april,2002,wear,arm,memory,september,vote,november,former,mayor,rudolph,giuliani,convention,sit,couch
,8,8,7,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 8, 2004 Monday",8 of 103 DOCUMENTS,Austin American-Statesman (Texas),Reforming universities to save the environment,"Jay Banner, Nelson Guda, LOCAL CONTRIBUTORS",EDITORIAL; Pg. A11,,867 words,,,"November 10, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,water,university,problem,resource,include,new,student,interdisciplinary,science,program,need,discipline,environmental,exist,research,change,answer,question,future,beyond,graduate,knowledge,public,education,address,Texas,particularly,shortage,century,flow,little,billion,people,face,recently,use,within,challenge,drive,balance,continue,ability,educate,perspective,professor,academic,engagement,different,complex,engineering,choose,must,bring,department,agency,require,support,institute,approach,outreach,degree,training,faculty,cost,director,critical,natural,around,world,texas,fragile,history,replete,account,affect,19th,settler,1930,dring,1950,fail,gulf,2002,populate,planet,today,surpass,6.4,issue,severe,widespread,estimate,waterborne,disease,cause,million,death,2025,three
,12,7,6,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 18, 2004, Sunday",9 of 103 DOCUMENTS,Austin American-Statesman (Texas),"It's showtime For California's business leaders, Schwarzenegger's promised reforms might not come soon enough","Bob Keefe, WEST COAST BUREAU",Business; Pg. J1,,1242 words,,,"January 18, 2004",ENGLISH,,,"After being sworn in as governor in November, one of Arnold Schwarzenegger's first stops was to speak to the California Chamber of Commerce at the Sacramento Convention Center. He has pledged to make California more hospitable to business, and he's got fewer than three years to produce results. // Gov. Arnold Schwarzenegger watches eighth-grader Lauren Chanecka work on a computer at Sacramento's Sutter Middle School on Jan. 8. His budget plan has more than $4 billion in education and social program cuts but few direct negatives for companies. // Patrons of a Venice Beach bar in Los Angeles watch California Gov. Arnold Schwarzenegger give his first State of the State address Jan. 6. 'I am going to become California's job czar,' he said.CHANGE: Governor's 1st hurdle: workers' comp reform",,,,Copyright 2004 The Austin American Statesman
,state,California,business,company,economy,Schwarzenegger,take,go,make,nation,think,time,percent,Peterson,last,worker,move,reform,many,much,still,start,compensation,soar,pledge,long,three,recall,climate,biggest,chamber,people,good,lot,country,budget,plan,job,economic,market,Austin,everything,bill,million,area,can,movie,campaign,election,former,office,far,businesspeople,though,negger,commercial,real,estate,almost,big,economist,turn,around,cut,program,fee,college,next,legislature,referendum,really,acknowledge,actually,recent,flock,away,rate,highest,unemployment,fact,housing,crisis,power,center,invest,right,Arizona,Commerce,Silicon_Valley,Texas,Levy,diego,bear,raise,metal,fabricating,furniture,bar,prison
,23,21,14,7,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
