PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 2, 2005 Wednesday",1 of 83 DOCUMENTS,Austin American-Statesman (Texas),Just how warm does our planet have to get?,"Kate Galbraith, LOCAL CONTRIBUTOR",EDITORIAL; Pg. A13,,723 words,,,"November 2, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,emission,warming,record,take,global,greenhouse,gas,need,climate,change,due,hurricane,start,something,power,scientist,recent,Austin,talk,weather,run,name,last,storm,hottest,2003,many,president,promise,work,carbon,plant,seriously,happen,save,whether,much,report,2001,rise,temperature,write,require,company,polluter,trading,world,reduce,americans,state,vehicle,time,right,without,Atlantic,Europe,anyone,notice,fall,place,fleeting,glory,season,busiest,meteorological,guy,assign,letter,properly,strongest,ever,2005,course,measurement,begin,round,top,five,1998,2002,2004,sweat,september,superlative,politician,office,curb,dioxide,major,nothing,introduction,laughable,voluntary,program,justified,inaction,learn,really,cause
,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 11, 2005 Sunday",2 of 83 DOCUMENTS,Austin American-Statesman (Texas),Holland vigilant against flooding; Dutch have long taken danger of rising waters seriously,"Don Melvin, INTERNATIONAL STAFF",NEWS; Pg. A15,,763 words,,,"September 12, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,sea,country,rise,level,government,water,climate,change,river,Dutch,side,storm,flood,have,defense,Netherlands,structure,seas,protect,take,spend,million,rain,sink,low_lying,New_Orleans,Maeslant_Barrier,Holland,Marchand,either,city,lie,wall,call,design,inhabitant,surge,foot,people,decade,begin,pay,effect,much,dike,dune,often,area,fall,ground,good,soil,face,consequence,average,billion,next,severe,expect,every,close,far,less,Rotterdam,Cornelisse,estuary,lead,populous,steel,size,affix,tower,base,event,catastrophically,rotate,tip,cause,meet,middle,waterway,form,dam,"600,000",high,mean,chance,kind,devastation,ravage,spur,memory,1953,kill,"1,800",gravely,concerned,800,build
,9,8,6,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 15, 2005 Wednesday",5 of 83 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A10,,1151 words,,,"August 14, 2005",ENGLISH,,,Iraqi forces in the Hussein Brigade arrested 60 suspected insurgents in two days last week. Some of the suspects were paraded at a base in southern Baghdad.,,,Newspaper,Copyright 2005 The Austin American Statesman
,report,police,people,officer,world,gay,june,citizen,fight,Austin,gulag,go,austin,many,line,prisoner,war,man,protect,board,pay,climate,administration,issue,change,problem,abuse,letter,writer,country,leave,draft,allow,cost,much,toll,road,improve,JOHN,continue,use,front,show,former,attitude,monitor,allegation,misconduct,young,lie,association,act,work,department,brother,time,stand,review,sure,article,official,policy,government,emission,warming,cause,action,reduce,senator,airline,executive,afford,example,fund,spend,call,veterans,recruiting,state,consider,understand,attempt,discrimination,tax,failure,military,without,might,soldier,plan,travel,idea,image,public,relation,campaign,try,americans,rest
,8,8,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 9, 2005 Thursday",6 of 83 DOCUMENTS,Austin American-Statesman (Texas),Spinning science,AMERICAN-STATESMAN STAFF,EDITORIAL; Pg. A12,,367 words,,,"August 16, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,scientific,global,warming,administration,add,change,Cooney,spin,issue,data,report,climate,help,effort,greenhouse,gas,editing,political,science,clear,emission,action,people,White_House,international,need,thorough,vet,become,routine,official,accord,chief,view,research,join,top,lobbyist,fight,limit,blame,often,amount,doubt,none,article,example,sentence,many,observation,indicate,undergo,period,relatively,rapid,word,may,nothing,new,study,troublesome,stand,make,week,academy,country,include,release,letter,state,lead,inescapable,conclusion,something,must,do,curb,harmful,part,understanding,sufficiently,justify,nation,take,prompt,seem,indisputable,around,world,uncertainty,exist,enough,postpone,reduce,carbon,dioxide,destructive,planet,build
,6,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
