PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 23, 2006 Sunday",1 of 97 DOCUMENTS,Austin American-Statesman (Texas),WARMING SIGNS,Brad Buchholz AMERICAN-STATESMAN STAFF,INSIGHT; Pg. H01,,2698 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,go,change,warming,people,have,species,climate,global,butterfly,think,coral,life,warm,thing,lot,bear,response,human,temperature,degree,happen,percent,mean,every,greenhouse,really,world,Parmesan,live,time,talk,effect,polar,glacier,ocean,make,tree,hurricane,can,know,poor,take,million,actually,reef,sea,animal,habitat,lose,high,way,food,place,checkerspot,show,many,rise,point,last,gass,water,little,nation,better,everything,nature,need,power,ground,oh,native,planet,definitely,question,might,depress,almost,papers,lecture,move,ice,die,range,event,new,100,cover,frog,melting,absolutely,average,start,put,expect,four,warmer,evolve,basically,urban
,34,21,13,13,13,12,12,11,10,10,10,9,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"April 10, 2006 Monday",2 of 97 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A08,,998 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,life,immigration,country,global,warming,run,help,work,sing,need,face,cause,better,people,environmentalist,population,science,U.S.,Mexico,English,issue,change,put,mary,million,border,make,job,natural,resource,time,stay,home,problem,immigrant,simple,clear,intend,become,wrap,l.,environment,drive,growth,every,have,republican,former,resign,move,step,lead,warm,largest,look,go,austin,human,factor,letter,contamination,crowd,stop,girl,join,United_States,America,Congress,Earth,capture,humanity,excel,photojournalism,expression,rapture,depict,picture,runner,cast,holy,light,upon,law,angelic,contrast,background,feather,colorful,streamer,appear,portraiture,warrior,god,click,camera,halo,archangel,testament,laid
,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 26, 2006 Thursday",6 of 97 DOCUMENTS,Austin American-Statesman (Texas),UT counting on another victory with Champion; Center installing faster IBM supercomputer to help with work on global climate change,"Kirk Ladendorf, AMERICAN-STATESMAN STAFF",BUSINESS; Pg. D1,,782 words,,,"January 27, 2006",ENGLISH,,,"Tommy Minyard, assistant director at UT's Texas Advanced Computing Center, works with the university's newest supercomputer, named Champion in recognition of the football team's Rose Bowl win. The computer, which replaces an existing IBM Corp. machine, will be available to researchers by the end of March. IBM's Champion will replace Longhorn, right, a Power4-based machine with 224 processors and peak performance of 1.16 trillion operations per second.",,,Newspaper,Copyright 2006 The Austin American Statesman
,computer,machine,researcher,performance,ut,supercomputer,per,new,second,peak,compute,processor,IBM,operation,billion,large,system,center,champion,run,school,use,maker,ibm,old,nickname,name,develop,microprocessor,box,expect,730,fit,size,replace,engineering,change,map,important,mass,variety,research,director,testing,top,begin,advanced,sell,psery,efficient,typically,give,rack,sale,price,university,feedback,cluster,trillion,UT,Earth,Minyard,look,far,primarily,dub,victorious,rise,bowl,football,team,austin,bet,score,power5,separate,crunch,calculation,cabinet,refrigerator,five,exist,aerospace,professor,aid,work,global,climate,already,satellite,data,static,accurate,help,measure,major,ocean,current,polar
,16,13,9,9,8,7,7,6,6,6,6,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 24, 2006 Wednesday",7 of 97 DOCUMENTS,Austin American-Statesman (Texas),Report: Austin as we know it fading,Asher Price AMERICAN-STATESMAN STAFF,METRO & STATE; Pg. B01,,872 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,global,warming,report,Texas,water,climate,Austin,make,may,author,greenhouse,gas,change,sea,level,rise,many,lead,east,along,look,lot,group,emission,increase,coastal,warn,state,rate,scientist,go,next,weather,drought,tree,line,texas,sit,prediction,expect,worse,carbon,boost,energy,offer,mile,coastline,community,coast,species,model,predict,effect,basis,climatologist,bigger,have,pump,every,warmer,drier,higher,temperature,power,plant,university,simply,Central_Texas,West_Texas,Environmental_Defense,within,century,hotter,longer,amount,way,drop,crop,wither,divide,lush,interstate,might,push,short,start,part,publish,today,advocacy,write,urge,lawmaker,rule,cut,contribute,heat,wave,air
,12,12,9,9,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
