PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 5, 2008 Friday",1 of 126 DOCUMENTS,Austin American-Statesman (Texas),Is global climate change linked to shift in illnesses?,Asher Price American-Statesman Staff,MAIN; Pg. A01,,883 words,,,"September 9, 2008",ENGLISH,"September 9, 2008",* A Page One article Friday about possible connections between global warming and increased incidence of illnesses misstated the period during which scientists say the Earth has warmed at least 1.1 degrees Fahrenheit. That occurred over the past century.,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,disease,change,climate,outbreak,mosquitoe,warming,accord,West_Nile,typhus,virus,pattern,fever,carry,summer,state,much,control,scientist,may,increase,dengue,infection,flea,many,area,travis,county,resident,illness,suspect,bear,epidemiologist,sanitation,far,incidence,animal,report,federal,potentially,fatal,early,people,number,breeding,ut,medical,make,official,weather,ago,think,tick,spread,Texas,United_States,Travis_County,State_Health_Services,disease_bearing,Tesh,leave,other,recent,whooping,cough,plague,event,explanation,hot,signal,broader,drive,differ,blame,laid,overarch,phenomenon,global,expert,point,improvement,technological,advance,go,epidemics,least,decade,steering,clear,lay,specifics,predict,ultimately,shift,alter,distribution,intensity,plant,pest,june
,16,14,10,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 18, 2008 Sunday",2 of 126 DOCUMENTS,Austin American-Statesman (Texas),How do we cut the oil cord?,Asher Price AMERICAN-STATESMAN STAFF,INSIGHT; Pg. G01,,2088 words,,,"May 18, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,energy,power,go,book,solar,wind,use,freeman,think,nuclear,bryce,government,market,price,plant,make,problem,country,ethanol,much,idea,oil,independence,issue,intervention,can,agree,time,large,amount,cost,mo,fuel,poison,electric,electricity,marketplace,global,U.S.,America,China,example,have,look,give,policy,people,point,waste,pick,natural,renewable,move,world,gas,right,CO2,climate,change,presidential,candidate,author,take,run,follow,matter,yes,today,higher,relatively,wrong,five,mean,billion,solution,source,sun,need,count,realistic,system,happen,away,rural,unless,utility,product,consumer,expensive,tax,Middle_East,California,cause,many,recently,different,s.,david,less
,23,18,17,14,14,13,13,12,12,12,12,9,8,8,8,8,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
"March 23, 2008 Sunday",5 of 126 DOCUMENTS,Austin American-Statesman (Texas),Austin's survey on global warming is a breath of hot air,John Kelso AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,460 words,,,"March 23, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,global,warming,survey,people,find,thing,think,climate,change,air,instead,likely,make,drive,city,big,give,"20,000",opinion,enough,solar,panel,help,pay,buy,tell,percent,notice,half,town,carbon,size,Austin,Austinites,do,public,swing,favor,several,needy,new,conditioner,waste,phone,questionnaire,400,austinite,combat,sure,tire,invest,reason,obstacle,save,planet,lack,money,sink,take,poor,guy,hybrid,wear,clothing,always,besides,talk,raising,temperature,much,hotter,shut,might,cool,around,august,night,affect,egg,laid,cure,growth,traffic,problem,hot,summer,farther,north,cooler,newby,minneapolis,condo,fight,possible,freakin,parking,place,go,stay
,9,9,6,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 9, 2008 Sunday",6 of 126 DOCUMENTS,Austin American-Statesman (Texas),Bill McKibben is just getting warmed up,Asher Price AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. J05,,1208 words,,,"March 9, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,go,environmental,write,way,last,thing,climate,power,mckibben,country,need,think,give,global,warming,issue,nuclear,book,change,people,lot,movement,carbon,part,world,know,much,good,huge,eat,Bill,Texas,writer,organize,campaign,talk,call,building,new,number,every,figure,information,many,right,become,problem,follow,risk,market,seem,food,Earth,American,smart,shelf,reader,deep,economy,tour,around,international,real,hope,audience,worldwide,350,dioxide,per,million,atmosphere,today,three,hundred,mean,century,different,work,central,have,anything,careful,hand,still,plant,guarantee,moment,rush,better,republican,really,take,local,build,difficult,agriculture,farmer,recycl,paper
,13,9,9,8,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 20, 2008 Tuesday",7 of 126 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,EDITORIAL; Pg. A08,,897 words,,,"May 20, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,need,power,tree,line,Austin,many,time,chief,job,allow,grow,climate,change,may,act,group,city,higher,obama,white,vote,know,science,big_city,storm,trimming,plan,around,homeowner,net,commentary,texan,support,security,department,economy,continue,well,we,state,open,perform,make,man,give,though,cost,issue,address,hose,pump,agency,protect,april,go,bogus,degree,education,express,decision,creationism,flat,opinion,Austin_Energy,Climate,limb,almost,every,widespread,outage,fall,obvious,do,ride,town,recumbent,bike,look,summer,ago,place,reply,unless,anything,word,mind,business,near,kickball,field,along,branch,completely,lower,guy,wire,urge,property,owner
,7,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 3, 2008 Monday",10 of 126 DOCUMENTS,Austin American-Statesman (Texas),Will LCRA be prepared for severe drought?,Asher Price American-Statesman Staff,MAIN; Pg. A06,,964 words,,,"March 9, 2008",ENGLISH,"March 6, 2008","* On Monday's Page A6, a story and photo caption incorrectly said that the Phoenix area is supplied with water from Lake Mead, a Colorado River reservoir in Arizona. The Phoenix area receives most of its water from canal systems fed by the Salt River and Colorado River.",,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,water,dring,river,LCRA,authority,1950,Texas,much,firm,use,climate,manager,plan,last,farmer,lake,time,record,model,might,state,population,customer,supply,new,Southeast,around,next,central,texas,find,growth,flow,people,worst,although,calculate,2007,exceed,predict,know,forecast,base,take,change,policy,possible,resource,crunch,number,grow,city,demand,agency,talk,cut,user,give,within,draconian,measure,scenario,worse,drought,author,scientist,article,become,system,Arizona,Georgia,Colorado_River,Austin,Dust_Bowl,Seager,news,nation,grim,mead,reservoir,sustain,dry,main,source,drink,perilously,low,end,sight,seize,similar,situation,lower,factor,cause,crise,rampant,exceptional,increase
,28,18,10,10,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 2, 2008 Saturday",14 of 126 DOCUMENTS,Austin American-Statesman (Texas),World powers unsure if U.S. will agree to emissions limits,Bob Keefe WEST COAST BUREAU,MAIN; Pg. A03,,298 words,,,"February 3, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,emission,world,biggest,economy,international,cut,measure,meeting,goal,percent,energy,treaty,country,greenhouse,gas,2050,global,agree,climate,change,set,develop,new,public,leader,push,require,large,half,fight,warming,whether,polluter,stringent,remain,unclear,summit,negotiator,firm,target,however,keep,work,toward,end,next,position,share,everyone,matthia,machnig,secretary,ministry,environment,thing,clear,responsibility,action,answer,along,midterm,reduce,2020,reach,wean,coal,oil,technology,dramatically,increase,conservation,possibly,expand,use,nuclear,power,ultimately,lead,higher,price,consumer,tougher,environmental,regulation,company,administration,oppose,limit,wrapping,chairman,give,serious,consideration,latest,proposal,bkeefe,coxnew,com,HONOLULU
,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 3, 2008 Tuesday",21 of 126 DOCUMENTS,Austin American-Statesman (Texas),Time to take global warming seriously,Austin American-Statesman Editorial AMERICAN-STATESMAN STAFF,EDITORIAL; Pg. A06,,418 words,,,"June 3, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,major,greenhouse,climate,cap,company,form,legislation,gas,economy,cost,limit,emission,americans,warn,time,act,bill,emit,credit,start,something,shift,global,warming,cause,course,program,pass,rule,business,predict,doom,propose,problem,cap_and_trade,senate,open,debate,week,attempt,wreck,scary,message,cough,pretty,hard,already,however,deeply,skeptical,have,hear,kind,warning,centerpiece,proposal,security,trade,impose,amount,meet,purchase,exceed,either,government,auction,buy,another,operating,system,require,every,consider,instead,today,society,descendant,scientist,ultimately,consumer,higher,price,product,service,way,we,pay,reap,benefit,renewable,less,pollute,energy,generation,play,careless,god,devil,corporation
,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 26, 2008 Wednesday",22 of 126 DOCUMENTS,Austin American-Statesman (Texas),Perry: Emission caps could ruin economy,Asher Price AMERICAN-STATESMAN STAFF,BUSINESS; Pg. B09,,607 words,,,"November 26, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,state,Texas,Washington,Perry,gas,report,regulation,change,federal,greenhouse,carbon,dioxide,emission,lead,energy,cap,news,conference,global,warming,business,work,regulator,power,EPA,economy,tuesday,limit,nation,submit,cost,start,step,take,leader,support,wind,chairman,author,argue,higher,official,suffocate,gov,try,fend,threat,run,strongest,right,track,ditch,consider,place,contribute,slapping,create,extreme,economic,hardship,regulatory,uncertainty,immeasurable,standard,environmentalist,lawmaker,highest,help,decide,several,shot,highlight,upcoming,presidential,administration,transform,relationship,president,w.,bush,environmental,keen,rule,majority,signale,idea,administrative,inevitability,type,attitude,effort,bring,reality,truth,issue,learn,follow,rather,way
,9,7,7,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 21, 2008 Monday",24 of 126 DOCUMENTS,Austin American-Statesman (Texas),Researchers link carbon dioxide to plant protein loss,Asher Price American-Statesman Staff,METRO; Pg. B01,,408 words,,,"January 22, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
