PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"March 12, 2010 Friday",3 of 88 DOCUMENTS,Austin American-Statesman (Texas),Interior secretary puts focus on the birds,Asher Price AMERICAN-STATESMAN STAFF,METRO; Pg. B03,,386 words,,,"March 14, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,change,climate,bird,Salazar,habitat,Austin,wildlife,early,news,conference,state,report,include,u.,conservation,species,warbler,decline,stand,idle,address,accord,range,due,increase,texas,park,Texas,Fish,Wildlife_Service,golden_cheeked,brief,trip,secretary,spend,thursday,talk,refuge,afternoon,unveiled,2010,find,threaten,many,prepare,organization,already,concern,whooping,crane,may,hasten,prevent,recovery,long,view,crisis,grow,nation,must,longer,sake,humankind,environment,earth,move,forward,threat,we,canary,coal,mine,call,awaken,challenge,expand,north,east,scientist,believe,although,expansion,fire,suppression,native,vegetation,loss,invasive,brush,encroachment,briefing,material,department,pest,disease,warmer,winter,reduce,parasite
,7,6,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 11, 2010 Tuesday",4 of 88 DOCUMENTS,Austin American-Statesman (Texas),"Attorney general stretches the truth on EPA, scandal",W. Gardner Selby AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,869 words,,,"May 11, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,EPA,scientific,e_mails,scientist,panel,Abbott,greenhouse,gas,international,consider,agency,statement,organization,objective,trustworthy,work,climate,comprehensive,scandal_plagued,state,include,issue,find,group,study,consensus,large,body,world,change,small,IPCC,endanger,health,endangerment,outsourced,basis,regulation,whether,december,2007,air,public,three,synthesize,thousand,information,provide,analysis,across,review,view,place,significant,assessment,report,lean,research,steal,far,rate,do,instead,rely,misleading,Texas,attorney,general,greg,abbott,announce,challenge,february,judgment,carbon,dioxide,americans,feb,news,conference,wonder,salvo,echoe,april,forum,delegate,gov,campaign,accurately,capture,approach,background,supreme,court,rule,pollutant,cover,federal,must
,11,8,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 12, 2010 Sunday",6 of 88 DOCUMENTS,Austin American-Statesman (Texas),UNPLUGGED BEST OF STATESMAN.COM AND LOCAL-INTEREST BLOGS,AMERICAN-STATESMAN STAFF,INSIGHT; Pg. E02,,1794 words,,,"September 12, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,league,make,go,people,state,know,nonprofit,time,life,have,place,need,new,work,might,back,rickshaw,climate,Austin,trail,dead,kind,today,cause,charity,story,call,coverage,every,several,put,member,mean,draft,long,race,draw,keep,nothing,take,try,car,million,decade,session,hospital,save,penny,charge,near,include,bike,feel,side,river,close,thing,right,damage,statesman.com/,article,dump,language,understand,word,impactful,general,effort,community,provide,quality,care,neighborhood,change,use,email,ask,season,mostly,never,money,far,pick,number,last,select,end,throughout,seem,racetrack,bet,sure,allow,financial,primarily,proponent,away,true,couple
,9,8,8,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 6, 2010 Saturday",11 of 88 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A16,,950 words,,,"March 7, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,Texas,state,chok,risk,change,education,article,many,tax,global,warming,feb,label,food,child,accord,younger,way,people,never,use,become,much,shortfall,cut,revenue,governor,take,school,percent,gas,air,concern,need,yet,recession,number,problem,austin,difficult,live,paycheck,experience,company,transfer,today,less,feb.,column,property,gov,we,lower,cause,create,spend,public,example,rank,high,evidence,finalist,nation,science,prevent,emission,natural,board,American,Texas_Re,Rick_Perry,California,New_York,EPA,hazard,pediatrician,urge,warning,package,product,actually,emphasize,inability,assess,danger,sympathize,family,death,however,real,happen,statistic,100,die,million,country,math,alone,indicate
,11,8,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 8, 2010 Friday",14 of 88 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,EDITORIAL; Pg. A14,,893 words,,,"January 10, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,security,article,nothing,principal,Finland,terrorist,dec.,carbon,learn,new,check,go,fossil,fuel,climate,source,offer,population,incident,air,travel,shoe,interest,leave,feel,program,pass,long,dioxide,letter,pollution,crisis,rapidly,land,mostly,methane,black,soot,agriculture,primarily,livestock,waste,burn,abortion,mind,growth,many,local,call,crime,problem,gun,ownership,austin.rr.com,love,airplane,take,able,endangered,species,retire,patterson,student,school,give,next_largest,human_caused,CO2,U.S.,Austin,recent,lead,conclusion,strategy,step,ahead,measure,every,enforcement,reactive,instigate,bomber,liquid,gel,attack,etc,transcend,color,nationality,transportation,administration,airlines,tend,lean,toward,make,faster,efficiency,productivity
,10,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 13, 2010 Wednesday",17 of 88 DOCUMENTS,Austin American-Statesman (Texas),Southwestern goes all-wind with electricity,Asher Price AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,540 words,,,"January 16, 2010",ENGLISH,"January 14, 2010 Thursday","* A story on Wednesday's Page B1 included an incorrect report from Southwestern University that it was the first university in Texas to get all its energy from renewable sources. In 2003, Concordia University at Austin - which is now known as Concordia University Texas - switched entirely to renewable energy.",,,,Newspaper,Copyright 2010 The Austin American-Statesman                               All Rights Reserved
,power,university,wind,energy,renewable,Georgetown,electricity,agreement,city,rate,Southwestern,deal,source,utility,need,five,percent,Texas,next,sign,tuesday,accord,actual,student,buy,help,goal,greenhouse,gas,president,time,equivalent,pay,break,green,Austin_Energy,exclusively,make,southwestern,school,subsidiary,electron,light,liberal,art,college,"1,300",general,electric,grid,enough,cover,use,aep,farm,151,turbine,initial,contract,2028,meet,carbon,neutral,add,atmosphere,february,formally,commit,campuse,eliminate,emission,educate,climate,neutrality,largest,customer,demand,450,home,assistant,manager,operation,georgetown,fix,neither,disclose,exact,competitive,reason,vice,fiscal,affair,higher,assume,conventional,rise,three,relatively,short
