PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 18, 2011 Tuesday",5 of 119 DOCUMENTS,Austin American-Statesman (Texas),Researchers object to way TCEQ wants to edit report,Farzad Mashhood AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,733 words,,,"October 22, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,report,Anderson,agency,publish,sea,level,change,state,chapter,rise,commission,take,commissioner,Galveston_Bay,climate,cut,include,research,scientific,center,Lester,researcher,environmental,official,human,bay,we,write,coast,keep,public,manager,section,article,2002,argue,editor,document,current,talk,delete,gonzalez,ask,work,theory,fine,alternative,never,fact,science,long_term,Houston_Advanced_Research_Center,Texas,Soward,unclear,health,balk,request,remove,reference,involvement,issue,characterization,nonprofit,group,pursue,regional,sustainability,statement,disagree,certain,part,irresponsible,whatever,send,rice,university,oceanographer,upper,attempt,censor,misinform,that,philosophy,absurd,senior,water,quality,division,propose,drastic,much,copy,receive,rename,originally,title,impact,half
,15,10,8,6,6,6,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 3, 2011 Saturday",7 of 119 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,MAIN; Pg. A12,,1184 words,,,"December 3, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,homeless,article,Texas,nov,political,fact,count,change,letter,tax,time,make,global,rail,mayor,veterans,Austin,michigan,turn,know,redistricting,attorney,general,people,state,create,austin,way,warming,publish,official,climate,human,crash,run,proposal,train,take,live,quarter,governor,limit,U.S.,leave,cost,loop,360,plan,neighbor,almost,visit,think,traffic,keep,light,candidate,base,affiliation,demographic,recent,significant,texas,interest,presidential,forget,program,best,poor,government,economic,benefit,scientist,believe,cause,system,executive,legislative,debt,administration,war,pay,cut,never,weekend,cap,extra,go,taxpayer,resident,veteran,shelter,housing,person,"410,000",dollar,child,term,Chicago_Drive,Mexico
,8,7,7,6,6,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 8, 2011 Saturday",8 of 119 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A12,,1021 words,,,"January 8, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,article,turn,Austin,jan,make,compromise,service,find,billy,last,need,unfortunately,many,world,never,program,season,without,tree,less,christmas,loop,people,change,provide,other,care,taste,serve,cartoon,U.S.,pardon,thing,character,percent,someone,tell,democrat,elect,republican,past,big,country,bright,city,family,disappointed,money,keep,especially,love,litter,along,360,decoration,spirit,dec.,increase,greenhouse,funding,go,appear,cut,pay,tax,might,mind,bad,veteran,man,woman,know,bachelor,watch,show,driver,signal,Congress,New_Year,Brad,130,kill,fail,posthumously,kid,outlaw,fine,fictional,historical,leave,behind,victim,2010,number,cop,shot,line,duty,anyone
,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 2, 2011 Friday",13 of 119 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A10,,927 words,,,"September 6, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,water,help,bigotry,Austin,FDR,use,think,aug,give,make,1925,heat,food,stamp,percent,higher,time,program,we,save,way,well,equal,work,article,oil,Iowa,Obama,Perry,Truman,Carter,texan,eight,administration,national,policy,bad,property,criticism,tax,abatement,historic,fact,landmark,difference,almost,change,preserve,history,neighborhood,look,weather,letter,people,daily,question,someone,record,station,number,obama,president,ever,know,need,best,country,pipeline,flood,around,probably,less,energy,cook,pasta,usual,bring,boil,add,cooking,kitchen,discrimination,deed,restriction,build,Rick_Perry,Texas,PolitiFact,Canada,last,weekend,iowan,12.5,testament,widespread,misery,create,conveniently,leave
,7,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
