PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 11, 2012 Saturday",3 of 113 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A12,,804 words,,,"August 12, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,tree,city,U.S.,bear,aug,consider,global,article,many,degree,citizen,Romney,Mexican,heritage,compromise,require,state,address,pay,change,make,statute,birth,official,save,Mitt_Romney,candidate,major,community,law,rental,ordinance,tax,parking,plan,council,implement,warming,warning,fuel,bring,time,move,power,austin,ted,cruz,despite,soil,naturalize,natural,jon,roland,former,water,plant,name,cost,developer,go,benefit,block,grant,fund,Latino,Mexico,Canada,Texas,Medicaid,root,presidential,struggle,figure,vote,seem,pass,opportunity,tout,father,family,play,role,establish,think,act,ashamed,insult,show,pride,marc,perkel.com,commentary,give,chance,list,hot,do,little,nothing
,9,6,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 11, 2012 Wednesday",5 of 113 DOCUMENTS,Austin American-Statesman (Texas),YOU SAY: VIEWS FROM FACEBOOK.COM/STATESMAN,AUSTIN AMERICAN-STATESMAN,ED; Pg. A09,,163 words,,,"April 15, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,climate,change,pattern,meteorologist,weather,warm,sun,know,always,article,title,record,temperature,melt,away,give,uneasy,feeling,unusual,confluence,several,include,la,niña,direct,cause,start,2012,reader,view,trend,lack,thereof,blame,methink,check,planetary,affect,whatever,make,work,thing,stay,call,human,squat,gray,chenault,keep,never,understand,fad,history,full,cold,period,sure,frame,reference,use,join,conversation,mind,involved,discussion,news,facebook.com/,statesman,Earth,La_Niña,Timothy_Launhardt,Climate,not_change,Rachel_Pace
,4,4,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 16, 2012 Monday",6 of 113 DOCUMENTS,Austin American-Statesman (Texas),Youths sue to limit emissions,Asher Price asherprice@statesman.com American-Statesman Staff,MAIN; Pg. A01,,1042 words,,,"July 23, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,state,trust,environmental,public,agency,suit,emission,rule,Texas,judge,doctrine,commission,minor,case,future,last,water,court,petition,least,greenhouse,gas,question,generation,air,part,argue,law,include,resource,federal,child,time,climate,change,make,latin,set,lawsuit,country,regulate,umphress,sue,request,carbon,dioxide,effort,week,write,claim,natural,exercise,term,way,similar,largely,challenge,policy,global,thing,propose,name,filing,love,live,continue,dring,action,appear,point,go,present,interview,Triana,Children,Bosner_Lain,well_being,aim,varsity,baseball,team,pitcher,third,baseman,recently,pick,steel,drum,enough,join,school,club,serve,litigant,novel,across,pit,environmentally,minded
,11,10,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 22, 2012 Wednesday",8 of 113 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A10,,715 words,,,"August 26, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 The Austin American-Statesman                               All Rights Reserved
,article,Central_Health,tax,Austin,money,aug,people,bridge,lane,increase,better,let,change,emission,drop,low,energy,source,drive,happen,cut,fast,state,Travis_County,U.S.,read,vote,care,cost,think,budget,go,pay,we,co2,follow,rapid,result,gas,fossil,fuel,force,decline,use,innovation,true,without,proposal,widen,another,create,encourage,area,ruin,beauty,driver,new,bike,accomplishment,elusive,work,department,West_Lake_Hills,MoPac,flop,aug.,behind,irksome,though,surprising,percent,rate,hike,eight,ago,voter,approve,mere,"5,000",shaky,promise,coordination,savings,save,approximately,salary,"500,000",provide,abortion,service,citizen,board,pet,project,spend,fortune,health,delivery,rest
,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
