PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"July 5, 2013 Friday",2 of 90 DOCUMENTS,Austin American-Statesman (Texas),Austin adapts to climate changes,Marty Toohey American-Statesman Staff,MAIN; Pg. A1,,1226 words,,,"July 10, 2013",ENGLISH,,"Friday's front-page story about the city of Austin's attempts to adapt to climate change incorrectly stated the source of irrigation water in Guerrero Colorado River Park. It is reclaimed water, which is treated effluent from sewage plants.",,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,city,water,Austin,climate,wildfire,tree,less,use,fire,change,grow,last,people,cut,adaptation,emission,dring,region,area,home,prepare,much,greenhouse,gas,community,make,risk,plan,thing,national,strategy,million,division,allow,approach,carbon,assistant,park,destroy,mow,New_York,Personett,long,extinguished,2011,become,talk,we,chief,new,level,threat,need,discussion,focus,weather,back,large,around,almost,cause,nature,establish,include,manage,billion,rise,prevention,reuse,primarily,energy,tier,rate,train,go,lot,quickly,reduce,issue,big,part,term,certainly,director,instance,earlier,already,system,full,potable,try,main,well,point,suggest,heighten,federal,government,study
,11,10,10,9,7,7,6,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 14, 2013 Sunday",4 of 90 DOCUMENTS,Austin American-Statesman (Texas),Team leads polar study,Farzad Mashhood American-Statesman Staff,METRO; Pg. B1,,784 words,,,"July 16, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,glacier,water,ice,melt,system,research,sea,melting,part,researcher,quickly,group,important,level,temperature,Antarctica,Blankenship,swamplike,rise,study,ut,ocean,report,global,rock,mile,exist,flight,team,antarctic,find,might,hold,heat,become,coldest,seem,natural,detect,similar,data,lead,paper,discovery,among,warming,top,allow,move,streamlike,cause,give,process,pressure,point,use,airplane,million,University,Earth,UT,co_author,Thwaites,recently,discover,size,key,polar,seas,nondescript,office,j.j.,pickle,campus,swelter,midsummer,rest,renowned,place,mention,icy,moon,expertise,improbable,frigid,continent,rare,combination,land,specialist,usually,separate,field,due,university,proximity,oil,gas,drilling
,15,11,11,8,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 23, 2013 Thursday",6 of 90 DOCUMENTS,Austin American-Statesman (Texas),From chasing down butterflies to prestige,Helen Anders American-Statesman Staff,LIFESTYLE; Pg. D1,,1022 words,,,"May 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,butterfly,climate,change,Parmesan,work,research,scientist,time,Texas,U.S.,rat,live,office,wall,nobel,world,part,university,student,take,lot,species,really,past,white,remember,creature,walk,professor,class,trip,singer,recent,nail,ut,conservation,impact,establish,life,papers,back,mother,grow,field,big,thicket,science,husband,tea,happen,study,effect,move,north,number,data,excited,appointment,difficult,people,know,politician,University,UT,Europe,England,star,climatologist,plan,career,medical,meet,cutest,little,smile,encounter,vertebrate,physiology,lab,premed,senior,read,instruction,anesthetize,cut,open,remove,organ,eventually,kill,no,head,straight,teach,animal,behavior,enjoy,include,tell
,10,10,9,9,7,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 12, 2013 Sunday",8 of 90 DOCUMENTS,Austin American-Statesman (Texas),Greenhouse gases claim misrepresents science,W. Gardner Selby American-Statesman Staff,METRO; Pg. B1,,676 words,,,"May 13, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,gas,greenhouse,problem,change,warming,global,climate,scientific,consensus,scientist,we,increase,science,show,state,tell,emission,pace,contribute,chapter,Smith,article,whether,mean,claim,much,research,predict,due,evidence,however,agree,future,likely,rate,factor,publish,2007,observe,temperature,ask,respondent,percent,reflect,Knappenberger,sweat,representative,recent,news,bill,put,permit,authority,industrial,federal,hand,need,regulate,explore,various,gaseous,compound,carbon,dioxide,absorb,infrare,radiation,trap,heat,atmosphere,represent,district,home,petrochemical,plant,respond,telephone,inquiry,run,assistant,director,study,cato,institute,might,philosophically,compatible,effect,scientifically,prove,define,depend,fast,large,result,knappenberger,point,write,february
,12,11,9,9,8,8,7,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
