PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 17, 2014 Wednesday",1 of 89 DOCUMENTS,Austin American-Statesman (Texas),Watchdog: Some texts get climate change wrong,Asher Price American-Statesman Staff,MAIN; Pg. A4,,668 words,,,"September 17, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,change,climate,textbook,scientist,state,board,education,warming,science,human,book,cause,Texas_Freedom_Network,another,many,activity,global,include,social,study,standard,Earth,offer,false,group,evolution,creationism,example,agree,disagree,natural,cycle,occur,past,support,position,cite,evidence,gas,fossil,fuel,equal,school,make,address,though,general,policy,environmental,reject,spokesman,run,publisher,politics,McGraw_Hill,several,approval,scientific,information,accord,watchdog,echoing,previous,battle,cast,doubt,role,play,geography,read,text,thousand,worth,climatic,anthropogenic,effect,rapidly,increase,amount,greenhouse,atmosphere,naturally,result,burn,side,convincing,provide,excerpt,length,article,title,crisis,money,energy,corporation,watersh,2007,report,marshale
,12,10,8,7,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 13, 2014 Thursday",2 of 89 DOCUMENTS,Austin American-Statesman (Texas),Groups still pushing for changes to Texas social studies textbooks,Kiah Collier American-Statesman Staff,MAIN; Pg. A1,,783 words,,,"November 13, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,textbook,board,education,change,climate,social,study,publisher,state,group,week,public,student,Texas,McGraw_Hill,Pearson,school,issue,book,make,wednesday,human,nov,instructional,material,next,comment,science,Texas_Freedom_Network,set,adopt,take,academics,argument,inaccurate,adop,national,many,use,chance,final,vote,standard,september,dominate,conservative,politics,learn,statement,review,ask,error,last,whether,center,new,time,dozen,content,still,call,revision,environmental,reiterate,elementary,intermediate,contain,misleading,information,role,play,warn,text,implication,country,populous,largest,market,major,influence,end,elect,grade,along,hundred,cover,subject,area,include,online,tool,least,longer,appear,classroom,start,fall,another,tuesday
,13,11,10,9,8,6,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 7, 2014 Wednesday",3 of 89 DOCUMENTS,Austin American-Statesman (Texas),Scientists warn of more drought ahead for Texas,Asher Price American-Statesman Staff,MAIN; Pg. A1,,753 words,,,"May 7, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,change,water,Texas,climate,report,part,author,increase,condition,temperature,global,warming,policymaker,greenhouse,gas,plan,development,resource,energy,already,process,Austin,future,accord,release,tuesday,due,evaporation,historic,average,scientist,administration,initiative,skepticism,portion,research,head,regulation,finding,must,state,base,political,use,new,carbon,science,americans,continue,supplies,stress,affect,reservoir,need,White_House,Republican,dire,dring,2011,preview,region,study,least,summer,endure,rate,loss,southern,double,sort,likely,involved,obama,address,greet,lead,conclude,magnitude,expect,atmosphere,exceed,sustain,past,exist,adaptation,effort,inadequate,respond,project,impact,write,include,university,bureau,top,frame,debate,economic,either
,10,10,9,7,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 7, 2014 Monday",4 of 89 DOCUMENTS,Austin American-Statesman (Texas),Musical on climate change got federal funds,W. Gardner Selby American-Statesman Staff,METRO; Pg. B1,,521 words,,,"April 7, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 The Austin American-Statesman                               All Rights Reserved
,science,foundation,musical,grant,climate,change,award,play,focus,Smith,smith,"700,000",scientific,2010,conservation,lamar,czar,include,produce,justify,public,fund,online,company,project,unique,theater,basic,knowledge,research,summary,video,biodiversity,statement,U.S.,White_House,Broadway,National_Science_Foundation,rep.,antonio,recently,question,government,bankrolling,chairman,list,six,national,questionable,panel,march,hearing,prepare,sure,ever,actually,ask,whose,tax,dollar,reply,entrust,promote,progress,already,post,go,agree,disagree,have,note,consensus,globally,warming,article,whether,pony,inquiry,spokeswoman,email,add,civilian,inc.,n.y,theatre,develop,innovative,approach,exposing,citizen,represent,cultural,leverage,attempt,inspire,imagination,curiosity,relation,everyday
