PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"July 12, 2015 Sunday",8 of 98 DOCUMENTS,Austin American-Statesman (Texas),UT team studies glacier's erosion,Asher Price American-Statesman Staff,METR; Pg. B1,,684 words,,,"July 14, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,ice,sea,water,level,trip,Antarctica,Greenbaum,century,become,team,research,ut,scientist,work,rise,Totten_Glacier,reach,student,vulnerable,researcher,help,map,along,freezing,cold,enough,predict,much,global,next,discovery,deep,warm,lead,equivalent,glacier,area,avenue,degree,back,engineering,time,chief,friend,hour,carbon,South_Pole,Texas,East_Antarctica,Austin,little,person,university,graduate,colleague,undertake,groundbreaking,swish,beneath,increasingly,shelf,lab,senior,participate,air,land,characteristic,vast,portion,continent,way,endure,temperature,highest,hover,around,freeze,beard,nose,hair,recent,largest,erosion,potentially,important,loss,calculate,flow,penetrate,mile,place,sufficient,raise,least,foot,contribution,sheet,completely,collapse
,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 3, 2015 Sunday",10 of 98 DOCUMENTS,Austin American-Statesman (Texas),The dry years,Asher Price American-Statesman Staff,MAIN; Pg. A1,,1143 words,,,"May 4, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,water,Texas,state,California,dring,environmental,percent,way,supplies,cut,grow,population,appear,supply,project,build,city,make,rain,drier,pipeline,plan,environmentalist,normal,change,climate,reservoir,need,mandate,gov,use,move,contrast,2011,height,sort,decision,become,expert,certain,thing,law,firm,practice,litigation,along,snowpack,regional,river,lead,basin,go,fight,meet,area,start,precipitation,climatologist,put,prepare,little,recognize,forecast,development,board,much,future,gulf,far,group,back,government,compare,promote,support,wildlife,consequence,really,endangered,species,federal,money,system,greater,legislative,whether,Texas_Water,Perry,acre_feet,Strickland,Larson,cope,sear,take,drastic,measure,include,dweller,stand
,31,24,17,15,8,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"August 30, 2015 Sunday",11 of 98 DOCUMENTS,Austin American-Statesman (Texas),Texas vs. EPA is mixed record,Asher Price American-Statesman Staff,MAIN; Pg. A1,,1578 words,,,"August 31, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,state,Texas,EPA,plant,power,Obama,emission,air,carbon,proposal,challenge,gas,limit,federal,rule,case,administration,agency,pollution,part,cost,greenhouse,million,Paxton,attorney,general,back,environmental,official,permit,new,regulation,health,give,dioxide,regulator,court,example,billion,water,program,take,office,set,regulate,climate,business,result,spend,quality,protect,president,industry,2012,utility,argue,coal,require,industrial,dollar,force,mercury,include,still,chief,change,amount,exist,Supreme_Court,illegal,grid,newest,review,protection,show,rhetoric,word,judge,major,authority,find,far,chiefly,salary,issue,public,among,several,epa,relation,administrator,eventually,ought,generally,pay,accord,effort,count,arguably
,19,19,17,12,11,10,9,9,9,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 7, 2015 Saturday",12 of 98 DOCUMENTS,Austin American-Statesman (Texas),Latest rainfalls set Texas records,Marty Toohey American-Statesman Staff,MAIN; Pg. A1,,818 words,,,"November 9, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 The Austin American-Statesman                               All Rights Reserved
,inch,record,rainfall,weather,Texas,rain,period,dring,accord,Nielsen_Gammon,storm,recent,average,far,fall,flood,state,statewide,area,part,change,keep,1957,measure,write,may,wettest,climate,fire,oct,experience,least,break,1950,5.32,4.68,april,include,second,2015,monitor,flash,nearly,october,home,water,result,el,niño,probably,seem,pattern,however,reach,app,december,1991,two_day,five_day,Central_Texas,Austin,Hidden_Pines,never,pair,quite,begin,accurate,analysis,back,end,halloween,percent,previous,stand,many,community,around,indication,intensity,breadth,event,exceed,other,blog,due,large,spawn,memorial,weekend,sweep,submerge,downtown,1895,take,together,ever,despite,several,intense
,14,12,10,9,9,8,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
