PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 14, 2016 Wednesday",1 of 88 DOCUMENTS,Austin American-Statesman (Texas),Rep. Smith battling on climate science,Asher Price American-Statesman Staff,MAIN; Pg. A1,,901 words,,,"September 14, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,climate,Smith,hearing,change,ExxonMobil,attorney,general,committee,science,subpoena,investigation,gas,deal,scientist,argue,U.S.,global,warming,wednesday,chairman,least,research,much,president,environmental,human,New_York,involve,hold,oil,latest,example,use,party,oversight,lead,part,money,industry,cut,budget,emission,greenhouse,witness,burn,bad,official,scientific,pledge,politically,tell,know,make,exaggeration,evidence,step,company,state,investigate,whether,filing,amount,back,Earth,American,Texas,Tarrant_County,inject,ongoing,dispute,rep.,lamar,smith,antonio,affirm,office,right,investigator,probing,behemoth,perch,cast,doubt,widely,might,standard,political,fodder,power,often,congressional,grandstand,cover,government,criticism,notable,focus,represent,downtown
,16,13,11,10,9,8,8,7,7,6,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 1, 2016 Friday",6 of 88 DOCUMENTS,Austin American-Statesman (Texas),Paxton withdraws suit against ExxonMobil critic,Asher Price American-Statesman Staff,METR; Pg. B3,,423 words,,,"July 1, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Virgin_Islands,ExxonMobil,Walker,investigation,climate,change,Paxton,attorney,general,withdraw,subpoena,argue,least,territory,Exxon,thursday,involve,action,decision,record,withdrawal,move,case,federal,court,improper,speech,filing,investor,april,company,issue,Massachusetts,Tarrant_County,ken,announce,lawsuit,counterpart,suspend,follow,claude,walker,wednesday,unconstitutional,procedural,parallel,fight,big,far,jurisdiction,shape,distraction,suggest,acknowledgment,overreach,â,constitutionally,attempt,suppress,freedom,statement,may,know,amount,little,fishing,expedition,state,include,investigate,whether,lie,public,threat,take,real,however,cite,law,go,corporation,relevant,keep,comply,politically,motivate,strike,protect,core,amendment,publicly,recognize,risk,decade,letter,lawyer,write,might,committed
,7,6,6,5,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 10, 2016 Thursday",14 of 88 DOCUMENTS,Austin American-Statesman (Texas),State ready to ease up on suing White House,Chuck Lindell American-Statesman Staff,MAIN; Pg. A5,,782 words,,,"November 10, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Texas,court,challenge,rule,administration,lawsuit,case,Obama,Trump,policy,federal,office,agency,change,include,appeal,Paxton,make,sue,block,general,state,take,promise,many,regulation,continue,new,law,U.S.,EPA,attorney,work,wednesday,reality,trump,expect,official,protect,gov,campaign,republican,follow,environmental,transgender,however,file,join,pursue,seek,conform,final,director,require,implement,almost,executive,undocument,immigrant,supreme,2012,reverse,air,pollution,plan,pend,emission,plant,future,White_House,McGarity,ACLU,national,name,repeatedly,ken,arrive,unfamiliar,horizon,arrival,donald,game,changer,produce,line,environment,favor,leader,eager,embrace,shift,time,2008,constantly,rights,lt,chairman,january,rescind
,12,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 11, 2016 Thursday",16 of 88 DOCUMENTS,Austin American-Statesman (Texas),Texas officials laud high court's ruling on EPA's power plant rules,Asher Price American-Statesman Staff,METR; Pg. B1,,705 words,,,"February 11, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Texas,EPA,rule,court,decision,Obama,Clean_Power_Plan,state,emission,power,official,tuesday,administration,environmental,reduce,gas,carbon,plan,attempt,impose,energy,Supreme_Court,victory,setback,greenhouse,plant,high,issue,stay,put,coast,attorney,place,country,action,continue,major,change,americans,try,way,coal,source,huge,care,health,win,confident,climate,better,constitution,ton,White_House,top,buoy,supreme,deal,signature,policy,take,lap,behest,chamber,commerce,mining,union,decide,hit,pause,button,aim,nation,scientist,link,dioxide,global,warming,lower,hear,lawsuit,kill,stop,new,life,general,ken,tell,reporter,wednesday,livelihood,far,many,people,line,misguid,thanks,rest,little,securely
,8,8,7,6,6,6,6,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
