PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 24, 2017 Tuesday",2 of 95 DOCUMENTS,Austin American-Statesman (Texas),Gore lauds Georgetown's use of renewables,Bob Sechler American-Statesman Staff,BUSINESS; Pg. B5,,584 words,,,"October 24, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Gore,climate,change,energy,renewable,city,Georgetown,Ross,president,monday,water,documentary,something,republican,go,fact,gore,threat,global,conference,example,recently,use,fuel,storm,atmosphere,hurricane,gulf,many,opt,follow,â,business,decision,win,argument,issue,Texas,U.S.,Hurricane_Harvey,al,deliver,warning,hold,progress,make,alleviate,crisis,operate,solely,biggest,power,entirely,source,wind,solar,displace,speak,litany,data,point,paint,picture,induce,burn,fossil,human,activity,catastrophe,drought,fire,famine,earth,really,thin,shell,around,planet,kind,open,sewer,seven,half,billion,people,link,destruction,wring,along,coast,ocean,boost,well,irma,harvey,cross,degree,warmer,normal
,10,9,7,6,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 28, 2017 Thursday",3 of 95 DOCUMENTS,Austin American-Statesman (Texas),France boosts UT biologist,Ralph K.M. Haurwitz American-Statesman Staff,MAIN; Pg. A1,,906 words,,,"December 28, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,climate,change,Parmesan,work,research,accord,Paris,president,provide,may,Trump,UT,Austin,animal,time,feel,great,award,researcher,grant,make,important,support,professor,world,France,biologist,study,plant,low,former,lead,nobel,prize,good,among,pull,five,planet,tell,we,field,economic,science,adjunct,towards,scientist,degree,take,bring,conservation,adapt,approach,help,apply,highly,still,new,student,ph.d.,many,become,university,last,away,impact,mayor,city,fight,Plymouth_University,United_States,French,Macron,effect,pursuit,fraught,high,example,serve,author,panel,share,2007,peace,vice,al,gore,recognition,thrilling,"1/2,000th",quip,declaration,june,aim,reduce,emission,carbon,dioxide,greenhouse
,14,8,8,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 2, 2017 Thursday",4 of 95 DOCUMENTS,Austin American-Statesman (Texas),Lamar Smith seeks reshaping of EPA,Asher Price American-Statesman Staff,MAIN; Pg. A1,,919 words,,,"February 2, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Smith,EPA,climate,science,scientist,change,administration,agency,make,hearing,use,industry,part,policy,epa,future,government,support,research,committee,lead,data,money,environmental,group,attack,week,Obama,Washington,smith,effort,long,great,regulatory,put,back,track,wednesday,gas,tell,gain,federal,issue,campaign,attorney,general,company,target,watchdog,look,decision,law,2015,budget,contract,work,right,official,nothing,panic,talk,lot,â,examine,U.S.,South_Austin,White_House,Earth,American_Statesman,Trump,Texas,Climate,Science,rep.,lamar,represent,wander,kind,desert,proposal,box,often,fail,fight,energize,suddenly,simpatico,chairman,launch,fresh,reshape,vilify,tuesday,anxious,path,overreach,tool,necessary,news
,10,10,9,8,7,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 15, 2017 Saturday",5 of 95 DOCUMENTS,Austin American-Statesman (Texas),Climate-change skeptic Smith toured a warming Greenland,Nolan Hicks and Marty Toohey American-Statesman Staff,METR; Pg. B1,,609 words,,,"July 17, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,climate,ice,scientist,Smith,change,include,cap,many,shelf,Greenland,congressman,skeptic,warming,hand,tour,least,science,chair,trip,report,friday,research,refer,committee,long,strike,mayor,find,add,slash,emission,summit,action,among,part,sea,level,world,chunk,city,result,Arctic,Austin,Antarctic,note,effect,unpublicized,may,antonio,accompany,eight,colleague,meeting,lawmaker,learn,federally,fund,track,aerial,representative,melting,person,reach,office,question,spokeswoman,respond,request,comment,environmentalist,politician,odd,quickly,pounce,news,denier,chief,go,greenland,conservation,hope,kind,reverse,road,instead,blind,finally,spokesman,steve,adler,think,great,way,beat,heat,check,glad,opportunity,still
,10,7,6,6,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 3, 2017 Friday",6 of 95 DOCUMENTS,Austin American-Statesman (Texas),Bill aims to help ExxonMobil fight lawsuits,Asher Price American-Statesman Staff,MAIN; Pg. A1,,878 words,,,"February 3, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,attorney,general,ExxonMobil,company,state,climate,change,last,investigation,White,Paxton,case,campaign,global,warming,think,sue,record,least,contribution,degree,Texas,U.S.,east,texas,defendant,people,court,base,belief,science,elsewhere,fossil,fuel,contribute,oil,official,include,argue,association,amount,free,speech,2014,accord,move,document,human,gas,effect,money,make,Republican,Exxon_Mobil,concerned,call,overcriminalization,society,lawmaker,draft,bill,protect,potential,conventionally,consider,marginalize,victim,injustice,exxon,mobil,rep.,jame,white,propose,barring,theory,use,evidence,fraud,deceptive,practice,tell,mind,target,claim,lie,investor,public,threat,instance,throw,potentially,threaten,kind,criminal,punishment,scientific,take,operate
,11,11,11,10,8,8,8,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 24, 2017 Sunday",8 of 95 DOCUMENTS,Austin American-Statesman (Texas),Texas mayors focus on costs of climate change,Philip Jankowski American-Statesman Staff,METR; Pg. B1,,441 words,,,"September 25, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,city,mayor,climate,change,energy,Austin,Adler,Parker,local,power,make,Texas,Houston,back,mean,step,agreement,create,renewable,longer,unusual,wind,take,federal,government,data,website,South_Bend,U.S.,Paris,image,glacier,disintegrating,solitary,polar,bear,swim,doubt,evocative,discuss,constituency,dollar,cent,main,takeaway,panel,discussion,saturday,affect,cope,speaker,steve,adler,ron,nirenb,former,annise,parker,ind,pete,buttigieg,democrat,case,nonpartisan,progressive,issue,pack,room,seem,pull,need,several,across,country,vow,follow,president,2015,accord,recently,speak,behalf,pioneer,deliver,part,influential,talk,amount,something,call,paradiplomacy,jurisdiction,ability,negotiate,enforce,prerogative,leverage,billion,budget
,11,6,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 21, 2017 Friday",10 of 95 DOCUMENTS,Austin American-Statesman (Texas),Paxton sides with ExxonMobil in brief for climate change case,Asher Price American-Statesman Staff,METR; Pg. B4,,422 words,,,"April 21, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Paxton,attorney,general,New_York,company,climate,change,brief,case,investigation,least,ExxonMobil,Massachusetts,science,court,support,effort,argue,speech,last,threat,try,official,subpoena,related,state,write,debate,record,association,Texas,friend_of_the_court,Exxon,Republican,aid,powerful,oil,gas,involve,ken,thursday,file,federal,stave,amount,fishing,expedition,impinge,free,protection,elsewhere,environmental,group,investigate,whether,lie,investor,public,exxon,block,document,marketing,sale,product,ask,side,constitution,protect,citizen,government,use,authority,criminal,prosecution,suppress,viewpoint,disagree,suit,defendant,falsely,presume,scientific,regard,settle,along,equally,important,respond,find,fact,vast,majority,scientist,study,issue,industrial,emission,play,part
,9,7,7,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 30, 2017 Sunday",11 of 95 DOCUMENTS,Austin American-Statesman (Texas),Austin rally calls out politicians on climate change,Taylor Goldenstein American-Statesman Staff,METR; Pg. B1,,389 words,,,"May 1, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,rally,climate,Austin,march,change,local,city,action,organizer,event,draw,science,take,state,believe,work,U.S.,Donald_Trump,MacDiarmid,Bean,ten,thousand,demonstrator,d.c.,demand,smaller,fervent,group,protester,gather,sister,step,least,"2,000",people,accord,head,count,ostensibly,sequel,last,week,much,larger,seek,avoid,partisan,feature,democrat,include,rep,lloyd,doggett,unabashedly,shot,texas,legislature,leadership,evolution,deny,real,sure,gravity,seem,alien,mayor,steve,adler,speak,tout,effort,toward,zero,carbon,footprint,2050,goal,save,electricity,politician,parent,worried,planet,future,world,leave,kid,stacy,macdiarmid,bring,young,son,political,activism,look,disturb,use,congressional,review
,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 22, 2017 Sunday",13 of 95 DOCUMENTS,Austin American-Statesman (Texas),An unlikely climate hero,Jonathan Tilove American-Statesman Staff,MAIN; Pg. A1,,2852 words,,,"October 24, 2017",ENGLISH,,A front-page story Sunday about Georgetown Mayor Dale Ross incorrectly reported that nuclear power made up 2 percent of the energy used on the Texas grid in 2016. The correct figure is 12 percent.,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Georgetown,Ross,energy,renewable,percent,wind,grid,Texas,coal,Beach,â,city,solar,power,really,make,happen,go,do,president,decision,think,100,buckenmaier,term,contract,cost,reason,Gore,Trump,McConnell,climate,take,ask,million,know,well,environmental,price,gas,source,people,tell,can,utility,foster,plant,market,hit,German,mayor,ross,weltspiegel,republican,vice,back,three,build,part,need,economic,meet,natural,elect,fact,basis,anything,true,electricity,crash,Buckenmaier,LCRA,interview,operate,conservative,former,annual,second,crew,new,play,inconvenient,sequel,reach,pay,visit,set,short,able,objective,risk,clean,win,battle,base,gore,place,life,coincidence
