PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 30, 1997, Sunday",2 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MAN AND NATURE FEELING THE HEAT,"JOBY WARRICK, THE WASHINGTON POST","WORLD, Pg. A-10",,1456 words,"SANBORN, N.D.",,"December 3, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,warming,scientist,climate,change,global,Earth,greenhouse,temperature,gas,carbon,atmosphere,effect,satellite,know,continue,heat,scientific,human,planet,small,measurement,town,go,computer,new,possible,record,city,recent,range,debate,world,major,warm,balance,far,nation,reach,point,amount,data,question,evidence,level,degree,argue,dioxide,way,make,century,add,Sanborn,Albritton,100,forecast,week,mean,freeze,bring,fact,predict,steadily,grow,farmer,mild,eventually,flood,believe,water,enormous,around,model,can,yet,impact,consensus,real,likely,many,prominent,atmospheric,there,significant,decade,begin,important,influence,base,rise,fall,theory,fully,cut,research,fuel,journal,still,produce,link
,16,11,10,9,8,8,7,7,7,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 29, 1997, Monday",21 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BYLINE: FROM LOCAL AND WIRE DISPATCHES,,"SCIENCE, TECHNOLOGY & MEDICINE, Pg. A-11, SCIENCE NOTEBOOK",,703 words,,,"September 29, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,mussel,change,scientist,thread,lake,include,next,climate,environment,lecture,new,yet,zebra,bottom,fellowship,global,warming,host,open,president,monday,panel,discussion,scientific,policy,hold,free,public,way,direct,effect,call,university,name,marine,attach,research,show,tendon,recently,tough,five,time,material,soft,know,biologist,award,foundation,receive,Carnegie_Mellon_University,McLachlan,conference,remark,vice,al,gore,address,via,satellite,transmission,d.c.,begin,a.m.,follow,economic,issue,downlink,although,considerable,uncertainty,exactly,earth,respond,enhance,greenhouse,gas,future,observation,indicate,detectable,temperature,precipitation,soil,moisture,sea,level,thus,decision,near,term,consequence,register,412,fax,304,george,raymond,epamail.epa.gov
,8,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 10, 1997, Monday",32 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MORAL CLIMATE CHANGE,RALPH T. DEFFENBAUGH; MT. LEBANON,"EDITORIAL, Pg. A-12, LETTERS TO THE EDITOR",,215 words,,,"November 13, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,change,consequence,threat,America,global,word,course,sooner,later,destructive,world,behavior,Clinton,Pittsburgh,oct,president,speak,climate,strike,make,mistake,problem,real,know,earth,create,tolerate,pollution,place,atmosphere,sure,whether,warming,occur,seem,address,another,serious,freedom,loss,ofmorality,earlier,week,read,disturbing,fact,pornography,show,rock,concert,do,nothing,every,expose,young,man,lure,nude,woman,advertisement,sport,page,become,numb,constant,bombardment,immoral,think,silence,accept,believe,anything,desire,suffer,many,precious,pose,clear,present,danger,enemy,far,subtle,Great_Newspapers
,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 9, 1997, Tuesday",34 of 247 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),U.S. OFFERS DEEPER EMISSIONS CUTS AT KYOTO GLOBAL MEETING,"CHARLES J. HANLEY, THE ASSOCIATED PRESS","WORLD, Pg. A-1",,635 words,"KYOTO, Japan",,"December 11, 1997",ENGLISH,,,,,,,Copyright 1997 P.G. Publishing Co.
,emission,U.S.,warming,cut,gas,president,negotiator,team,greenhouse,level,negotiate,Clinton,new,agreement,offer,propose,plan,global,report,today,reduce,1990,give,energy,flexibility,fuel,conference,Gore,negotiation,climate,delegate,percent,2012,progress,control,planet,visit,vice,announce,increase,end,european,minister,believe,reach,country,set,target,dioxide,protocol,much,ocean,call,mobilize,American,Washington,Climate_Change_Treaty,Bangladesh,intense,originally,combate,deeper,previously,envision,complain,little,achieve,compromise,however,understatement,continue,freer,hand,earlier,final,intensive,talk,piece,together,historic,accord,use,protect,21st,century,lightning,al,gore,standoff,deeply,chief,e.,eizenstat,americans,detailed,thorough,useful,discussion,late
,8,7,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
