PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 16, 1998, Monday",1 of 204 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CLIMATE CHANGES COULD BE SUDDEN,"WILLIAM K. STEVENS, THE NEW YORK TIMES","SCIENCE, TECHNOLOGY & MEDICINE, Pg. A-11",,824 words,,,"February 18, 1998",ENGLISH,,,,,,,Copyright 1998 P.G. Publishing Co.
,climate,change,system,scientist,rise,ice,warming,temperature,carbon,dioxide,degree,age,find,threshold,effect,gradually,less,pressure,climatic,abrupt,least,may,Greenland,widespread,human,feel,make,grow,evidence,decade,time,increase,concentration,gas,happen,last,much,lead,wave,know,question,the,pay,attention,might,something,examine,clue,take,team,world,impact,study,another,paleoclimatologist,sediment,"1,500",end,abruptly,rain,within,think,atmospheric,switch,Lamont_Doherty,University,deMenocal,Nevada,Taylor,debate,global,assumption,earth,smoothly,easier,adapt,accumulation,geological,clearer,past,undergone,drastic,rainfall,pattern,space,lifetime,implication,federal,international,policy,enormous,produce,burn,fossil,fuel,coal,oil,steadily,accumulate
,10,9,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 4, 1998, Sunday",8 of 204 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ANTARCTICA MELT SOUNDS ALARM FOR GEOLOGISTS,"ROBERT S. BOYD, KNIGHT RIDDER NEWS SERVICE","SCIENCE, TECHNOLOGY & MEDICINE, Pg. A-3",,934 words,"ORONO, Maine",,"October 7, 1998",ENGLISH,,,"MAP, MAP: Knight-Ridder/Tribune: (Polar warm-up melting ice shelves)",,,,Copyright 1998 P.G. Publishing Co.
,ice,sea,mile,glacier,scientist,ocean,change,Maine,half,last,sheet,disintegration,researcher,cap,level,area,space,satellite,call,continent,global,lose,slide,glaciologist,Antarctica,University,West_Antarctic_Ice_Sheet,West_Antarctica,Pine_Island,planet,warning,condition,southern,big,raise,coastal,climate,enough,major,effect,latest,hole,conference,expert,partly,bottom,concern,possible,rapid,note,square,accord,decade,accelerate,human,world,temperature,sun,new,toward,warm,ago,thousand,entire,rise,start,100,long,break,measure,hundred,occur,know,shelf,trigger,may,Earth,Antarctic,NASA,Florida,Thwaites,study,health,unstable,shed,icy,mantle,disturbing,rate,shrink,enormous,dramatically,century,flooding,significantly,alter,peril,immediate,serious
,22,8,8,7,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 11, 1998, Tuesday",10 of 204 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THIS YEAR MAY BE THE HOTTEST IN EARTH'S 120-YEAR WEATHER RECORD, BUT; SCIENTISTS AND POLITICIANS CAN'T AGREE ON WHY.; AS IT GETS HOTTER, SO DOES DEBATE","SCOTT ALLEN, THE BOSTON GLOBE","SCIENCE, TECHNOLOGY & MEDICINE, Pg. A-3",,1181 words,,,"August 13, 1998",ENGLISH,,,,,,,Copyright 1998 P.G. Publishing Co.
,warming,weather,global,temperature,heat,increase,last,climate,record,scientist,may,human,find,worst,warmest,el,nino,researcher,gas,extreme,least,Texas,week,100,degree,people,planet,believe,much,wave,the,president,gore,greenhouse,modest,become,every,suggest,skeptic,storm,Clinton,finally,break,wither,winter,june,ever,hottest,politician,increasingly,hot,debate,mean,blame,lead,administration,high,vice,al,though,surface,point,agency,something,happen,world,dring,far,scientific,research,change,pattern,century,condition,occur,attempt,carbon,dioxide,place,corner,environmental,conservative,challenge,frequency,senior,explain,inch,seem,note,Florida,Boston,Pacific_Ocean,Gore,White_House,Karl,top,straight,leave,dead
,16,14,12,10,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"January 22, 1998, Thursday",13 of 204 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"'MESSENGER OF HOPE'; CASTRO, CUBA GIVE A WARM WELCOME TO POPE AS HISTORIC PILGRIMAGE BEGINS","VICTOR L. SIMPSON, THE ASSOCIATED PRESS","WORLD, Pg. A-1",,1086 words,HAVANA,,"January 24, 1998",ENGLISH,,,"PHOTO, PHOTO: Martha Rial/Post-Gazette: A young man holding the Cuban flag; tries to get a closer look at Pope John Paul II during the pontiff's arrival; at Jose Marti Airport in Havana.",,,,Copyright 1998 P.G. Publishing Co.
,pope,visit,Cuba,may,embargo,church,change,papal,Cuban,hope,revolution,world,make,Castro,cuba,U.S.,Havana,pontiff,revolutionary,political,plane,airport,leader,offer,economic,help,government,blame,trip,speak,communist,people,long,open,declare,worker,route,Poland,Washington,`,president,dress,among,arrive,four,hold,attention,move,hand,thing,castro,influence,freedom,trust,last,perhaps,reporter,aboard,human,bring,follow,clear,ask,message,better,force,nation,take,many,bicycle,cuban,John_Paul,United_States,Christ,messenger,truth,begin,historic,pilgrimage,land,hardship,embattle,faith,age,struggle,blue,suit,instead,usual,fatigue,wait,greet,slowly,climb,p.m.,child,white,box,soil
,16,11,11,8,8,7,7,7,7,6,6,6,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 6, 1998, Saturday",22 of 204 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),AGH'S PARENT FIRES CEO; FOUNDATION'S MOVE COMES AMID TROUBLES IN PHILA. OPERATIONS,"PAMELA GAYNOR, POST-GAZETTE STAFF WRITER","BUSINESS, Pg. A-1",,1073 words,,,"June 7, 1998",ENGLISH,,,,,,,Copyright 1998 P.G. Publishing Co.
,AHERF,hospital,Sanzo,Abdelhak,foundation,financial,operation,AGH,philadelphia,change,Philadelphia,bond,health,plan,last,million,management,president,board,question,care,important,work,region,early,although,deal,fall,physician,Moody,executive,1986,expansion,lead,departure,clearly,trouble,include,downgrade,medical,beginning,time,comment,difficulty,decline,community,might,problem,publicly,bondholder,assume,holding,post,overall,loss,fiscal,end,profit,lose,school,though,future,huge,move,serious,rating,agency,cash,six,analyst,begin,acquisition,reimbursement,Allegheny_General,Graduate,chief,officer,general,parent,replace,apparently,pull,tremor,shake,undertow,discontent,architect,massive,succeed,head,meeting,morning,spokesman,skirt,reason,deem,best,suite,organization
,26,9,8,8,7,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 20, 1998, Monday",24 of 204 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WARMING SUSPECTED AS ICE SHELF BREAKS OFF,"CURT SUPLEE, THE WASHINGTON POST","SCIENCE, TECHNOLOGY & MEDICINE, Pg. A-18",,603 words,,,"April 22, 1998",ENGLISH,,,,,,,Copyright 1998 P.G. Publishing Co.
