PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 15, 1999, Friday",3 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WINTER ARTS PREVIEW,"ADRIAN MCCOY, POST-GAZETTE STAFF WRITER","ARTS & ENTERTAINMENT, Pg. 26",,1643 words,,,"January 22, 1999",ENGLISH,,,"PHOTO, PHOTO: Gary Guydosh: Paperwhite narcissus grow at the feet of a; statue in Phipps Conservatory, Oakland.",,,,Copyright 1999 P.G. Publishing Co.
,feb,march,april,jan,may,exhibit,show,bird,feb.,event,plant,orchid,program,spring,look,kid,1999,science,winter,place,zoo,center,life,special,fair,lecture,include,learn,pittsburgh,butterfly,nature,animal,free,child,hike,North_Side,take,saturday,visit,new,collection,feature,ave,forest,jr.,star,sky,celebration,activity,plus,reservation,talk,tour,jan.,Museum,Mother,snow,along,palm,calypso,distant,greatest,strobe,light,dinosaurs,fly,way,boat,l.,lawrence,convention,history,museum,display,dinosaur,ongoing,art,hall,sound,book,photograph,old,simulate,theater,world,ride,experience,search,planet,engineering,national,allegheny,vanilla,native,tropical,p.m.,garden,create,demonstration
,18,16,16,16,14,10,9,8,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 3, 1999, Sunday",14 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BELIEVE THE SCIENTIST,"ADRIAN L. MELOTT, SHADYSIDE","EDITORIAL, Pg. E-2, LETTERS TO THE EDITOR",,678 words,,,"October 5, 1999",ENGLISH,,,,,,,Copyright 1999 P.G. Publishing Co.
,weather,increase,water,severe,recent,population,related,global,warming,problem,include,part,cost,note,without,supply,use,forum,may,severity,land,home,claim,effect,commentary,likely,climate,physics,visit,trust,balance,regardless,damage,writer,enormously,regard,million,massive,flood,agriculture,major,consider,resource,surplus,effort,factor,food,proposal,professor,David_Laskin,Free,Bad_Weather,Daniel_Lashof,Man_Made,University,Kansas,water_conserving,sept,piece,section,concentrate,fact,actually,unusual,careful,nonexistent,calm,people,quit,worry,human,action,book,history,brave,element,journalist,write,many,different,topic,hand,describe,dark,cloud,ahead,causal,relationship,point,model,predict,kind,thing,intensify,bachelor,degree,mathematics,ph.d,have
,9,7,7,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 26, 1999, Tuesday",19 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),A CROSSROADS IN NURSING; THE PROFESSION IS UNDER PRESSURES FLORENCE NIGHTINGALE NEVER DREAMED OF. A NEW; AWARD HONORS ITS MEMBERS FOR DEDICATION UNDER DIFFICULT CIRCUMSTANCES.,"CHRISTOPHER SNOWBECK, POST-GAZETTE STAFF WRITER","HEALTH, Pg. G-1",,2166 words,,,"October 27, 1999",ENGLISH,,,"PHOTO (4), Photo: Steve Mellon/Post-Gazette: Cameos of Caring winner Elizabeth; Ann Ivey works in the Cardiac Care Unit at UPMC McKeesport. She returned to; nursing after another career - raising a family.; Photo: Martha Rial/Post-Gazette: Nurse educator Brenadette Bryant leads a; discussion on a topic of vital interest for nurses today: Managing conflict; and stress. Bryant, a Cameos of Caring winner, was joined by nurse Lorenda; Porter, right, and others at the Mercy Hospital Hospital session.; Photo: PAM PANCHAK/POST-GAZETTE: MARY GEUBTNER TENDS TO A PATIENT IN HER UNIT; AT ALLEGHENY GENERAL HOSPITAL. NURSES - AND OTHER EMPLOYEES - GOT AN EXTRA; HELPING OF STRESS THERE DURING THE BANKRUPTCY PROCEEDINGS OF THE PARENT; COMPANY, ALLEGHENY HEALTH, EDUCATION AND RESEARCH FOUNDATION.; Photo: TONY TYE/POST-GAZETTE: DANIEL SHEARN, A NURSE IN THE MEDICAL INTENSIVE; CARE UNIT AT UPMC MONTEFIORE, IS ONE OF FOUR SIBLINGS WHO HAVE MADE A CAREER; IN NURSING.",,,,Copyright 1999 P.G. Publishing Co.
,nurse,hospital,care,patient,union,work,nursing,change,register,health,staff,unit,California,time,make,practitioner,level,use,many,go,license,Allegheny_General,duty,establish,general,place,1998,physician,caring,reason,think,organize,pay,per,"1,000",1996,percent,week,state,trauma,degree,training,Cameos,Roth,perform,train,business,drive,grow,condition,study,talk,teach,call,rudy,much,take,feel,involved,winner,report,drop,number,1993,result,group,give,become,last,never,area,fail,good,night,strike,UPMC_McKeesport,Pittsburgh,Clark,Geubtner,Ivey,LPN,sicker,hand,frustration,morale,outstanding,clear,organizer,way,vote,several,family,cardiac,emergency,room,order,doctor,leave,know
,69,28,23,22,17,15,13,11,10,9,8,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 30, 1999, Wednesday",20 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),COULD POLLUTION CUTS SPEED GLOBAL WARMING?,"SETH BORENSTEIN, KNIGHT RIDDER NEWSPAPERS","SCIENCE, MEDICINE, TECHNOLOGY, Pg. A-2",,438 words,WASHINGTON,,"July 1, 1999",ENGLISH,,,,,,,Copyright 1999 P.G. Publishing Co.
,Wigley,sulfur,warming,scientist,global,study,predict,emission,air,climate,degree,2100,rise,inch,United_States,clean,temperature,dioxide,problem,acid,rain,raise,new,world,extra,warmup,director,issue,dramatically,pay,price,noticeably,higher,accord,report,release,nation,cut,pollution,cause,health,reflect,sun,heat,slow,remove,expect,next,100,prediction,make,four,ago,senior,save,might,exacerbate,hotter,faster,rest,globe,size,northern,location,continent,contribute,1995,international,rate,1.5,reduction,somewhere,2.5,add,increase,sea,level,instead,seas,dramatic,effect,coastal,area,national,assessment,government,base,forecast,unpublish,research,1992,think,double,1990,show,drop,particle,represent,moral
,8,7,7,6,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 6, 1999, Sunday",22 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE NEW TOP MAN; FIVE POLITICAL LEADERS DEBATE THE NEW GOVERNMENT AND THE REGION'S FUTURE,"DOUGLAS HEUCK, POST-GAZETTE BENCHMARKS EDITOR","TABS, Pg. H-3",,8652 words,,,"June 8, 1999",ENGLISH,,,"PHOTO (5), PHOTO: Lake Fong/Post-Gazette: Dr. Cyril Wecht; PHOTO: Jim Roddey; PHOTO: Tom Murphy; PHOTO: Bob Cranmer; PHOTO: Jack Wagner",,,,Copyright 1999 P.G. Publishing Co.
,county,go,think,need,work,people,airport,city,executive,government,thing,make,development,really,look,time,we,right,together,region,economic,new,know,talk,Pittsburgh,have,wagner,authority,lot,take,roddey,move,wecht,private,murphy,company,whether,marketing,do,relationship,job,opportunity,believe,well,Allegheny_County,feel,part,good,community,important,mayor,effort,around,issue,forward,build,probably,level,cranmer,sure,give,back,area,delegation,manager,organization,something,put,question,meeting,able,every,let,position,try,happen,last,real,start,involved,public,hire,sector,big,deal,three,run,way,matter,cooperation,great,operation,place,problem,answer,much,change,role,RAD
,76,68,45,44,38,38,34,33,30,29,29,29,27,26,23,23,23,22,21,20,20,20,19,19,19,18,18,18,18,17,17,17,16,15,15,15,15,14,14,14,14,14,13,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"December 10, 1999, Friday",42 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SCIENTISTS SAY MARS ONCE HAD AN OCEAN, AND MAYBE LIFE, TOO","WILLIAM J. BROAD, THE NEW YORK TIMES","SCIENCE, MEDICINE, TECHNOLOGY, Pg. A-15",,470 words,,,"April 6, 2000",ENGLISH,,,,,,,Copyright 1999 P.G. Publishing Co.
,mar,evidence,ocean,finding,water,sea,planet,scientist,make,life,planetary,Mars,Martian,bore,wave,long,today,yet,prove,vanish,team,geologist,hypothesis,another,add,new,widely,loss,south,pole,Earth,find,tantalize,northern,lowland,wide,dry,hidden,depth,beach,report,issue,journal,science,hail,best,case,existence,primordial,although,direct,alien,large,amount,indicate,might,thrive,consider,way,understand,dinosaurs,walk,look,sign,may,exist,billion,ago,sixperson,lead,examine,six,category,turn,support,data,orbit,include,hint,ancient,shoreline,parallel,curve,terrace,suggest,level,action,process,retreat,clue,area,central,basin,unusually,flat,smooth,imply,feature,thick
,6,5,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 30, 1999, Saturday",47 of 217 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"ROLIING, ROLLING, ROLLING; ECONOMIC GROWTH ROSE, INFLATION FELL IN LATE '98","SYLVIA NASAR, THE NEW YORK TIMES","NATIONAL, Pg. A-1",,949 words,NEW YORK,,"February 2, 1999",ENGLISH,,,"PHOTO INFORMATIONAL GRAPHIC, PHOTO: Bob Donaldson/Post-Gazette: Bill McCormick, center, a sales; representative for Bowser Pontiac Oldsmobile Subaru Isuzu Hyundai in Pleasant; Hills, closes a deal on a new Pontiac Grand Am yesterday with Bob Wagner of; Hopewell. Stephanie Haboush, left, brought her boss to the dealership to meet; McCormick. Not only are car sales up, but customers are going full out for; options and financing.; INFORMATIONAL GRAPHIC: Associated Press: Rise in the gross domestic product.; Source: Department of Commerce",,,,Copyright 1999 P.G. Publishing Co.
,percent,rate,growth,consumer,last,spend,new,annual,quarter,economy,inflation,market,expect,business,economist,car,sale,rise,stock,product,1998,make,third,earlier,keep,stronger,chief,seem,recession,point,summer,report,soar,inventory,sign,strong,home,trade,deficit,higher,America,end,domestic,goods,surge,pace,nearly,despite,run,lowest,less,corp,financial,slow,time,billion,struggle,back,fall,strength,reflect,construction,unseasonably,warm,fourth,december,interest,level,income,rebound,index,big,development,prove,hit,high,average,three,GDP,American,pleasant,surprise,biggest,burst,surpass,bullish,prediction,gross,total,service,produce,5.6,final,mark,fastest,consecutive,expand,increase,3.9
