PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 11, 2000, Saturday",1 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NATIONS DISCUSS PROPOSALS ON KYOTO GREENHOUSE TREATY,"H. JOSEF HEBERT, THE ASSOCIATED PRESS","NATIONAL, Pg. A-10",,969 words,WASHINGTON --,,"November 12, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,treaty,U.S.,country,emission,reduction,greenhouse,target,carbon,kyoto,make,cut,credit,Kyoto,climate,may,gas,meet,week,percent,achieve,trading,land,administration,world,change,view,oppose,industrial,1990,economic,insist,proposal,*,pollution,already,use,half,environmental,negotiator,cost_effective,critical,cost,craft,discussion,next,become,nation,state,head,interview,take,additional,president,shift,accord,opposition,negotiate,fossil,fuel,level,many,require,energy,include,power,plant,buy,forest,agricultural,management,official,way,loophole,without,domestic,virtually,ton,european,strongly,deal,seek,go,free,Bush,heat_trapping,United_States,prepare,probably,contentious,global,warming,talk,warning,agree,three,ago,fall,apart,reduce
,11,11,10,10,8,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 16, 2000, Sunday",22 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CHANGE IS A CONSTANT IN LAKE ERIE,"DON HOPEY, POST-GAZETTE STAFF WRITER","STATE, Pg. A-1",,2753 words,,,"January 18, 2000",ENGLISH,,,"INFORMATIONAL GRAPHIC, INFORMATIONAL GRAPHIC: James Hilston/Post-Gazette; Great Lakes; Commission, US Army Corps of Engineers: (Lake Erie: Then and now)",,,,Copyright 2000 P.G. Publishing Co.
,lake,water,mussel,zebra,level,Lake_Erie,change,species,Great_Lakes,fish,many,chemical,runoff,concern,goby,million,good,result,sprawl,toxic,another,lot,ecosystem,along,around,quagga,cause,Hageman,wetland,pesticide,industry,industrial,pollution,catch,walleye,reduce,municipal,part,go,foot,include,boat,people,time,problem,native,bottom,begin,net,agricultural,contaminate,lower,perch,eat,watershed,low,visible,much,sea,average,state,century,fishery,less,nutrient,talk,Mackey,Lake_Superior,research,western,end,urban,increase,emission,sediment,still,rise,fall,affect,smallmouth,bass,worry,erosion,company,tremendous,number,dump,sport,cousin,round,add,use,look,weather,high,have,already,last,reason
,47,33,18,15,12,12,10,9,9,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"October 25, 2000, Wednesday",24 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),STONES IN FISH EARS OFFER CLUES TO EXTINCTIONS TIED TO CLIMATE,"BRYN NELSON, NEWSDAY","SCIENCE, TECHNOLOGY AND MEDICINE, Pg. A-3",,595 words,,,"November 2, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,temperature,fish,layer,stone,extinction,otolith,weather,life,epoch,average,annual,Ivany,within,ear,prehistoric,new,creature,scientist,change,million,ago,study,call,reveal,seasonal,boundary,information,Eocene,Oligocene,offer,marine,abrupt,climate,tree,variation,able,estimate,ocean,period,time,look,across,team,different,idea,assist,gulf,coast,professor,world,fluctuation,calcium,carbonate,similar,eel,use,two_week,Bellingham,tiny,deposit,pearl,wisdom,massive,global,trigger,accord,publish,last,week,journal,nature,condition,lifetime,way,ring,sampling,successive,researcher,collaborator,interval,three,think,interesting,thing,anyone,piece,history,especially,work,accumulate,data,support,cooler,winter,may,wipe,extensive,include,percent
,7,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 19, 2000, Sunday",31 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),TREES CAN COOL THINGS DOWN,HENRY D. GERHOLD,"EDITORIAL, Pg. E-1",,861 words,,,"November 23, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,forest,tree,carbon,reduce,United_States,million,use,dioxide,need,plant,marginal,farmland,ton,fuel,global,country,change,program,action,fossil,effort,warming,acre,must,estimate,billion,increase,sustainable,practice,size,land,result,burn,greenhouse,gas,treaty,health,reduction,time,energy,climate,stand,soak,air,environmental,group,many,wood,continue,make,capability,priority,position,full,credit,amount,cut,half,agree,number,today,currently,forestry,grow,great,achieve,better,clear,soil,carbon_storing,U.S.,America,Kyoto_Protocol,face,environment,polarize,issue,presidential,campaign,counter,buildup,w.,bush,oppose,ominous,implication,comply,lead,partisan,deadlock,maintain,eliminate,drastic,buy,shift,toward,noncarbon,source,instead
,13,11,11,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 2, 2000, Wednesday",36 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),U.S. PUSHING NEW STRATEGY TO 'WARMING',"ANDREW C. REVKIN, THE NEW YORK TIMES","NATIONAL, Pg. A-7",,394 words,,,"August 3, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,carbon,dioxide,cut,climate,country,United_States,international,gas,warming,emission,plant,last,night,ratify,agreement,negotiation,farmer,scientist,tree,absorb,soil,well,essential,far,proposal,approach,file,aim,heat_trapping,prepare,renew,level,may,propose,much,credit,use,forest,field,sop,chief,smoke,stack,tail,pipe,know,decade,grow,theory,pull,atmosphere,allow,emit,greenhouse,without,add,overall,problem,administration,official,incentive,farm,way,lock,away,part,strategy,stabilize,addition,bring,forester,battle,likely,firmly,oppose,treaty,change,view,position,criticize,private,environmental,group,focus,burn,coal,oil,cause,buildup,point,uncertainty,long,continue,contend,reduce,safer,course,odd,stance
,7,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 6, 2000, Thursday",40 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE BURDEN OF KYOTO,ROBERT C. JUNK JR.; PRESIDENT; PENNSYLVANIA FARMERS UNION; UNIONTOWN,"EDITORIAL, Pg. A-16, LETTERS TO THE EDITOR",,308 words,,,"July 6, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,protocol,Kyoto,country,treaty,economic,develop,nation,House,Senate,United_States,need,climate,change,emission,exempt,scientific,disagree,statement,make,action,take,representative,june,editorial,reprint,hot,head,other,respond,however,appropriate,response,agree,illustrate,overwhelming,support,favor,zero,resolution,state,ratify,put,disadvantage,rep,jo,ann,emerson,diligently,work,ensure,allow,implement,backdoor,mechanism,send,cautionary,signal,fundamentally,flaw,call,drastically,reduce,130,limitation,gas,reduction,surely,offset,additionally,lose,edge,cost,business,significantly,increase,newly,impose,regulation,agriculture,industry,place,undue,burden,family,farmer,pennsylvania,across,due,questionable,science,study,answer,question,happen,consensus,achieve,thoughtful,defense,global
,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 6, 2000, Sunday",50 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),COSTA RICAN TRIP GIVES TEACHERS UNIQUE OPPORTUNITY,DAVE ZUCHOWSKI,"METRO, Pg. W-4",,561 words,,,"August 9, 2000",ENGLISH,,,"PHOTO (2), PHOTO: LEARNING EXPERIENCE/Teachers Ken Harasty of Brownsville and; Nancy Vankirk of Washington return from Costa Rica. (Photo, Page W-1); PHOTO: Robert J. Pavuchak: Teacher Ken Harasty shows the styrofoam coffee cup; that was with him down 200 meters in the ""Alvin,"" the mini-submarine used to; make the Titanic movie.",,,,Copyright 2000 P.G. Publishing Co.
,teacher,research,country,forest,Vankirk,Harasty,Costa_Rica,application,program,environmental,science,change,rain,journey,send,life,impact,ecosystem,go,lowland,plenty,place,take,student,southwestern,pennsylvania,document,home,Washington,Earth,receive,mail,note,read,think,might,interested,little,know,sheet,paper,turn,start,fantastic,packet,professor,alice,grier,lee,colleague,meet,educational,parley,special,work,travel,offer,secondary,school,physical,spend,three,week,global,climate,influence,man,terrestrial,aquatic,friend,space,ask,sure,reply,fate,proper,credential,choose,participate,across,july,fly,capital,city,give,orientation,prepare,dry,tropical,daily,agenda,rigorous,breakfast,serve,morning,end,8:30,evening,talk
,7,5,5,5,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 29, 2000, Sunday",52 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THOUGHTS OF ICE BALLS AND ICE CAPS ONE SUNNY FALL DAY,BRIAN O'NEILL,"LIFESTYLE, Pg. B-1",,608 words,,,"November 2, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,ice,ball,Kalaris,think,sell,business,nov,morning,walk,take,yet,harder,october,afternoon,last,cap,make,warmer,man,course,dad,fruit,popcorn,peanut,ask,climate,trade,syrup,1950,deer,cold,begin,date,look,still,daughter,another,beautiful,leave,house,without,coat,ready,work,nah,bus,read,way,front,page,headline,global,warming,warning,worst,pretend,heating,planet,theory,hand,hard,argue,week,solar,melting,closer,beach,right,sure,screw,thing,big,time,columnist,flippant,issue,run,risk,call,alarmist,let,spend,budget,surplus,good,chance,lousing,place,odd,dead,worry,feeling,better,conclusion,burn,gasoline,whose,livelihood,directly
,6,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 22, 2000, Sunday",55 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"A PUNK AMONG SOLONS NO MORE, SANTORUM NOW AT HOME IN SENATE","JAMES O'TOOLE, POLITICS EDITOR, POST-GAZETTE","NATIONAL, Pg. A-10",,2223 words,,,"October 22, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,Santorum,House,issue,change,another,member,political,republican,vote,democrat,campaign,state,many,time,conservative,Senate,give,sen,reputation,president,run,legislation,Democratic,race,hold,seem,know,stand,work,former,voter,health,reform,critic,seat,among,group,past,election,bring,term,every,party,line,spend,1990,18th,district,abortion,percent,victory,majority,we,labor,care,position,system,lead,proposal,tactic,balance,budget,different,never,U.S.,Congress,re_election,Virginia,Walgren,Wofford,Clinton,wear,black,smile,center,read,government,law,example,senate,might,find,scene,ideologue,registration,favor,nation,big,santorum,gift,fact,talk,week,follow,funding,rural,upset,career,1994
,43,9,8,8,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 12, 2000, Thursday",56 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),POLITICAL REFORM NOT ON AGENDA; CHINESE RULERS MEET BEHIND PUBLIC VIEW,"CHARLES HUTZLER, THE ASSOCIATED PRESS","WORLD, Pg. A-4",,597 words,BEIJING --,,"October 13, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,party,government,trouble,change,reform,leader,China,Chinese,member,make,political,system,need,policy,leadership,unrest,countryside,trade,elite,economic,plan,often,former,election,local,conservative,delay,open,public,participation,organization,people,entry,social,end,better,communique,carry,state,media,call,authority,Central_Committee,five_year,Beijing,biggest,meeting,discuss,speak,volume,besett,popular,anger,corruption,brew,global,impact,already,high,unemployment,loom,mull,personnel,scant,mention,lumber,unresponsive,agenda,researcher,cabinet,agency,champion,direct,think,stasis,demand,grow,meaningful,liberal,scholar,rarely,agree,predict,crisis,family,benefit,current,unrestrained,power,ought,serve,nation,interested,economics,professor,politically,author,book,clash
,8,6,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
