PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 13, 2001 Friday",1 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HUMANS CAUSE GLOBAL WARMING,"PAUL RECER, THE ASSOCIATED PRESS","SCIENCE, MEDICINE, TECHNOLOGY, Pg.A-14",,424 words,WASHINGTON,,"April 14, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,global,model,temperature,climate,warming,gas,researcher,computer,evidence,cause,increase,ocean,greenhouse,effect,study,appear,human,use,independently,rise,carbon,dioxide,think,last,plan,emission,produce,work,activity,degree,observe,atmosphere,Bush,Levitus,show,world,develop,slightly,different,technique,link,atmospheric,principally,burn,oil,coal,strongest,date,change,today,journal,science,wake,president,decision,reject,treaty,1997,international,reduce,order,curb,call,sharp,reduction,expensive,unwise,time,face,energy,economic,problem,group,close,agreement,another,analyze,p.,barnett,oceanography,fingerprint,influence,bold,big,fancy,statistic,beat,data,result,certainly,compatible,idea,anthropogenic,source,modeling,collaborative,warm,risen,1.1
,6,6,6,6,5,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 7, 2001 Saturday",35 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH CUTS EMISSION AID OVERSEAS;  PLAN TO REDUCE CO2 POLLUTION FROM THIRD WORLD,"JOHN HEILPRIN, THE ASSOCIATED PRESS","NATIONAL, Pg.A-5",,524 words,WASHINGTON,,"July 11, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,Bush,country,reduce,report,climate,cut,change,last,million,emission,program,project,U.S.,president,exclude,aid,help,world,global,warming,shift,private,june,plan,energy,carbon,dioxide,pollution,budget,use,wind,agricultural,waste,increase,power,fund,research,Kyoto,Europe,heat_trapping,Brazil,India,Mexico,faulting,treaty,develop,nation,requirement,third,combat,ask,nearly,billion,address,roughly,propose,assistance,165,call,responsibility,industry,figure,contain,copy,obtain,send,sen,pro,tem,decline,discuss,record,senior,administration,official,dispute,number,reflect,part,previously,reduction,final,international,provide,public,look,inventory,spend,issue,along,related,policy,become,increasingly,prominent,reversal,campaign,pledge,regulate
,12,6,6,6,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2001 Sunday",37 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MANY GROUPS DEBATE MODERNIZING ADOPTION;  BILL OVERHAULS PENNSYLVANIA'S 77-YEAR-OLD LAW,"MACKENZIE CARPENTER, POST-GAZETTE STAFF WRITER","LOCAL, Pg.B-1",,1594 words,,,"November 20, 2001",ENGLISH,,,": Steve Mellon/Post-Gazette Karen Krzys kisses her new daughter, 19-month-old Kenwyn, shortly before the family's adoption is finalized in Allegheny County juvenile court yesterday. More than 100 adoptions were finalized as part of National Adoption Day, a nationwide effort to increase the number of adoptions of foster children. Krzys and her husband, Joe, formerly of Pittsburgh, live in Massachusetts with their other two adopted children.",,,,Copyright 2001 P.G. Publishing Co.
,birth,adoption,parent,record,mother,change,state,child,law,bill,adoptee,adopt,group,open,provision,period,Pennsylvania,adoptive,certificate,right,many,allow,time,wait,mind,place,baby,agreement,oppose,give,revocation,may,past,three,effort,support,adult,still,national,contact,percent,family,passage,lobbying,new,couple,enough,privacy,seal,keep,pass,court,today,make,long,rights,know,stay,touch,sue,panel,something,everyone,access,religious,believe,go,include,trend,toward,try,pennsylvania,think,fail,fewer,way,supply,problem,part,help,hope,approach,committee,reason,confidentiality,can,find,back,another,treat,secret,head,shame,lot,protect,tell,we,original,home
,28,20,17,13,11,11,10,9,9,9,9,8,8,8,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 7, 2001 Tuesday",39 of 351 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SECTION: BUSINESS, Pg.E-3 LETTERS TO THE EDITOR",,,,1776 words,,,"August 7, 2001",ENGLISH,,,,,,,Copyright 2001 P.G. Publishing Co.
,live,Pittsburgh,wage,region,job,may,city,work,people,company,employee,Allegheny_County,technology,management,good,change,issue,entrepreneurial,opportunity,marketing,person,business,pay,must,growth,move,pittsburgh,well,area,industry,hire,everyone,way,private,report,make,law,need,thing,significant,experience,drive,minimum,*,take,great,follow,july,public,drag,1997,structure,choice,carrier,lead,enact,think,Chris_Moore,entry_level,Wambaugh,back,sale,within,thousand,time,recruiting,local,speak,ago,computer,software,grant,show,learn,talent,perspective,important,cost,much,expect,cut,idea,better,increase,recognize,benefit,overly,progressive,treat,provide,matter,word,mouth,decent,climate,believe,government,community,mcclatchy
,12,11,10,9,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
