PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 5, 2002 Wednesday",8 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH SPURNS REPORT ON CLIMATE CHANGE;  SAYS HE REMAINS OPPOSED TO KYOTO TREATY,"KATHARINE Q. SEELYE, THE NEW YORK TIMES","SCIENCE, MEDICINE, TECHNOLOGY, Pg.A-2",,637 words,WASHINGTON,,"June 8, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,report,Bush,change,conservative,global,president,administration,warming,call,spokesman,climate,environmental,United_States,distance,next,decade,response,put,still,treaty,greenhouse,gas,political,industry,view,uncertainty,science,prediction,go,accept,without,something,approach,United_Nations,Kyoto,Whitman,intense,criticism,conclude,human,blame,effect,environment,draft,review,several,agency,send,friday,substantially,although,rapid,reporter,ask,read,bureaucracy,oppose,ratify,mandatory,reduction,industrial,nation,critic,across,spectrum,try,appear,moderate,environmentalist,signal,promote,contain,emphasize,carry,numerous,caveat,exist,ari,fleischer,obviously,anticipate,question,daily,briefing,considerable,recent,relate,submit,recognize,definitive,potential,outcome,yet,feasible,weakest,link,knowledge,connection,regional
,18,12,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 19, 2002 Friday",24 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"FAST-MELTING ALASKAN GLACIERS RESHAPING STATE, RAISING SEA LEVELS","ERIC PIANIN, THE WASHINGTON POST","SCIENCE, MEDICINE, TECHNOLOGY, Pg.A-3",,483 words,WASHINGTON,,"July 20, 2002",ENGLISH,,,"PHOTO: Alaska Division of Tourism: The Mendenhall Glacier, part of the Juneau Icefield in Alaska, where scientists say that glaciers are melting at a more rapid rate than previously thought.",,,,Copyright 2002 P.G. Publishing Co.
,glacier,researcher,warming,study,scientist,ice,Alaska,melting,temperature,sea,change,global,twice,rate,state,level,accord,average,foot,past,annual,mass,mean,climate,rest,world,rapid,happen,natural,environmentalist,shelf,period,begin,Alaskan,University,United_States,previously,assume,disturbing,phenomenon,dramatically,alter,majestic,contour,drive,new,use,highly,precise,airborne,laser,measurement,alaskan,discover,six,case,couple,hundred,accelerate,seven,eight,measure,severity,problem,calculate,generating,nearly,meltage,largest,second,melt,add,millimeter,unprecedented,development,implication,flooding,pacific,island,along,coastal,area,conclude,team,publish,today,issue,journal,science,offer,vivid,troubling,picture,potential,adverse,impact,last,century,five
,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 3, 2002 Monday",31 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"INSIDE A WORLD OF ICE DEEP UNDER A GLACIER, SCIENTISTS STRIVE TO FIND OUT WHAT MAKES THEM GO","DONALD G. MCNEIL JR., THE NEW YORK TIMES","SCIENCE, TECHNOLOGY AND MEDICINE, Pg.A-6",,1066 words,"BENEATH THE SVARTISEN GLACIER, Norway",,"June 6, 2002",ENGLISH,,,"PHOTO: Photo courtesy of Neal R. Iverson: Neal Iverson, in front of the door at the end of the research tunnel that leads directly into the bottom of the Svartisen Glacier in Norway.  INFORMATIONAL GRAPHIC: Bill Marsh/The New York Times; Neal R. Iverson, Iowa State University: (Tunneling for icy secrets)",,,,Copyright 2002 P.G. Publishing Co.
,glacier,ice,tunnel,team,foot,water,back,sediment,study,Iverson,make,good,weather,rock,work,power,global,mile,huge,climb,mountain,snow,big,bottom,glacial,flow,pressure,past,friction,world,company,scientist,glaciologist,change,Norway,find,cave,glaciology,follow,simple,direction,walk,sometimes,hand,light,enough,vast,wall,summer,hold,people,exist,model,rotate,thing,million,ton,race,nearly,sure,cube,build,laboratory,cut,edge,pocket,full,receive,melt,reason,hydroelectric,hotter,fear,center,move,warming,regard,climate,ago,Iowa,Svartisen,modern,fly,drive,three,hour,south,empty,jetty,wait,boatman,cross,fjord,gravel,road,toward,look,crack,dragon
,17,12,8,7,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 27, 2002 Tuesday",33 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"CORAL REEFS ARE LATEST ECOLOGICAL WARNING;  SURVEY OF 1,100 FOUND ONLY ONE FREE OF DAMAGE","JERRY HIRSCH, LOS ANGELES TIMES","NATIONAL, Pg.A-10",,816 words,,,"August 27, 2002",ENGLISH,,,"PHOTO: MacGillvray Freeman Films: This image from the upcoming IMAX Theater film ""Coral Reef Adventure"" shows a healthy reef in the South Pacific last year. Scientists say such reefs are in serious decline.",,,,Copyright 2002 P.G. Publishing Co.
,reef,coral,fish,species,many,ocean,study,marine,provide,make,scientist,world,live,rain,forest,accord,large,growth,often,percent,million,kill,Reef_Check,Hodgson,grim,climate,change,massive,survey,key,miss,cyanide,within,head,coastal,continual,type,stony,damage,last,"1,000",author,rate,global,alarming,extinction,grow,call,nation,structure,replenish,prize,tropical,breeding,100,old,temperature,animal,colony,include,stun,fishing,quickly,rebound,park,UCLA,follow,path,become,latest,victim,modern,human,plague,pollution,sensitive,garden,shrimp,lobster,majority,fisherman,pour,blast,dynamite,branch,collect,seafood,time,pollute,runoff,community,stream,fertilizer,onto,feed,fleshy,alga,choke,hard
,21,18,9,8,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
