PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 17, 2004 Saturday",7 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SUN, WIND AND CORN CUT UTILITY BILLS",,"LIFESTYLE, Pg.X-2",,1034 words,,,"January 17, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,solar,power,electricity,Tidwell,system,panel,cost,use,stove,percent,buy,price,house,roof,light,water,live,room,install,energy,family,home,hot,back,utility,electric,outage,add,increase,lot,manager,md,help,make,wind,amount,need,turn,go,estimate,provide,point,burn,gas,natural,corn_burning,Lahn,Spiliadis,meter,backward,credit,contractor,business,really,drive,last,have,renewable,appliance,warm,certificate,grid,household,many,people,plan,january,source,become,much,refrigerator,bulb,fluorescent,alone,reduce,wife,"17,000",grant,well,corn,oil,fire,two_story,wind_generated,energy_efficient,homeowner,sell,surplus,generate,local,spin,accrue,august,huge,blackout,across,widespread,storm,impetus
,17,10,9,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 26, 2004 Monday",16 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CHANGING WING SHAPES TO ADJUST TO FLYING SPEED,,"SCIENCE, MEDICINE & TECHNOLOGY, Pg.A-8 SCIENCE NOTEBOOK",,636 words,,,"April 26, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,wing,dust,researcher,find,devil,shell,bead,change,speed,meter,swirl,cause,journal,new,water,NASA,shape,flight,engineer,structure,range,require,slow,aerospace,last,week,problem,field,around,air,study,publish,necklace,think,oldest,know,evidence,together,primitive,perhaps,age,discover,date,recently,science,may,use,early,theme,global,warming,warm,deep,Mars,North_Atlantic,bird,famous,1903,flyer,warp,control,devise,way,morph,today,metal,airplane,internal,cellular,truss,outer,segment,skin,similar,scale,fish,increase,efficiency,high,small,sweep,long,narrow,present,concept,material,conference,project,support,grant,devilish,university,desert,surprisingly,large,electric,excess,"4,000",volt
,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 19, 2004 Monday",31 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),LACK OF FUNDING IS DOOMING CLIMATE SATELLITE,GUY GUGLIOTTA THE WASHINGTON POST,"LOCAL, Pg.A-4",,447 words,,,"July 19, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,NASA,satellite,use,TRMM,million,study,official,agency,congressional,Earth,Bush,orbit,refuse,fund,unique,change,engineer,plan,mission,earth,save,willing,keep,space,determine,decision,budget,money,de_orbit,allow,highly,successful,fall,little,dismay,scientist,forecaster,ability,climate,track,hurricane,order,fire,rocket,early,july,hold,measure,241,mile,without,periodic,assist,thruster,atmospheric,drag,send,remain,watery,grave,six,nine,joint,venture,work,perfectly,still,neither,contribute,estimate,need,operating,long,platform,whose,instrument,prove,invaluable,researcher,global,meteorologist,rain,radar,probe,deep,cloud,cover,whether,makings,cyclone,lurk,2002,potential,lifesave,value,great,enough,justify,aloft
,10,8,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 2004 Monday",40 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"TO BROADEN YOUR PERSPECTIVE, GO ABROAD; IT'S MORE IMPORTANT THAN EVER FOR AMERICAN STUDENTS TO STUDY IN A FOREIGN COUNTRY",Swanee Hunt,LIFESTYLE; LIFE SUPPORT; Pg. B-4,,722 words,,,"November 1, 2007",ENGLISH,,,,,,Newspaper,Copyright 2004 P.G. Publishing Co.
,student,abroad,home,world,college,many,americans,study,number,people,stay,family,foreign,better,look,young,experience,summer,high,language,program,go,increase,new,best,gift,fact,around,across,country,head,warm,group,leave,semester,current,policy,overseas,institute,past,send,learn,organization,offer,schooler,alumnus,cultural,find,reason,friend,still,person,life,gain,give,apartment,live,different,culture,International_Education,sometimes,fit,tree,halfway,holiday,approach,visit,snuggle,familiarity,wear,tradition,small,lucky,hi,goodbye,administration,make,increasingly,difficult,visa,important,"160,000",annually,packing,bag,every,accord,double,campuse,percent,become,popular,create,opportunity,goal,establish,fellowship,allow,half
,9,9,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 23, 2004 Saturday",53 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EPA CHIEF DEFENDS BUSH RECORD ON ENVIRONMENT,"Michelle K. Massie, Pittsburgh Post-Gazette","NATIONAL, Pg.A-7 THE ROAD TO THE WHITE HOUSE",,516 words,,,"October 26, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,Leavitt,issue,administration,standard,mercury,environmental,ozone,percent,Bush,emission,question,fact,EPA,record,many,major,include,pollution,reduce,power,plant,new,average,1997,audience,1990,call,cut,level,area,increase,contribute,go,world,U.S.,Kyoto_Protocol,protection,agency,administrator,defend,keynote,address,morning,society,conference,heavily,criticize,advocacy,group,highlight,consider,several,achievement,stricter,uphold,rigorous,federal,fine,particulate,investigate,concern,region,international,implement,stringent,nation,history,0.08,part,per,million,eight,hour,replace,previous,rule,actually,postpone,lengthy,legal,battle,eventually,wound,eager,discuss,jokingly,encourage,member,ask,environmentalist,critical,stance,require,reduction,coal,2007,epa,proposal,scale
,9,7,6,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 4, 2004 Sunday",58 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"ROD AND GUN VOTE TARGETED BY BUSH, KERRY;  50-MILLION STRONG GROUP IS RICH PRIZE, PARTICULARLY IN BATTLEGROUND STATES","JULIET EILPERIN, THE WASHINGTON POST","NATIONAL, Pg.A-9",,629 words,,,"July 6, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,hunt,Bush,million,Kerry,sportsman,president,vote,hunter,number,percent,gun,conservation,fishing,register,administration,2000,accord,survey,group,issue,Democratic,director,republican,take,assume,kerry,still,camp,campaign,often,presidential,voter,election,congressional,national,vice,past,decline,decade,1991,2001,judge,candidate,control,easy,Martin,White_House,largest,tackle,company,many,high,hope,office,eye,warily,worried,push,oil,gas,development,public,land,position,global,climate,change,work,add,f.,prove,deserve,loyalty,fishermen,neither,side,wrap,next,week,roll,win,call,hook,bullet,crowd,strong,live,swing,state,man,woman,fish,country,become,significant,player,attractive,reason,tend
,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 11, 2004 Sunday",59 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GLOBAL WARMING HURTS RICE GROWTH,"GEOFF KOCH, DALLAS MORNING NEWS","SCIENCE, MEDICINE, TECHNOLOGY, Pg.A-4",,212 words,,,"July 13, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
