PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 22, 2005 Wednesday",5 of 282 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SENATE FAILS; TO MANDATE; EMISSION CUT HEAT-TRAPPING GAS LIMIT IS VOLUNTARY,H. Josef Hebert The Associated Press,"LOCAL, Pg.A-11",,785 words,,,"June 22, 2005",ENGLISH,,,,,,,Copyright 2005 P.G. Publishing Co.
,measure,energy,gas,industry,emission,sen,inventory,Hagel,amendment,reduce,greenhouse,heat_trapping,mandatory,support,oil,resource,drilling,climate,voluntary,growth,carbon,proposal,Bush,president,approve,reduction,offshore,senator,coastal,development,bill,oppose,country,Senate,endorse,policy,pollution,environmentalist,conduct,call,change,offer,rely,slow,develop,burn,fossil,fuel,among,regional,lawmaker,later,five,give,argue,need,nothing,go,administration,already,approach,every,moratorium,climate_change,Sens,R_Ohio,D_W.Va,McCain,McCain_Lieberman,avoid,still,boost,government,cleaner,source,second,setback,agree,prelude,water,limit,attempt,strip,broad,fail,republican,rally,around,chuck,hagel,expansion,partnership,way,produce,lower,principal,many,scientist,believe
,9,8,8,8,8,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 16, 2005 Wednesday",18 of 282 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"WARMING TREATY TAKES EFFECT, BUT U.S. ISN'T PART OF IT","SETH BORENSTEIN, KNIGHT RIDDER NEWSPAPERS","SCIENCE MEDICINE and TECHNOLOGY, Pg.A-4",,561 words,WASHINGTON,,"February 16, 2005",ENGLISH,,,,,,,Copyright 2005 P.G. Publishing Co.
,treaty,gas,United_States,emission,global,nation,administration,warming,country,world,environmental,ratify,scientist,increase,Bush,Climate_Change,curb,go,effect,enough,problem,pollute,include,greenhouse,part,endorse,1997,industrialize,carbon,dioxide,percent,back,1990,level,develop,grow,cause,temperature,science,climate,Kyoto_Protocol,China,India,controversial,design,today,ardent,supporter,stop,runaway,big,produce,deal,force,write,require,mostly,reduce,six,implicate,average,least,take,goal,achieve,signator,flexibility,attain,reduction,cut,neither,amount,higher,atmospheric,turn,melt,polar,ice,ocean,alter,weather,contends,clear,act,costly,penalize,unfairly,signal,doubt,official,call,phenomenon,change,rather,celebrate,speech,party,demonstration,clean
,9,6,6,5,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 5, 2005 Tuesday",19 of 282 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH PUTS DAMPER ON SUMMIT HOPE,"ALAN COWELL, THE NEW YORK TIMES","WORLD, Pg.A-4",,541 words,LONDON,,"July 5, 2005",ENGLISH,,,"PHOTO: John D. McHugh/Agence France-Presse/Getty Images: A policeman in riot gear holds his shield, bearing graffiti written in lipstick, in central Edinburgh, Scotland, yesterday, a day that started out as a carnival and ended in riots. Thousands of demonstrators have gathered in Scotland ahead of the G8 leaders summit in Gleneagles later in the week, and more protests are expected.",,,,Copyright 2005 P.G. Publishing Co.
,change,group,meeting,Bush,United_States,rock,poverty,climate,trade,aid,seem,member,remark,make,Africa,Edinburgh,weekend,concert,protester,summit,leader,debt,interview,president,conference,support,accept,global,warming,emission,greenhouse,gas,country,talk,advance,go,deal,issue,have,problem,extent,subsidy,people,sign,discord,free,celebrity,urgings,end,politician,prepare,later,week,eight,major,industrial,nation,meet,tomorrow,friday,luxurious,golf,estate,north,preoccupy,main,subject,relieve,policy,police,officer,draw,estimate,"10,000",duty,guard,fight,run,scuffle,several,hundred,injury,immediately,report,broadcast,television,damp,expectation,might,reward,prime,minister,host,effort,prevent,terrorism,bush,generally,odd
,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 11, 2005 Friday",36 of 282 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ORION RETURNS TO THE MORNING SKY; MORE THAN ONE CITY IS A PHOENIX; PLANETS CLIMBING HIGHER IN THE SKY; EARTH'S CRYOSPHERE IN DANGER,Libby Copeland and Neely Tucker The Washington Post,ARTS & ENTERTAINMENT; Pg. D-9,,1349 words,,,"November 11, 2005",ENGLISH,,,"Matt Freed/Post-Gazette Pirate outfielder Nate McLouth crosses home plate after hitting his first major league home run, in an Aug. 23 game against the Cardinals.",,,Newspaper,Copyright 2005 P.G. Publishing Co.
,ice,city,sea,star,New_Orleans,never,right,play,leave,town,call,may,return,sky,east,cryosphere,Orion,Arctic,fire,hurricane,thousand,major,history,population,take,many,move,new,cover,ground,football,game,change,bright,jr.,planetarium,observatory,activity,venus,weekend,sunset,moon,climate,snow,freeze,human,past,Dan_Malerbo,Henry_Buhl,Mars,Earth,earthquake,dead,turn,homeless,natural,disaster,bring,expensive,nation,kill,people,level,almost,entire,half,become,help,back,use,build,million,today,last,week,water,much,really,world,stand,rebuilt,though,storm,three,researcher,find,resident,life,area,line,tie,basketball,begin,orion,winter,cold,night,morning,rise
,12,9,9,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 25, 2005 Monday",43 of 282 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE POLITICS OF CLIMATE; GLOBAL WARMING GRAPH OVERHEATS DEBATE,,"EDITORIAL, Pg.B-6",,401 words,,,"July 26, 2005",ENGLISH,,,,,,,Copyright 2005 P.G. Publishing Co.
,global,warming,research,hockey,stick,program,scientist,player,create,computer,worse,time,real,problem,"1,000",topic,oppose,curb,politician,committee,grant,data,spend,Barton,Mr._Barton,hand,angry,quite,ruckus,ice,another,use,study,scientific,community,high,intermission,take,deep,breath,focus,famous,graphic,emerge,climatologist,e.,mann,colleague,linchpin,case,manmade,show,temperature,last,appear,major,report,shaft,relatively,straight,20th,century,blade,mercury,angles,upward,bottom,line,earth,warmer,industrial,activity,idea,steam,rep.,joe,powerful,chair,fiercely,international,effort,launch,investigation,three,professor,claim,simply,harassment,action,democratic,member,agree,demand,inappropriate,admit,bias,toward,generating,graph
,7,6,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 18, 2005 Wednesday",53 of 282 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BLAIR 3RD-TERM AGENDA UNVEILED; NATIONAL IDENTITY CARD CONTROVERSIAL,"JANET STOBART, LOS ANGELES TIMES","WORLD, Pg.A-4",,570 words,LONDON,,"May 20, 2005",ENGLISH,,,,,,,Copyright 2005 P.G. Publishing Co.
,identity,card,government,law,speech,party,change,bill,include,parliament,proposal,Blair,prime,minister,measure,national,data,propose,election,term,majority,rule,believe,social,among,people,debate,time,issue,education,service,immigration,war,queen,open,building,support,system,immigrant,asylum,seeker,principle,call,contrary,Labour_Party,British,Parliament,unveiled,controversial,embed,bearer,biological,new,reopen,follow,hotly,contest,earlier,return,power,third,severely,reduce,present,program,read,amid,traditional,pomp,role,head,state,lead,another,try,complete,historic,legacy,continue,ambitious,reform,foster,culture,respect,responsibility,many,rude,behavior,upsw,city,town,tell,later,reclaim,street,decent,stress,range,security
,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 25, 2005 Friday",55 of 282 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUBBLES SUPPORT GLOBAL WARMING,Lauran Neergaard The Associated Press,LOCAL; Pg. A-3,,358 words,,,"November 25, 2005",ENGLISH,,,"This undated image provided by Science magazine, shows the drill head and ice core, drilled on Nov. 30, 2002, at a research station at Dome Concordia in Antarctica. The core allowed scientists to study greenhouse gases dating back 650,000 years. L. Augustin,Science Magazine/Associated Press......",,,Newspaper,Copyright 2005 P.G. Publishing Co.
,gas,today,greenhouse,carbon,dioxide,level,rise,atmosphere,new,study,back,time,warming,air,ice,point,scientist,help,tiny,bubble,millennia,researcher,dramatically,climate,change,specialist,result,measurement,part,naturally,fluctuating,sample,last,"650,000",major,let,peer,fuel,global,analyze,preserve,team,highlight,people,influence,buildup,remarkable,research,promise,spur,improve,understanding,geoscience,core,publish,journal,science,directly,measure,accumulate,process,trap,solar,heat,name,gradual,planet,disturbing,climb,280,per,million,century,ago,380,ppm,average,temperature,meanwhile,increase,degree,fahrenheit,recent,decade,relatively,rapid,many,warn,continue,severe,impact,sea,rainfall,pattern,skeptic,sometimes,dismiss,cycle,provide
,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 28, 2005 Thursday",65 of 282 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"RIGHT PLACE, WRONG; JOB; RIGHT PLACE, WRONG JOB HIGH-PAID EXECUTIVES STRUGGLE TO STAY IN PITTSBURGH AFTER A LAYOFF","Jim McKay, Pittsburgh Post-Gazette","BUSINESS, Pg.E-1",,1251 words,,,"April 29, 2005",ENGLISH,,,DRAWING: Stacy Innerst/Post-Gazette,,,,Copyright 2005 P.G. Publishing Co.
