PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 2, 2006 Sunday",2 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EXPECT LOW WATER FOR TROUT OPENER,DEBORAH WEISBERG,OUTDOORS; FISHING; Pg. D-15,,897 words,,,"April 8, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,water,low,stream,rain,Swistock,spring,groundwater,precipitation,flow,open,good,weather,april,decade,toward,season,dry,accord,right,pattern,warm,earlier,global,warming,peak,move,temperature,tend,snow,quickly,especially,less,fall,go,ground,early,Pennsylvania,trout,clear,reflect,recent,expert,change,environment,storm,level,thing,march,climate,part,well,faster,rainfall,make,pack,fluctuating,normal,time,look,foot,far,system,creek,may,pretty,still,freestone,fracture,allow,recharge,consistent,pave,cold,presentation,bait,black,Western_Pennsylvania,likely,trend,tracking,climatic,impact,head,deficit,predict,resource,specialist,might,raise,temporary,take,last,driest,half,university,model,forecast,puzzle,1895
,10,9,8,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2006 Tuesday",15 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BRITISH PARTIES JOIN IN URGENT WARNING ON CLIMATE CHANGE; SEE U.S. FAILING TO LEAD ON SLOWING GLOBAL WARMING,"KEVIN SULLIVAN, THE WASHINGTON POST",WORLD; Pg. A-2,,613 words,LONDON,,"October 31, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,change,party,climate,leader,new,world,political,British,Mr._Blair,prime,minister,Mr._Cameron,Britain,conservative,government,report,danger,lead,tree,fight,global,warming,among,across,issue,president,newspaper,become,international,economist,former,find,effort,create,film,green,raising,time,U.S.,London_School,Economics,warn,head,toward,disastrous,irreversible,meanwhile,popular,opposition,vow,install,generator,solar,panel,residence,win,office,mo,blair,rival,share,outspoken,devotion,subject,stark,release,illustrate,unity,country,spectrum,absence,leadership,apparent,determination,make,clear,reference,use,column,sun,case,action,final,piece,jigsaw,convince,every,single,include,must,top,agenda,play,call,finding,important,future,receive,nearly
,7,7,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 16, 2006 Saturday",21 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HANUKKAH IN A NEW LIGHT; 'WE'RE DEDICATING OURSELVES TO STEWARDSHIP OF THE EARTH',"Ann Rodgers, Pittsburgh Post-Gazette",LOCAL; Pg. B-1,,754 words,,,"December 18, 2006",ENGLISH,,,"PHOTO: Peter Diana/Post-Gazette: Rabbi Sharyn Henry, right, turns on the fluorescent light bulb while Barbara Rogal lights candles during service at the Rodef Shalom Congregation in Oakland last evening.",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,bulb,light,synagogue,change,fluorescent,compact,last,Hanukkah,jewish,environmental,group,replace,environment,oil,time,incandescent,coalition,many,campaign,night,story,eight,sell,member,people,community,Jewish_Life,old,family,take,include,part,call,new,traditional,keep,ceremony,use,hanukkah,small,band,find,start,save,money,expect,director,black,project,give,public,affair,effective,behavior,Rodef_Shalom,combine,joke,serious,theology,seek,standard,press,release,go,head,jew,organizer,hope,500,nationwide,area,among,nation,formally,begin,observance,ceremonially,little,bit,stretch,anticipate,longer,regular,four,efficient,associate,eternal,burn,ark,scroll,difficult,lamp,ritual,service,mean,dedication,dedicate,stewardship,earth
,21,10,8,8,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 23, 2006 Tuesday",24 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HURRICANE SEASON WON'T MATCH LAST YEAR,"ABBY GOODNOUGH AND ANDREW C. REVKIN, THE NEW YORK TIMES",NATIONAL; Pg. A-3,,687 words,MIAMI,,"May 23, 2006",ENGLISH,,,"INFORMATIONAL GRAPHIC: Government forecasters predict that up to 16 tropical storms will become big enough to receive names during the six-month hurricane season that begins on June 1, far fewer than last year's calamitous season but still an abnormally high number. (Graphic, Page A-1)",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,hurricane,storm,season,pattern,tropical,become,name,ocean,wind,forecaster,last,still,likely,include,make,prepare,whether,climate,expert,Atlantic_Ocean,Atlantic,predict,many,big,begin,far,six,higher,lautenbacher,landfall,activity,cause,water,advance,official,evacuation,cycle,1995,produce,debate,already,warming,global,scientist,buildup,stronger,condition,encourage,forecast,strike,particular,tend,several,atmosphere,temperature,atmospheric,researcher,Mr._Lautenbacher,National_Hurricane_Center,NOAA,government,enough,receive,june,fewer,calamitous,abnormally,high,number,expect,form,eight,category,strength,c.,jr.,administrator,four,warm,favorable,though,much,depend,weather,remember,take,neighborhood,bad,mr.,news,conference,emergency,urge,public,scrupulously,citizen,better,job,stockpiling
,15,10,8,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
