PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 1, 2007 Friday",4 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH URGES CLIMATE CHANGE PACT; CALLS ON NATIONS TO JOIN U.S. IN SETTING GOALS FOR CUTTING EMISSIONS,"SHERYL GAY STOLBERG, THE NEW YORK TIMES",NATIONAL; Pg. A-1,,785 words,WASHINGTON,,"June 1, 2007",ENGLISH,,,INFORMATIONAL GRAPHIC: Energy Information Administration; AP: (U.S. emits one-fifth of carbon dioxide) INFORMATIONAL GRAPHIC: Energy Information Administration; AP: (Increased emissions for Asian countries),,,Newspaper,Copyright 2007 P.G. Publishing Co.
,change,emission,climate,goal,president,gas,United_States,Mr._Bush,greenhouse,next,global,cut,take,country,time,set,nation,warming,speech,bush,environmental,talk,work,bind,long_term,international,propose,join,agreement,biggest,target,major,shift,economic,limit,deliver,face,scientific,continue,control,understanding,mr.,leader,group,week,issue,leave,office,2009,policy,contribute,example,second,include,national,together,technology,message,Bush,China,India,Washington,Germany,European,fend,accusation,ignore,call,industrial,negotiation,aim,reach,end,carry,world,source,scientist,planet,committed,specific,resist,absolute,part,reason,steadfastly,reject,kyoto,protocol,grounds,polluter,bound,accord,way,proposal,reflect,difficulty,administration,grappling,consensus
,9,9,8,7,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 19, 2007 Wednesday",34 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),REPORT TARGETS PA.'S EMISSIONS; STATE IS THIRD IN NATION IN AMOUNT OF GREENHOUSE GASES,"DON HOPEY, PITTSBURGH POST-GAZETTE",NATIONAL; Pg. A-8,,507 words,,,"December 19, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,state,emission,change,report,greenhouse,gas,release,energy,develop,policy,take,nation,accord,pennsylvania,industry,climate,mr.,three,emit,carbon,dioxide,emitter,public,focus,conference,utility,reduction,step,legislation,lobbying,need,predict,Pennsylvania,National_Environmental_Trust,Hill,individually,global,warming,cause,combine,101,new,highlight,role,world,largest,part,effort,environmental,group,rally,support,swift,mandatory,national,reduce,especially,timely,cut,2012,organizer,give,top,polluter,carry,special,responsibility,vehicle,time,population,texas,bigger,urge,individual,local,municipality,break,logjam,follow,lead,adop,mandate,encourage,enact,expand,subject,bind,target,future,treaty,president,chief,executive,officer,heavy,toll,unless,strong,conserve
,13,7,7,6,5,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 27, 2007 Tuesday",54 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SPECTER TOUTS CLEAN ENERGY; SENATOR USES SIEMENS VISIT TO SELL HIS CLIMATE PROPOSAL,"BILL TOLAND, PITTSBURGH POST-GAZETTE",BUSINESS; Pg. A-7,,588 words,,,"November 27, 2007",ENGLISH,,,"PHOTO: Steve Mellon/Post-Gazette: Employees at Siemens Stationary Fuel Cells Division in Churchill keep their eyes on Sen. Arlen Specter, foreground, before Mr. Specter spoke about global climate change and the need for clean energy technology and energy efficiency.",,,Newspaper,Copyright 2007 P.G. Publishing Co.
,bill,emission,gas,greenhouse,carbon,climate,cap,Mr._Specter,specter,reduce,plant,technology,support,company,credit,energy,several,change,week,sen,tour,visit,research,coal,efficiently,power,environment,global,warming,legislation,sponsor,set,mandatory,allow,sell,air,pollution,mo,level,go,note,number,condition,nation,U.S.,senate,consider,international,forum,conven,next,arl,tout,bring,subsidiary,sieman,ag,conversion,synthetic,natural,use,produce,electricity,last,east,touch,theme,discuss,namely,reduction,industrial,key,heal,curb,promote,researcher,nurture,commercial,viability,important,part,propose,low,act,piece,jeff,bingaman,major,electrical,well,introduce,summer,national,business,lower,facility,larger,goal,avoid
,10,7,6,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 22, 2007 Thursday",56 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CAPITOL HILL WARMS TO GORE'S RETURN,"Faye Fiore and Richard Simon, Los Angeles Times",NATIONAL; Pg. A-5,,469 words,WASHINGTON,,"March 23, 2007",ENGLISH,,,PHOTO: Dennis Cook/Associated Press: Former Vice President Al Gore testifies on Capitol Hill in Washington yesterday.,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,home,time,gore,hope,Mr._Gore,ago,little,party,back,global,people,crisis,mr.,committee,action,side,sit,repository,dream,much,Washington,House,door,swing,open,make,entrance,camera,click,wooden,politician,deny,presidency,deride,ozone,man,capitol,call,movie,star,prophet,al,leave,seven,bow,2000,election,disgrace,eye,least,state,return,reincarnate,subject,film,nobel,peace,prize,nominee,guy,slightly,gray,puffy,share,stage,still,manage,center,attention,representative,senator,vice,president,testify,warming,gold,oscar,statuette,inconvenient,truth,documentary,travel,slide,show,ravage,climate,change,belong,director,push,another,orbit,universe,start,lining,early,a.m.,glimpse,dangerous
,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 8, 2007 Sunday",67 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MAURITANIA FIGHTS LOSING BATTLE AGAINST MOVING SANDS,"RUKMINI CALLIMACHI, THE ASSOCIATED PRESS",WORLD; Pg. A-6,,861 words,"CHINGUETTI, Mauritania",,"April 10, 2007",ENGLISH,,,"PHOTO: Schalk van Zuydam/Associated Press: Sidahmed Ould Magaya, 75, sits with a friend at the desert town of Chinguetti, Mauritania.",,,Newspaper,Copyright 2007 P.G. Publishing Co.
,sand,dune,Mauritania,door,house,tree,use,town,palm,old,man,yellow,desert,country,government,battle,climate,wind,across,around,count,wall,sell,goat,keep,mile,less,change,bear,insulation,advance,force,way,swallow,city,abandon,edge,front,rise,roof,home,family,national,surface,temperature,last,century,without,action,although,cut,live,plant,alfa,plan,need,link,cone,coffin,Mr._Magaya,U.N.,Mauritanian,night,hiss,sit,straw,mat,draw,blanket,shoulder,money,morning,trap,inside,concrete,wooden,seal,shut,accumulate,overnight,exchange,worker,liberate,haul,away,burlap,bag,rate,pay,bay,shift,estimate,per,accord,data,throughout,mauritania,desolate,twice
,13,11,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 3, 2007 Tuesday",81 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HIGH COURT STEPS IN ON GLOBAL WARMING; TELLS EPA IT MUST REGULATE TAILPIPE EMISSIONS IF IT CAN'T PROVE THEY DON'T CHANGE CLIMATE,"LINDA GREENHOUSE, THE NEW YORK TIMES",NATIONAL; Pg. A-1,,824 words,WASHINGTON,,"April 3, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,decision,case,justice,regulate,emission,court,environmental,agency,gas,address,stand,authority,greenhouse,issue,Clean_Air_Act,rule,provide,refusal,legal,effort,federal,leave,group,chief,plaintiff,Supreme_Court,EPA,contribute,global,climate,change,administration,carbon,dioxide,use,action,write,majority,find,whether,country,place,among,power,plant,state,g.,clear,statutory,judgment,second,broad,make,v.,many,congress,industry,work,alliance,robert,jr.,dissent,question,coalition,lawsuit,Environmental_Protection_Agency,Massachusetts,Scalia,important,automobile,sidestep,unless,scientific,basis,strong,rebuke,maintain,right,force,auto,almost,certainly,face,fail,way,avoid,take,determine,good,explanation,beyond,specific,context,tailpipe,car,truck,account,total,highly
,9,8,8,7,7,7,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 8, 2007 Tuesday",82 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CONGRESS URGED TO AID GREENHOUSE GASES FIGHT,"Elwin Green, Pittsburgh Post-Gazette",BUSINESS; Pg. A-8,,362 words,,,"May 8, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,emission,legislation,company,report,need,energy,environmental,climate,change,action,percent,level,president,organization,carbon,trade,express,certainty,Alcoa,enact,hasten,adoption,technology,help,business,improve,efficiency,reduce,impact,alcoa,spokesman,o'neill,former,chief,executive,officer,determine,late,1990,longer,question,science,real,issue,something,require,attention,greenhouse,gas,operation,1999,voluntary,important,we,go,control,news,briefing,sponsor,join,call,new,largely,coalition,seek,free,dependence,foreign,oil,create,million,job,spokeswoman,albuquerque,hold,national,network,investor,public,interest,group,focus,sustainability,firmly,whether,better,implement,tax,cap,system,set,ceiling,grant,credit,lower,higher,goal,send,right
,7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 18, 2007 Tuesday",88 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),LATER IS OVER; TIME IS RUNNING OUT TO SAVE THE EARTH WE KNOW,Thomas L. Friedman,EDITORIAL; Pg. B-7,,766 words,,,"December 18, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,later,world,global,new,forest,become,country,tree,Indonesia,climate,conference,many,change,animal,today,gas,plan,lose,make,Bali,China,almost,address,generation,fish,species,around,reason,fact,big,power,economy,create,ocean,plunder,devour,exploit,economic,development,every,rate,truck,last,zone,read,different,biodiversity,deforestation,greenhouse,emission,think,start,act,Indonesian,negotiator,200,speak,language,drive,find,better,way,widely,share,unspoken,sentiment,luxury,previous,civilization,mean,paint,landscape,eat,fruit,climb,river,enjoy,weather,rescue,endangered,kid,whenever,consciousness,seem,settle,past,couple,notion,longer,thing,time,schedule,go,ever,unless,radical,collective,action,mitigate
,10,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 8, 2007 Friday",92 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),U.S. AGREES TO CONSIDER EMISSION CUTBACKS,"MARK LANDLER AND JUDY DEMPSEY, THE NEW YORK TIMES",WORLD; Pg. A-4,,389 words,"HEILIGENDAMM, Germany",,"June 8, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
,agreement,climate,United_States,agree,emission,global,world,group,Bush,consider,cut,2050,meeting,negotiation,president,recent,proposal,together,include,goal,reach,mandatory,reduction,merkel,part,negotiate,administration,take,new,policy,2009,Germany,Mr._Bush,seriously,plan,combat,warming,half,greenhouse,gas,avert,deadlock,richest,industrial,nation,compromise,work,tough,endorse,bring,largest,emit,country,set,national,reduce,percent,key,provision,seek,commit,specific,nevertheless,ms,host,proclaim,major,victory,place,change,top,agenda,gather,pressured,relax,opposition,though,ultimately,think,week,ago,today,big,success,ms.,tell,reporter,resort,threaten,reject,large,reaffirm,role,primary,forum,time,develop,pact,form
,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 9, 2007 Sunday",110 of 461 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),TROUT UNLIMITED UNVEILS POSITION ON WARMING,Deborah Weisberg,OUTDOORS; FISHING; Pg. C-15,,480 words,,,"December 12, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 P.G. Publishing Co.
