PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"July 20, 2008 Sunday",1 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BURY THE CARBON; IT WOULD COST EACH U.S. HOUSEHOLD ONLY A PENNY A DAY TO HELP SLOW THE PACE OF GLOBAL WARMING,EDWARD S. RUBIN,EDITORIAL; THE NEXT PAGE; Pg. G-6,,1531 words,,,"July 23, 2008",ENGLISH,,,INFORMATIONAL GRAPHIC: Stacy Innerst/Post-Gazette: STORING CARBON UNDERGROUND \ INFORMATIONAL GRAPHIC: James Hilston/Post-Gazette; U.S. Energy Information Administration: WHERE OUR ELECTRICITY COMES FROM,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,CO2,capture,gas,plant,storage,climate,carbon,power,change,fuel,emission,greenhouse,fossil,use,electricity,technology,cost,percent,coal,bill,energy,formation,atmosphere,go,global,next,burn,run,way,three,project,need,add,measure,dioxide,make,less,include,important,thing,car,co2,mainly,keep,hour,shift,reduction,world,must,reduce,rock,large,however,industry,step,type,different,test,fund,radiation,approach,Climate,legislation,despite,support,major,link,warming,economy,many,policy,easy,meanwhile,atmospheric,level,continue,rise,future,much,bipartisan,billion,small,fee,require,really,generate,average,enjoy,another,nuclear,provide,source,account,renewable,electric,battery,scientist,serious,effect
,16,15,13,13,12,11,11,10,9,9,8,8,8,8,7,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 20, 2008 Thursday",11 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EARLY BLOOMERS; SHIFTING SPRINGTIME IS LINKED TO GLOBAL WARMING,"SETH BORENSTEIN, THE ASSOCIATED PRESS",HEALTH SCIENCE MEDICINE AND TECHNOLOGY; Pg. A-4,,937 words,WASHINGTON,,"March 20, 2008",ENGLISH,,,"PHOTO: Mike Lawrence/The Gleaner: Rescue squad members in Henderson County, Ky., save a family from their flooded home yesterday. Residents of low-lying towns stacked sandbags or grabbed belongings and evacuated after a foot of rain pushed rivers and creeks out of their banks in the nation's midsection. At least 13 deaths had been linked to the weather, and three people were missing. Record or near-record flood crests were forecast at several towns in Missouri. Flooding was reported in large areas of Arkansas and parts of southern Illinois, southern Indiana and southwestern Ohio, and schools were closed in parts of western Kentucky because of flooded roads. The National Weather Service posted flood and flash flood warnings from Texas to Pennsylvania.",,,Newspaper,Copyright 2008 P.G. Publishing Co.
,plant,change,earlier,spring,bloom,timing,honey,animal,scientist,early,pollen,biologist,global,warming,climate,professor,tree,peak,ago,monitor,university,study,last,phenology,may,winter,biology,show,burst,around,april,field,butterfly,march,heavy,decade,measure,late,critter,bud,species,affect,every,find,average,biological,base,federal,fall,network,mean,natural,people,longer,season,wine,grape,harvest,big,still,notice,february,warmer,use,amount,go,2001,century,produce,different,Earth,capital,famous,cherry,primed,perfect,pink,end,thirty,usually,wait,till,central,skipper,sachem,drab,little,fluttering,creature,predictably,emerge,anywhere,sneeze,allergist,dr.,donald,dvorin,set,maple
,11,11,8,7,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 3, 2008 Thursday",15 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BERT BOLIN; MARCH 15, 1925 - DEC. 30, 2007; CO-FOUNDER OF CLIMATE CHANGE PANEL","MALIN RISING, THE ASSOCIATED PRESS",OBITUARY; Pg. D-5,,254 words,,,"January 3, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,dr.,bolin,climate,change,Stockholm_University,IPCC,panel,die,professor,meteorology,serve,chairman,prize,accept,Nobel,Sweden,Norway,Mr._Gore,scientist,u.n.,age,sunday,hospital,stomach,cancer,active,three,death,colleague,hen,rodhe,chemical,early,1950,produce,research,circulation,carbon,nature,remain,relevant,debate,play,key,role,communicate,danger,1988,1998,2007,nobel,peace,along,former,vice,president,al,gore,help,alert,world,threat,global,warming,visit,december,set,framework,without,contribution,today,thank,start,process,learn,call,accord,initially,suppose,travel,behalf,unable,due,poor,health,1961,1990,scientific,director,Bert_Bolin,Swedish,co_founder,Peace_winning,Stockholm,U.N.,Intergovernmental_Panel,Climate_Change,Nobel_Prize,Bert
,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 5, 2008 Sunday",17 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE NEW GREEN FRONTIER; WE GOT TO THE MOON IN A DECADE; LET'S LAUNCH AN APOLLO-LIKE PROJECT TO TURN AMERICA GREEN,PETER COLE,EDITORIAL; Pg. G-1,,694 words,,,"October 7, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,green,job,climate,change,Apollo_Alliance,oil,energy,produce,nation,fossil,fuel,investment,wind,renewable,address,million,America,JFK,challenge,americans,decade,many,include,economic,equally,bold,exist,today,political,global,idea,generation,yet,coalition,economy,effort,manufacturing,reduce,dependence,foreign,instead,solar,policy,future,work,plant,far,new,house,federal,addiction,domestic,drilling,environment,need,embrace,amount,John,American,well_paying,f.,kennedy,put,man,moon,end,cold,war,face,collapse,space,program,solution,problem,restore,strength,tackle,warming,transform,call,best,have,never,hear,business,environmental,labor,group,champion,core,union,understand,rejuvenate,sector,devastate,loss,we,supplier,corporation
,8,8,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 10, 2008 Sunday",24 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CONGRESS WARMING TO CLIMATE-CHANGE LEGISLATION,"Richard Simon, Los Angeles Times",NATIONAL; Pg. A-3,,1006 words,WASHINGTON,,"February 12, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,bill,pass,measure,vote,emission,environmentalist,time,senator,support,Congress,election,group,make,difficult,industry,company,Senate,issue,call,mandatory,president,majority,strong,enough,democrat,still,boxer,hope,global,warming,republican,numerous,limit,narrowly,divide,worry,november,business,drive,cost,high,anxiety,congressional,leader,determine,ahead,must,strongest,sen,standard,sign,director,affair,move,ms,committee,cap,power,act,require,work,today,reduction,2005,need,environment,likely,object,producer,utility,campaign,coal,electricity,important,produce,include,way,believe,think,House,U.S.,score,stack,legislative,queue,hearing,recent,polar,bear,highlight,corporate,executive,step,despite,dramatic,shift,capitol,favor,something
,28,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 25, 2008 Sunday",44 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),STUDY FINDS COST OF DOING NOTHING ON CLIMATE STEEP,"RENEE SCHOOF, MCCLATCHY NEWSPAPERS",NATIONAL; Pg. A-12,,591 words,WASHINGTON,,"May 28, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,cost,study,emission,bill,hurricane,reduce,2100,billion,use,Tufts,higher,economist,greenhouse,gas,percent,find,loss,increase,model,U.S.,global,stronger,energy,water,rise,coastal,take,consequence,change,pollution,estimate,level,2050,debate,much,report,act,annual,continue,outcome,inaction,temperature,degree,sea,inch,outline,different,Senate,Pew_Center,nothing,warming,dearly,rest,century,seas,swamp,community,accord,new,conclude,cheaper,aggressive,action,cut,suffer,dangerously,world,longer,wait,painful,expensive,early,june,consider,legislation,set,decline,limit,establish,market,permit,reward,company,system,design,total,1990,expect,implement,provide,side,ledger,director,climate,center,environmental,group,commission,include
,13,11,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 18, 2008 Friday",70 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),DREAM TICKET; CLINTON-OBAMA? OBAMA-CLINTON?,Ellen Goodman,EDITORIAL; Pg. B-7,,731 words,,,"January 18, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,Clinton,change,ticket,mrs,Mr._Obama,woman,together,maybe,dream,mrs.,think,idea,need,balance,different,experience,America,jr.,week,yes,aware,attack,possibility,gender,debate,common,we,many,parent,grandparent,never,really,tell,black,run,top,thank,political,strength,mr.,obama,candidate,inspiration,tuesday,describe,president,head,win,partner,depend,look,differently,Martin_Luther_King,Democratic_Party,African_American,Congress,forget,vaccination,flu,mantra,finally,overwhelmed,immune,system,spirit,hover,least,democratic,ballot,must,immediately,hand,press,card,professional,cynic,police,democrat,recover,panic,primary,fight,race,leave,dirt,reassure,much,hold,separate,family,deeply,moment,worthy,celebration,last,dare,probably,compete,presidency
,9,6,6,6,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 21, 2008 Friday",74 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WAXMAN REPLACES DINGELL AS ENERGY PANEL HEAD,"John M. Broder, The New York Times",NATIONAL; Pg. A-5,,587 words,,,"November 21, 2008",ENGLISH,,,"PHOTO: Chip Somodevilla/AFP/Getty Images: House Oversight and Government Reform Committee Chairman Henry Waxman, D-Calif., talks to the media after the House Democratic Caucus meeting on Capitol Hill yesterday. Mr. Waxman wrested control of the influential Committee on Energy and Commerce from its current chairman, Rep. John D. Dingell, D-Mich., by a vote of 137 to 122.",,,Newspaper,Copyright 2008 P.G. Publishing Co.
,Mr._Waxman,waxman,dingell,mo,vote,mr.,Mr._Dingell,Congress,health,legislation,back,caucus,move,member,auto,industry,change,issue,rep.,chairmanship,climate,effective,longtime,colleague,many,democrat,transition,new,represent,argue,need,support,Commerce_Committee,California,president_elect,henry,a.,wrest,powerful,d.,coup,expect,accelerate,passage,energy,barack,obama,mount,quiet,campaign,secret,ally,several,assumption,leader,tacitly,approve,read,signal,office,week,announce,intention,name,aide,director,congressional,relation,ouster,another,blow,reel,learn,financial,assistance,show,profitable,suburban,detroit,district,stalwart,defender,slowed,block,safety,environmental,standard,company,meet,meeting,democratic,morning,supporter,deliver,impassion,plea,let,keep,post
,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 24, 2008 Sunday",75 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MONEY GETTING GREENER; ENVIRONMENTALLY FRIENDLY INVESTMENTS BECOMING EVER MORE POPULAR TODAY,"Bill Toland, Pittsburgh Post-Gazette",BUSINESS; Pg. C-1,,1016 words,,,"February 26, 2008",ENGLISH,,,PHOTO ILLUSTRATION: By Anita Dufalla/Post-Gazette:,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,company,green,fund,investment,energy,invest,environmental,portfolio,wiessmann,investor,factor,firm,ms,state,part,much,financial,institutional,issue,though,million,publicly,hold,directly,summit,include,five,Pennsylvania,buy,reduce,trillion,steward,effort,climatic,strategy,past,way,trade,stock,business,treasurer,comptroller,service,trend,ago,focus,mutual,social,other,three,well,qualify,compare,annual,return,percent,number,best_in_breed,Green_Century,apparently,enough,fluorescent,light,bulb,anymore,retirement,ought,environmentally,friendly,individual,500,might,global,carbon,level,appreciably,treasury,across,country,divert,capacity,toward,planet,responsible,start,muscle,behind,l.,soon,go,mainstream,incorporate,geopolitical,equation,claim,international,importance,grow,popularity
,20,14,12,11,8,7,7,7,6,6,6,6,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
