PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 6, 2009 Saturday",4 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RAPID RISE IN SEA LEVELS ON EAST COAST PREDICTED,"David A. Fahrenthold, The Washington Post","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-3",,916 words,,,"June 9, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,rise,water,along,change,inch,sea,ocean,study,sink,new,ice,resort,last,make,century,might,region,scientist,probably,climate,area,much,level,world,show,place,seas,global,surface,glacier,sea_level,Earth,Maryland,faster,part,research,current,push,city,week,forecast,beach,wrong,high,mean,spend,hard,retreat,researcher,warming,melting,per,phenomenon,think,northern,south,seesaw,find,coast,happen,vast,freshwater,less,foot,still,bigger,barrier,island,marsh,abandon,protect,Atlantic,mid_Atlantic,East_Coast,Western_Carolina_University,New_York,Eastern_Shore,densely,populate,cap,toward,shoreline,inlaid,boardwalk,habitat,three,include,newly,worrisome,life,next,rest,2100,total,increase,submerge,chair,information,computer
,13,9,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 27, 2009 Sunday",44 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CLIMATE CALAMITY; OBAMA AGAIN COMES HOME EMPTY-HANDED FROM COPENHAGEN,JACK KELLY,EDITORIAL; Pg. B-3,,691 words,,,"December 30, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,global,Copenhagen,climate,change,president,summit,copenhagen,U.N.,write,mo,turn,agreement,nation,deal,process,agree,Mr._Obama,visit,obama,biggest,accord,skeptic,neither,magazine,describe,expect,warming,look,fail,conclusion,emission,show,speech,loser,attempt,approach,United_States,China,India,Der_Spiegel,disappointed,leave,early,blizzard,1932,bear,boarding,force,hail,work,among,unprecedented,breakthrough,warmist,know,nonbind,set,goal,hold,temperature,increase,degree,celsius,2050,sorta,kinda,pledge,rich,country,100,billion,2020,help,poor,adapt,pay,much,money,condition,der,spiegel,limpid,declare,failure,toothless,declaration,spun,historic,success,reflect,contempt,multilateral,nobel,friend,nothing,short,skepticism,action,chief
,7,7,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 7, 2009 Sunday",47 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),AN ANSWER TO CLIMATE CHANGE?; CRITICS FEAR THAT POORLY REGULATED CARBON OFFSETS COULD BE A GET-OUT-OF-JAIL-FREE CARD TO POLLUTERS.,"Margot Roosevelt, Los Angeles Times","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-7",,1328 words,,,"June 9, 2009",ENGLISH,,,PHOTO: The Pacific Forest Trust: Conservation forester John Nickerson prepares to calculate Van Eck forest's baseline carbon inventory,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,carbon,forest,offset,allow,tree,company,climate,California,emission,state,Van_Eck,dioxide,rule,timber,log,conservation,sell,million,metric,ton,greenhouse,gas,program,industry,woodland,pay,group,manage,president,change,role,set,among,include,expect,market,use,new,acre,easement,estimate,private,Pacific_Forest_Trust,U.S.,Air_Resources_Board,brush,along,well,past,forester,absorb,atmosphere,oversee,individual,nonprofit,account,nationally,play,limit,trade,invest,next,might,project,sign,nation,business,preserve,trading,scheme,system,quantify,verify,time,meeting,cut,cost,increase,store,space,lead,move,far,operator,standard,owner,guarantee,measure,task,force,official,contract,development,century,least,leave,practice,old,war
,23,20,17,8,8,7,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 22, 2009 Tuesday",57 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),COAL CANNOT BE CLEAN; IT'S A DIRTY BUSINESS FROM START TO FINISH,Robert F. Kennedy Jr.,EDITORIAL; Pg. B-7,,883 words,,,"September 22, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,coal,plant,clean,industry,clean_energy,dirty,economy,way,energy,legislation,pollution,time,global,blue,continue,home,mining,pennsylvania,stream,impoundment,community,emission,loophole,Congress,ACES,summit,stand,world,source,direction,filthy,responsible,attempt,promote,lobbyist,ensure,protect,address,climate,change,play,dirtiest,include,mile,damage,destroy,structure,supplies,create,burden,citizen,disposal,recent,little,give,power,waste,politics,true,job,several,exist,country,nation,allow,encourage,measure,standard,additional,help,Pittsburgh,International_Pittsburgh_Coal_Conference,climate_change,United_States,Pennsylvania,coal_ash,Tennessee,coal_fired,Senate,House,week,president,word,city,bold,example,succeed,transitioning,sad,irony,hold,leader,gather,consider,forward,conference,misguid,promotion,sustainable
,22,10,8,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 16, 2009 Wednesday",61 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),DEAL TO SAVE FORESTS NEAR?; EXPECTED ACCORD SEEN AS MOST SIGNIFICANT ACHIEVEMENT OF CLIMATE TALKS,"Elisabeth Rosenthal, The New York Times",WORLD; Pg. A-4,,524 words,,,"December 18, 2009",ENGLISH,,,PHOTO: Chris Ratcliffe/Bloomberg: Britain's Prince Charles applauds during the opening ceremony of the high-level segment of the COP15 United Nations Climate Change Conference yesterday in Copenhagen.,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,forest,program,climate,emission,country,carbon,gas,agreement,system,reduce,thing,plan,negotiator,preserve,natural,curb,change,compensation,dioxide,global,greenhouse,may,provide,final,land,leader,part,new,credit,use,industrial,currently,Copenhagen,REDD,cap_and_trade,complete,sweeping,deal,compensate,case,landscape,peat,soil,swamp,field,play,crucial,role,environmental,group,long,advocate,efficient,absorber,primary,link,warming,rain,destruction,release,store,tree,estimate,account,percent,globally,sign,expect,turn,significant,achievement,talk,pay,conserve,disappearing,asset,base,contribution,draft,call,give,today,minister,nearly,200,gather,hammer,framework,treaty,participant,though,detail,remain,work,major,point,discord,address,rights
,7,7,6,6,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 18, 2009 Friday",74 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"CLIMATE ACCORD PROGRESSES; U.S., CHINA MAKE SUDDEN CONCESSIONS TO LIFT HOPES OF AN AGREEMENT","Arthur Max, The Associated Press",WORLD; Pg. A-1,,843 words,,,"December 18, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,emission,climate,leader,world,U.S.,China,political,country,conference,last,develop,deal,offer,president,carbon,minister,reach,next,level,night,many,mrs,move,rise,U.N.,Clinton,fall,issue,accord,announcement,change,fund,2020,go,today,agreement,legal,mo,obama,talk,early,banquet,host,target,nation,commitment,set,bind,industrial,threaten,de,key,lead,good,well,process,people,show,environment,back,far,cut,percent,Mr._Obama,large,piece,place,new,tough,remain,sign,contain,threat,overheated,secretary,contribute,amounting,100,billion,quickly,follow,open,book,international,review,delegation,immediately,react,vice,foreign,yafei,long,way,toward,demand,report,action,limit,growth
,9,6,6,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 12, 2009 Sunday",86 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),IN DEFENSE OF FEAR; THIS IS NOT AN FDR MOMENT BECAUSE WE NEED MORE FEAR WHEN IT COMES TO CLIMATE CHANGE,GEORGE LOWENSTEIN AND PAUL BREST,EDITORIAL; Pg. B-1,,666 words,,,"July 14, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,fear,economic,crisis,alarm,system,current,might,we,mobilize,fearful,economy,trigger,however,respond,situation,climate,change,response,evolve,deal,world,way,lesson,damage,consumer,afraid,disaster,bubble,predictable,spend,help,consequence,ring,kind,become,threat,danger,Congress,public,official,around,debate,curb,global,warming,well,contemplate,true,particularly,catastrophic,result,absence,right,little,dangerous,many,media,pundit,attribute,stage,excessive,revive,famous,adage,nothing,buy,banker,lend,business,invest,inflict,real,turn,heighten,lead,financial,paralysis,root,problem,sufficiently,ample,warning,bust,rage,government,deficit,finance,borrowing,abroad,housing,skyrocket,medical,cost,absorb,ever,greater,fraction,national,income
,24,7,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 4, 2009 Friday",90 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CLIMATE PIQUE; AUSTRALIAN LEADERS ALSO ARE SPLIT ON GLOBAL ACTION,,EDITORIAL; Pg. B-6,,357 words,,,"December 4, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,change,warming,go,Copenhagen,Australia,climate,summit,action,global,Australian,Mr._Rudd,problem,may,mo,need,international,thus,position,hold,recently,legislation,political,time,still,Senate,dilemma,prime,minister,advance,illustrate,president,face,well,rudd,strong,supporter,decisive,coordinate,deal,begin,next,week,solid,hand,unfortunately,majority,upper,house,legislature,opposition,coalition,choose,new,leader,resolute,spite,extreme,experience,example,red,dust,storm,september,far,reject,emission,trading,plan,carry,think,call,election,try,lineup,force,do,meeting,ask,vote,principal,issue,voter,might,turn,party,although,popularity,high,obama,congressional,nowhere,near,passage,right,anyway,reticence,subject,damaging,overall
,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 13, 2009 Thursday",94 of 580 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"COUNCIL REJECTS BID TO STUDY ENERGY USE, CARBON FOOTPRINT","Deborah M. Todd, Pittsburgh Post-Gazette",METRO; MONROEVILLE; Pg. EZ-6,,429 words,,,"August 15, 2009",ENGLISH,,,,,,Newspaper,Copyright 2009 P.G. Publishing Co.
,study,reduce,ms,emission,climate,change,measure,energy,use,municipality,drumheller,resolution,conduct,greenhouse,gas,cost,light,way,Pittsburgh,voting,environmental,vote,footprint,opposition,go,we,already,councilman,plan,replace,municipal,department,need,pass,take,future,Drumheller,Climate_Action_Plan,member,engage,passionate,debate,tuesday,councilwoman,lois,mcdevitt,favor,allow,feasibility,lower,community,overall,carbon,expect,money,implement,fear,movement,may,find,dave,kucherer,introduce,ago,possible,without,compare,monroeville,progress,note,traffic,signal,building,install,motion,detector,police,four,car,ford,focus,stink,type,bureaucrat,dream,accuse,manager,marshall,bond,coach,charge,deny,jim,issue,notion,express,doubt,idea,general
,9,7,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
