PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 13, 2010 Friday",5 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"LONG, HOT SUMMER; CATASTROPHIC FIRES, FLOODS FIT SCIENTISTS' PREDICTIONS","Charles J. Hanley, The Associated Press",WORLD; Pg. A-4,,1063 words,,,"August 13, 2010",ENGLISH,,,"PHOTO: Xinhua, Li Gang/Associated Press: A Chinese woman cries for her relative killed by a landslide in Zhouqu, in northwest China's Gansu province. Heavy rains caused more mudslides, which have already killed more than 1,100 people, with new floods leaving more missing.",,,Newspaper,Copyright 2010 P.G. Publishing Co.
,ice,warming,scientist,climate,century,flood,heat,predict,world,extreme,record,rain,Russia,global,event,wave,cause,temperature,2007,increase,report,flooding,northwest,change,fit,government,climatologist,weather,rise,frequent,intense,dring,double,summer,international,ever,kill,last,Moscow,China,fire,melting,already,way,july,meteorological,organization,disaster,expert,better,wildfire,time,state,panel,1950,example,still,blame,affect,happen,point,hottest,hundred,dry,people,reduce,ipcc,loss,monsoon,inch,period,huge,leave,worst,nation,atmosphere,water,grow,south,decade,away,percent,recordkeeping,week,sheet,show,ocean,worldwide,emission,Pakistan,United_States,U.S.,British,IPCC,NASA,WMO,Greenland,feverish,iowa
,10,8,7,7,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"November 29, 2010 Monday",12 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FLEXIBILITY BY U.S. SOUGHT AS CLIMATE PARLEY CONVENES,"Juliet Eilperin, The Washington Post","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-6",,894 words,,,"November 29, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,country,climate,agreement,cut,emission,nation,deal,global,issue,outcome,United_States,change,agree,Cancun,question,negotiation,world,greenhouse,gas,major,develop,international,legislation,failure,negotiator,monitor,point,political,mr.,level,Copenhagen,Copenhagen_Accord,representative,talk,central,meeting,last,industrialize,2020,aid,warming,collapse,domestic,without,transfer,technology,development,however,remain,set,reduce,impose,fundamental,193,make,poor,much,focus,forge,delegate,suggest,reach,way,resolve,de,special,Mexico,China,India,U.S.,Alba,nearly,200,prepare,gather,week,loom,achieve,enough,keep,alive,expect,begin,today,produce,pact,commit,curb,seem,possible,ago,round,conclude,session,biggest,emitter,strike,mobilize,100
,12,10,9,7,7,6,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 11, 2010 Thursday",13 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FINDINGS OF U.N. CLIMATE CHANGE PANEL TO BE REVIEWED,"JOHN M. BRODER, THE NEW YORK TIMES",WORLD; Pg. A-4,,537 words,,,"March 11, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,climate,panel,scientist,review,scientific,group,change,report,have,error,work,recent,look,include,complete,know,United_Nations,IPCC,world,research,management,official,take,several,critic,study,critical,public,pachauri,serve,member,dr.,dijkgraaf,next,assessment,U.N.,InterAcademy_Council,top,around,practice,try,avoid,kind,bring,question,wednesday,ban,consortium,prestigious,society,name,thorough,sharp,attack,revelation,mistake,publish,2007,poorly,source,exaggerate,account,quickly,himalayan,glacier,melting,find,warming,probably,result,human,activity,remain,indisputable,use,raise,doubt,credibility,entire,news,conference,request,independent,ensure,future,comprehensive,free,let,clear,threat,real,policymaker,receive,impartial,evidence,inform,policy,address,chairman
,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 26, 2010 Sunday",21 of 383 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),UP CLOSE AND PERSONAL WITH PENGUINS -- AND CLIMATE CHANGE,Roland Wall,ARTS & ENTERTAINMENT; BOOK REVIEW; Pg. B-5,,497 words,,,"December 28, 2010",ENGLISH,,,PHOTO: Numbers of the tuxedoed Adelie penguins have plummeted since Bill Fraser's first visit to Antarctica in 1975.,,,Newspaper,Copyright 2010 P.G. Publishing Co.
,penguin,change,bird,ice,world,scientist,many,climate,study,adely,temperature,Fraser,Adelie,pundit,global,warming,people,montaigne,life,experience,part,already,new,station,team,shelf,side,brown,skua,future,feed,toward,tip,antarctica,Mr._Montaigne,Antarctic,Mr._Fraser,politician,endlessly,voice,conflict,view,leave,wonder,believe,fen,suggest,ignore,pay,attention,hardy,bottom,detail,season,chart,population,confirm,force,troubling,reality,obviously,averse,extreme,travel,former,bureau,chief,scientific,harshest,location,write,clean,descriptive,style,veteran,journalist,book,present,careful,explanation,react,story,dominate,activity,adeliae,adapt,edge,title,tiny,cadre,spend,career,visit,1975,number,plummet,though,still,numerous
,8,6,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
