PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 22, 2012 Sunday",1 of 426 DOCUMENTS,Pittsburgh Post-Gazette,GLOBAL WARMING ISSUE HARD TO QUELL EARTH DAY,"Don Hopey, Pittsburgh Post-Gazette","HEALTH, SCIENCE, MEDICINE & TECHNOLOGY; EARTH DAY; Pg. A-1",,1375 words,,,"April 23, 2012",ENGLISH,,,PHOTO: Robin Rombach/Post-Gazette: Climate-change expert Michael Mann says policymakers can't wait until questions are answered before they act on global warming.,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,climate,change,science,global,warming,world,gas,percent,still,stick,carbon,greenhouse,emission,hockey,mann,scientist,mo,fossil,fuel,make,professor,temperature,level,dioxide,part,public,scientific,reduce,study,need,Mr._Mann,show,decline,almost,policymaker,act,poll,americans,debate,question,include,already,University,Oreskes,due,director,produce,graph,"1,000",long,past,century,climb,grow,concentration,per,million,time,natural,recent,good,doubter,effort,evidence,awareness,weather,event,impact,ocean,higher,may,2010,journal,permafrost,large,accord,freeze,manmade,happen,successful,engineering,do,history,message,uncertain,many,believe,ms.,really,control,governance,regulation,armstrong,expert,modeling,find,percentage,high,last
,21,16,13,12,12,9,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 7, 2012 Friday",11 of 426 DOCUMENTS,Pittsburgh Post-Gazette,FRAUD QUESTION LOOMS IN GLOBAL WARMING RESEARCH,JACK KELLY,EDITORIAL; Pg. A-7,,669 words,,,"September 8, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,data,temperature,global,Mr._Mann,graph,use,time,warming,hockey,stick,a.d.,scientist,mo,tree,write,trick,real,decline,editor,Michael_Mann,much,may,professor,create,show,accord,1850,exist,method,committee,mann,decade,hottest,millennium,1998,measurement,proxy,clear,expose,email,last,hide,world,fraudulent,go,spend,Medieval_Warm_Period,Yamal,Briffa,Mr._Briffa,Nature,Investor,Business_Daily,likely,learn,biggest,scam,history,blustering,bully,bluff,call,famous,claim,soar,20th,century,after,900,stability,800,1300,1400,never,generate,matter,feed,charge,canadian,mckitrick,2005,paper,congressional,ask,look,controversy,assessment,1990,support,analysis,conclude,report,head,statistic,panel,form,little,confidence,assertion
,8,7,6,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 27, 2012 Friday",19 of 426 DOCUMENTS,Pittsburgh Post-Gazette,"STRONG STORMS THREATEN OZONE LAYER, STUDY SAYS; INCLEMENT SUMMER WEATHER POSES NEW CONCERNS","Henry Fountain, The New York Times","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-2",,683 words,,,"July 27, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,ozone,atmosphere,study,scientist,storm,layer,water,call,researcher,add,increase,climate,vapor,stratosphere,chemical,concern,decade,atmospheric,research,updraft,United_States,summer,high,damage,warm,science,send,normally,event,people,ultraviolet,much,focus,hole,thin,region,population,rise,injection,change,make,produce,tropopause,cfc,chlorine,shift,CFCs,pump,upper,pose,threat,protective,thursday,risk,may,publish,online,journal,report,well,drier,desert,show,rapidly,set,reaction,remain,refrigerant,gas,help,shield,animal,crop,damaging,ray,sun,seasonal,observe,last,almost,mean,exposure,million,incidence,skin,cancer,problem,deep,lead,author,never,suspect,finding,base,sound,expert,direct,measurement,impact
,10,6,6,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 26, 2012 Thursday",20 of 426 DOCUMENTS,Pittsburgh Post-Gazette,"DIG THIS: GARDENERS, FARMERS GET NEW GUIDES","DON HOPEY, PITTSBURGH POST-GAZETTE",NATIONAL; Pg. A-1,,888 words,,,"January 27, 2012",ENGLISH,,,MAP: U.S. Department of Agriculture; Associated Press: New planting zones\ MAP: James Hilston/Post-Gazette: Pennsylvania extreme minimum temperatures: new and 1960,,,Newspaper,Copyright 2012 P.G. Publishing Co.
,map,plant,change,zone,climate,grow,tree,Pennsylvania,peach,new,hardiness,gardener,temperature,professor,warmer,crop,USDA,warming,mr.,across,survive,garden,weather,old,insect,Cornell,cold,trend,generally,back,determine,ornamental,chart,average,lowest,winter,factor,certain,provide,people,horticulture,give,reflect,shift,base,data,time,move,fahrenheit,range,state,we,right,recommend,agricultural,cause,short,cooler,apple,increase,variety,grape,nursery,likely,livestock,longer,allow,pest,weed,take,together,researcher,another,evidence,wolfe,backyard,identify,United_States,famous,point,north,coldest,extend,detailed,department,depiction,often,find,hardware,store,seed,packet,use,farmer,fruit,vegetable,shrubbery,region,release
,18,15,14,13,9,8,6,6,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
