PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 18, 2013 Thursday",1 of 438 DOCUMENTS,Pittsburgh Post-Gazette,GLOBAL WARMING IS NO HOAX,MELANIE FITZPATRICK,EDITORIAL; Pg. A-8,,586 words,,,"April 19, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,change,climate,make,warming,scientist,ask,question,find,global,emission,lead,science,rise,heat,past,ocean,warm,Pittsburgh,hoax,know,burn,coal,around,institution,way,answer,summer,reduce,continue,current,shift,public,especially,season,important,stress,we,already,people,deal,thing,sea,level,mo,kelly,talk,state,Pennsylvania,Western_Pennsylvania,recently,april,hearing,someone,gravity,course,carbon,dioxide,gas,destroy,tropical,forest,dramatic,rainfall,pattern,world,national,academy,equivalent,dozen,country,agree,disrupt,life,better,mean,2008,conduct,scientific,review,help,end,century,climb,rate,degree,strain,health,urban,area,disruption,grow,crop,sweet,corn,apple,increase,dairy,cattle,decline
,9,8,7,6,6,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 2, 2013 Saturday",2 of 438 DOCUMENTS,Pittsburgh Post-Gazette,DULL LEAF HUES CALLED CLIMATE CHANGE OMEN,"David Templeton, Pittsburgh Post-Gazette","HEALTH, SCIENCE, MEDICINE & TECHNOLOGY; Pg. A-1",,814 words,,,"November 5, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 P.G. Publishing Co.
,fall,color,leave,change,leaf,warm,normal,degree,red,climate,temperature,six,october,less,produce,tree,roll,average,weather,september,explain,every,warmer,later,duller,sugar,extreme,spring,summer,autumn,loading,dice,high,yellow,sunny,brilliant,orange,purple,many,green,week,november,seasonal,variation,may,foliage,season,early,result,signal,species,thing,mann,report,warmest,ever,late,global,world,clean,low,inch,factor,mr.,daylight,photosynthesis,chlorophyll,sunscreen,sun,cold,night,unusually,rain,fail,splash,gold,remain,raise,spectre,scientist,harbinger,likely,occurrence,push,back,peak,third,trend,forebode,coloration,local,include,maple,begin,migrate,northward,plant,animal,search
,11,11,10,10,8,7,7,7,6,6,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 19, 2013 Sunday",5 of 438 DOCUMENTS,Pittsburgh Post-Gazette,"COMMON PLANTS, ANIMALS THREATENED BY CLIMATE CHANGE, STUDY SAYS","Neela Banerjee, Los Angeles Times","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-12",,510 words,,,"May 21, 2013",ENGLISH,,,"PHOTO: David J. Phillip/Associated Press: Bird counters record the number of pelicans sitting on an oyster reef in the Gulf of Mexico near Mad Island, Texas, as part of a nationwide effort to estimate the country's bird population and species.",,,Newspaper,Copyright 2013 P.G. Publishing Co.
,plant,study,species,change,animal,loss,range,climate,common,world,find,greenhouse,gas,emission,lead,widespread,around,accord,author,look,lose,percent,affect,geographic,give,area,next,decade,ms.,reich,forest,predict,conclude,likely,major,habitat,move,avoid,reduce,Climate,Tyndall_Centre,University,Warren,Minnesota,release,last,week,journal,"50,000",half,third,2080,continue,current,course,rise,availability,nutrition,water,narrow,different,mean,readily,diminish,markedly,seven,tell,we,average,experience,significant,u.k.,much,research,focus,plight,rare,rather,conclusion,entirely,consistent,other,b.,professor,ecology,read,report,new,reptile,particularly,amphibians,face,greatest,risk,region,project,visit,fellow,coffee
,11,11,10,9,9,7,6,6,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 28, 2013 Friday",18 of 438 DOCUMENTS,Pittsburgh Post-Gazette,94 IN ALASKA? WEATHER EXTREMES TIED TO JET STREAM,"Seth Borenstein, The Associated Press","HEALTH, SCIENCE, MEDICINE & TECHNOLOGY; Pg. A-8",,1077 words,,,"July 2, 2013",ENGLISH,,,"PHOTO: AP Photo/St. Paul Pioneer Press, Jean Pieri Rhododendrons at the Garden Center of Cub Foods in Stillwater, Minn. are covered in snow after an early May snowfall.",,,Newspaper,Copyright 2013 P.G. Publishing Co.
,jet,stream,weather,record,scientist,snow,unusual,high,may,winter,tornadoe,sea,pattern,seem,extreme,low,area,ice,temperature,Arctic,straight,heat,climate,happen,follow,take,something,cover,last,ms,francis,fall,study,across,difference,warm,Alaska,United_States,Francis,air,generally,west,mostly,direction,go,undulate,north,recent,example,hit,degree,june,spot,blame,wave,large,northward,bulge,play,old,new,related,global,warming,warmer,past,march,nor'easter,every,number,set,spring,april,have,meteorology,three,director,know,make,scientific,hypothese,polar,dip,faster,move,time,unprecedented,slow,accord,instead,create,curve,2012,trap,later,2011,meteorologist,Canada,Atlantic
,18,18,13,12,7,7,7,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
