PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 22, 2014 Saturday",2 of 454 DOCUMENTS,Pittsburgh Post-Gazette,THE NOTION OF 'SETTLED SCIENCE' IS IN ITSELF ANTI-SCIENTIFIC,,EDITORIAL; Pg. A-12,,770 words,,,"February 24, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,settle,science,climate,hurricane,global,change,mammogram,model,last,California,warming,fact,breast,cancer,offer,prediction,make,hit,god,denier,have,long,believe,atmosphere,scientist,pretend,cause,propagandist,debate,nothing,death,every,less,effect,indeed,think,today,computer,weather,call,point,suggest,extreme,fewest,previous,land,new,burn,whoring,climate_change,United_States,half_century,repeat,believer,good,humanity,spew,ton,carbon,dioxide,know,exactly,assert,chief,latest,state,address,really,idea,static,impervious,challenge,take,example,assume,help,reduce,require,insurance,plan,free,learn,massive,randomize,study,"90,000",woman,follow,may,five,diagnose,receive,unnecessary,radiation,chemo,surgery,much,settledness,well
,9,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 26, 2014 Friday",15 of 454 DOCUMENTS,Pittsburgh Post-Gazette,FLORIDA'S GOING DOWN THE DRAIN; BUT DON'T MENTION THE WORDS 'CLIMATE CHANGE' TO THE GOVERNOR,,EDITORIAL; Pg. B-7,,822 words,,,"September 26, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,go,climate,change,Detroit,rise,time,warming,cause,think,scientist,republican,climate_change,sea,level,ocean,become,have,garage,scientific,global,human,behavior,penguin,dwindle,run,week,whitehouse,senator,party,make,look,issue,percent,accept,fact,include,basic,give,something,mo,campaign,spend,election,believe,many,governor,ask,student,New_York_Times,Miami,Florida,Senate,Congress,Republican,interesting,consequence,periodically,start,bubble,local,drainpipe,concept,water,extend,step,front,porch,seasonal,event,swallow,return,buzzard,spring,fall,high,tide,flooding,coastal,area,director,saltwater,drain,sidewalk,damaging,ah,vast,majority,study,take,stand,conclude,result,awful,polar,bear,ice,floe,cornfield,drying
,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 23, 2014 Thursday",29 of 454 DOCUMENTS,Pittsburgh Post-Gazette,EUROPE WOULD EASE CLIMATE RULES; ECONOMIC REALITIES FORCE EU TO ALTER GOALS FOR MEMBERS,"Stephen Castle, The New York Times",WORLD; Pg. A-1,,803 words,,,"January 24, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,Europe,climate,energy,proposal,economic,cost,environmental,group,renewable,target,industry,global,emission,wednesday,instead,gas,ahead,percent,carbon,action,make,regulation,source,seem,economy,drive,propose,national,2020,overall,goal,frack,press,2030,new,evidence,reflect,eu,single,policy,require,commissioner,example,world,debate,friend,play,around,problem,response,change,effect,increase,efficiency,business,consumer,financial,government,still,recovery,European,Earth,European_Commission,United_States,try,set,standard,create,tough,rule,mandate,use,arguably,sacrifice,growth,name,save,planet,hit,environmentalist,limit,high,decline,industrial,competitiveness,recognition,unlikely,rebound,strongly,anytime,soon,lead,policymaker,begin,eas,aggressive,end,bind,production
,12,11,9,7,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 6, 2014 Friday",31 of 454 DOCUMENTS,Pittsburgh Post-Gazette,POLLS FIND SUPPORT FOR REGULATIONS ON EMISSIONS,"Don Hopey, Pittsburgh Post-Gazette",STATE; Pg. B-1,,593 words,,,"June 6, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,percent,poll,voter,support,change,state,climate,action,EPA,favor,rule,power,plant,greenhouse,gas,problem,policy,show,result,republican,area,Pennsylvania,federal,limit,emission,release,conservation,similar,official,candidate,believe,cost,wrong,strong,significant,something,old,margin,mo,senator,plus,toomey,comment,week,sampling,Virginia,League,Washington,coal_producing,Hart_Research_Associates,Garin,swing,shift,strongly,regulation,contribute,accord,thursday,find,propose,majority,recognize,serious,elect,address,create,rather,job,new,political,moment,senior,adviser,d.c.,environmental,advocacy,organization,leadership,politics,national,tuesday,news,broad,epa,take,cause,higher,electricity,rate,proposal,limiting,must,make,bigger,reduction,look,go,forward,2014
,16,12,10,8,8,7,7,6,6,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2014 Sunday",49 of 454 DOCUMENTS,Pittsburgh Post-Gazette,AS THE WORLD TURNS; LOCAL SCIENCE FACILITIES LAG ON CLIMATE CHANGE FACTS,,EDITORIAL; Pg. D-2,,361 words,,,"November 11, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,change,climate,issue,report,scientific,local,global,ever,severe,without,warming,high,community,make,home,consensus,world,exhibit,mention,polar,Post_Gazette,latest,use,language,starkest,panel,warn,new,urgency,continue,emission,greenhouse,gas,threaten,consequence,planet,affect,people,ecosystem,sustain,additional,mitigation,effort,beyond,place,today,adaptation,end,21st,century,lead,risk,widespread,irreversible,impact,globally,yet,dire,prediction,appear,mind,denier,warning,increasingly,shrill,expression,desperation,science,can,case,indeed,week,voter,rally,many,dismiss,large,political,creation,truth,threat,believer,general,agreement,proof,prophet,honor,except,town,sunday,story,state,facility,display,fail,update,1983,news,ice
,6,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 3, 2014 Tuesday",53 of 454 DOCUMENTS,Pittsburgh Post-Gazette,FEDERAL CONTROLS TARGET GREENHOUSE GAS EMISSIONS,"Don Hopey, Pittsburgh Post-Gazette",NATIONAL; Pg. A-1,,1273 words,,,"June 7, 2014",ENGLISH,"June 4, 2014",Proposed federal controls on greenhouse gas emissions from power plants mostly would affect the coal industry. A headline on a story Tuesday about the controls incorrectly said the gas industry would mount opposition to the proposal.,CHART: U.S. Environmental Protection Agency; Post-Gazette: EPA emission retention goals,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,power,EPA,rule,percent,plant,state,carbon,emission,health,climate,energy,industry,public,proposal,electric,pollution,create,job,reduction,president,executive,administration,coal,change,2005,risk,air,Pennsylvania,federal,greenhouse,gas,expect,organization,science,level,accord,2030,include,asthma,reduce,demand,make,economy,new,pennsylvania,chief,officer,mr.,consumer,give,coal_fired,U.S.,announcement,monday,many,support,environmental,cut,largest,source,provide,benefit,estimate,premature,death,attack,work,bill,increase,efficiency,flexibility,edge,take,significant,step,toward,nation,already,place,obligation,clear,propose,put,sen,casey,clean,environment,impact,across,appropriate,concern,result,shut,statement,effect,path,program,compliance,predict
,14,14,11,10,9,9,9,8,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 13, 2014 Monday",57 of 454 DOCUMENTS,Pittsburgh Post-Gazette,DON'T BUY INTO CLIMATE CHANGE CONFUSION,TIM KELLY,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-6,,245 words,,,"January 13, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,change,climate,security,need,environmental,existence,confuse,public,address,may,ocean,acidification,sociologist,recently,publish,paper,disclose,whose,sole,mission,reality,thus,slow,stop,action,carbon,emission,remember,horrible,dring,2012,corn,crop,decimate,"27,000",high,temperature,record,either,break,match,august,incidentally,evidence,show,recent,cold,snap,attributable,path,jet,stream,cause,global,loss,sea,ice,let,clear,twin,real,ongoing,threat,particularly,food,aggressively,however,conservative,foundation,include,fossil,fuel,industry,funding,author,think,tank,put,propaganda,serve,fundamental,right,apparently,fund,effort,die,wealthy,trump,child,reasonable,future,doubt,prove,irrefutable,well,someone,pay,tolerate,kelly
,5,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 29, 2014 Thursday",61 of 454 DOCUMENTS,Pittsburgh Post-Gazette,THE FACTS DON'T ADD UP FOR HUMAN-CAUSED GLOBAL WARMING,JACK KELLY,EDITORIAL; Pg. A-8,,708 words,,,"May 30, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,climate,percent,consensus,warming,scientist,human,temperature,cause,atmosphere,greenhouse,gas,degree,global,skeptic,effect,change,earth,last,agree,question,think,risen,publish,dioxide,scientific,science,1979,rise,fall,for,increase,well,natural,researcher,ask,survey,compare,mean,activity,peer,review,journal,colleague,abstract,position,97.1,paper,papers,state,true,less,carbon,solar,University,Mr._Cook,CO2,Earth,five,2014,coldest,begin,keep,record,1888,alarmist,might,notice,weather,satellite,start,measure,lower,troposphere,1997,1.1,1.98,fahrenheit,stop,2012,pause,212,longer,trend,211,warm,ice,age,net,0.19,0.34,within,range,fluctuation,president,often,real,dangerous,bogus,stat
