PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"December 8, 2015 Tuesday",6 of 419 DOCUMENTS,Pittsburgh Post-Gazette,EXXONMOBIL IS OK WITH A CARBON TAX; EVEN BIG OIL IS AHEAD OF THE REPUBLICAN PARTY WHEN IT COMES TO CLIMATE CHANGE,Fred Hiatt,EDITORIAL; Pg. A-11,,817 words,,,"December 8, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 P.G. Publishing Co.
,climate,change,tax,oil,carbon,policy,real,believe,action,gas,we,republican,president,let,ExxonMobil,government,rise,leader,today,energy,industry,blame,Exxon,Paris,understand,visit,company,take,word,coal,proceed,return,tell,quite,view,lead,presidential,candidate,sen,science,moment,acknowledge,oppose,ask,without,majority,secretary,favor,mitigate,risk,answer,speak,anything,proposal,state,big,income,idea,butch,yes,GOP,revenue_neutral,Washington_Post,self_evident,op_ed,Mr.,McConnell,dangerously,extreme,become,compare,stance,confuse,giant,website,find,combat,sensible,taxpayer,spend,choose,expert,last,week,average,temperature,likely,catastrophic,degree,possible,properly,design,predictable,transparent,comparatively,simple,implement,position,paper
,13,10,9,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 7, 2015 Tuesday",25 of 419 DOCUMENTS,Pittsburgh Post-Gazette,EPA CARBON LIMITS,RUSSELL ZERBO,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-4,,220 words,,,"April 7, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 P.G. Publishing Co.
,climate,change,carbon,exist,dioxide,problem,energy,company,tax,taxpayer,record,limit,role,Mr._Schultz,former,secretary,state,p.,schultz,concerned,call,eliminate,burdensome,law,regulation,aim,curtail,emission,act,follow,reagan,example,march,perspective,thank,acknowledge,real,allow,big,pay,pollution,return,fund,nothing,slow,witness,warmest,winter,ever,snowfall,power,plant,set,finalize,june,propose,scrap,plan,legislate,never,make,peer,understand,chlorofluorocarbon,representative,spend,dollar,deny,industry,lead,political,way,reduce,zerbo,advocacy,coordinator,clean,air,council,philadelphia,George,Empower_Entrepreneurs,Northern_Hemisphere,New_England,Environmental_Protection_Agency,Washington,Ronald_Reagan,CFCs,American,EPA,RUSSELL
,7,6,5,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 9, 2015 Sunday",49 of 419 DOCUMENTS,Pittsburgh Post-Gazette,CLEAN POWER; THE U.S. MUST GIVE OBAMA'S PLAN A CHANCE,,EDITORIAL; Pg. D-2,,327 words,,,"August 11, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 P.G. Publishing Co.
,emission,plan,carbon,climate,change,power,percent,state,administration,plant,business,alternative,effort,achieve,coal,industry,reliance,fuel,Clean_Power_Plan,ink,dry,new,limit,interest,political,ally,begin,gear,fight,rule,court,compare,scale,modest,politician,offer,credible,unveiled,last,week,mark,national,slash,reduce,2005,level,2030,regulator,allow,create,goal,choose,option,increase,renewable,energy,production,trading,credit,system,draw,bipartisan,support,phase,dirtiest,form,generation,figure,many,rile,trade,group,know,heavy,dirty,inconsistent,solution,gov,tom,wolf,work,citizen,fashion,specific,drop,2008,proximity,greater,use,natural,gas,doubt,part,package,account,globally,highest,rate,consumption
,6,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 30, 2015 Wednesday",85 of 419 DOCUMENTS,Pittsburgh Post-Gazette,UNSEASONABLY WARM WEATHER BEARING FRUIT FOR LOCAL FARMERS,"Daniel Moore, Pittsburgh Post-Gazette",BUSINESS; Pg. A-1,,629 words,,,"December 30, 2015",ENGLISH,,,PHOTO: Pam Panchak/Post-Gazette: Art King of Harvest Valley Farms in Richland shows off blueberry buds Tuesday that are forming because of the unusually warm weather.,,,Newspaper,Copyright 2015 P.G. Publishing Co.
,mr.,weather,fruit,vegetable,cold,go,grow,kretschmann,crop,tree,green,winter,farmer,harden,change,warmer,lettuce,collard,kale,freeze,thanksgiving,live,field,pick,yield,pattern,warm,temperature,fall,survive,prune,hour,production,normally,let,short,consequence,growth,climate,time,seed,increase,continue,try,put,thing,king,Mr._Kretschmann,Christmas,Harvest_Valley_Farms,use,carrot,beet,potatoe,organic,farm,near,often,feel,another,planet,really,beautiful,fully,expect,january,unbelievable,die,abnormally,godsend,particularly,depend,late,harvest,question,boom,we,grower,owner,pleased,actually,sell,broccoli,way,can,remember,ever,caveat,however,nuance,horticulture,educator,need,certain,number,gradually,cooler,enough,properly
,7,7,6,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
