PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 2, 2017 Friday",8 of 294 DOCUMENTS,Pittsburgh Post-Gazette,"TRUMP'S VIEW OF PITTSBURGH REGION OUTDATED, SOME SAY","Don Hopey, Pittsburgh Post-Gazette",LOCAL; Pg. A-8,,951 words,,,"June 3, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,president,coal,climate,economy,decision,agreement,Pittsburgh,change,Paris,U.S.,job,time,new,mine,past,pittsburgher,air,water,mr.,rep.,country,leader,never,power,impact,leadership,go,many,open,less,city,pollution,environmental,organization,know,clean,green,support,elect,mike,ability,policy,need,global,control,plant,worker,battle,line,withdraw,energy,technology,make,take,recent,domestic,industry,thursday,try,steel,meet,burn,sell,half,maker,state,reliant,Western_Pennsylvania,Trump,Senate,Mr._Trump,Pennsylvania,West_Virginia,voter,unlike,citizen,bound,accord,sign,disagree,sadly,misinform,think,nostalgic,smoky,executive,director,oldest,good,sustainable,healthy,future,child,trump,official,kelly,call,victory,sovereignty
,9,9,8,8,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 12, 2017 Wednesday",26 of 294 DOCUMENTS,Pittsburgh Post-Gazette,NATURAL CHANGES,BRUCE KARGER,EDITORIAL; LETTERS TO THE EDITOR; Pg. A-6,,247 words,,,"July 12, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,change,impact,Ohio,climate,glacier,human,ago,flow,mile,history,learn,cover,several,million,"14,000",almost,river,north,south,long,natural,many,write,reference,l.,ray,robert,letter,extreme,heat,blast,july,relate,weather,grow,product,public,education,take,much,period,however,recent,retreat,dramatic,topography,area,flat,other,away,bless,hill,valley,greater,creek,sign,turnpike,define,divide,watershed,go,time,whether,course,nature,convenience,force,person,geographic,region,around,similar,geological,live,former,ocean,use,direction,Eastern_Ohio,Gateway_Center,Wisconsinan_Glacier,Climate,modern_day,small_town,U.S.,Midwest,BRUCE,KARGER_Hampton
,6,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 15, 2017 Wednesday",36 of 294 DOCUMENTS,Pittsburgh Post-Gazette,THE WORLD MOVES ON WITHOUT US; DONALD TRUMP IS LETTING AMERICAN LEADERSHIP LAPSE,Dan Simpson,EDITORIAL; Pg. A-11,,782 words,,,"November 15, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,United_States,Mr._Trump,NATO,world,administration,member,home,American,America,president,trade,trump,country,climate,change,coal,meet,might,defense,leadership,problem,water,Trump,U.S.,think,leader,game,view,trip,part,grow,mo,better,much,agreement,nation,former,include,matter,burn,intelligent,question,military,argument,sale,point,fix,billion,unless,strongest,Asia,China,Paris,Bonn,exceptionalism,basically,confirm,clear,manifestation,new,status,quo,work,long,build,partnership,multinational,organization,design,counter,hegemony,upon,office,promptly,pull,organized,function,cut,deal,sit,sideline,meanwhile,collective,clout,effort,negotiate,bilateral,relationship,individual,tpp,go,pretty,nowhere,glaring,example,decimate,signing,2015,past
,8,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 5, 2017 Friday",40 of 294 DOCUMENTS,Pittsburgh Post-Gazette,PROTECTING THE GREAT LAKES IS VITAL FOR THE ECONOMY,DANA SILER,EDITORIAL; LETTERS TO THE EDITOR; Pg. A-12,,269 words,,,"May 5, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,water,Great_Lakes,change,protect,climate,emission,article,repeal,region,important,fresh,drink,city,go,make,nutrient,mussel,vast,majority,scientist,cause,extreme,weather,algal,bloom,tax,price,thank,informative,april,cover,administration,plan,environmental,rule,impact,effort,economic,engine,ecological,resource,source,many,challenging,note,difficult,warmer,issue,chair,mention,heavier,downpours,push,biological,bring,zebra,quagga,greenhouse,gas,primarily,fossil,fuel,use,help,drive,wash,farmland,lake,along,lose,access,moreover,economist,best,way,lower,national,carbon,reduce,sector,economy,efficiently,equitably,require,rebate,household,consumer,increase,energy,cost,little,bit,consider,small,pay,tourism,livelihood,depend,Trump
,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 16, 2017 Monday",45 of 294 DOCUMENTS,Pittsburgh Post-Gazette,"IN FIGHT AGAINST CLIMATE CHANGE, FLOOD-PRONE MILLVALE TAKES STEPS TO STAY DRY","Julian Routh, Pittsburgh Post-Gazette",LOCAL; Pg. A-1,,982 words,,,"October 17, 2017",ENGLISH,,,"PHOTO: Andrew Rush/Post-Gazette: Zaheen Hussain, Millvale's sustainability coordinator, looks out over Girty's Run watershed, which streams through the town and tests the borough's flood infrastructure. To read more on climate change, visit post-gazette.com \ PHOTO: Julian Routh/Post-Gazette: James Machajewski, Millvale's council president and deputy fire chief, stands next to a flood marker that notes the levels Hurricane Ivan reached in 2004. \",,,Newspaper,Copyright 2017 P.G. Publishing Co.
,Millvale,community,run,business,borough,town,flood,sustainable,hussain,percent,water,sustainability,collaboration,district,flooding,rain,resident,energy,center,job,people,Girty,second,next,prepare,future,mo,effort,main,official,go,council,connect,solar,mr.,economy,better,decade,rise,front,late,whatever,climate,bring,fight,start,2007,time,stormwater,storm,creek,amount,opportunity,install,air,public,safe,outside,cancer,industry,rate,per,panel,able,create,grid,practice,renewable,program,fellowship,debate,problem,avoid,major,everyone,Allegheny_River,Allegheny_County,part,hometown,capital,underwater,victim,sea,make,sure,stay,coordinator,2015,taske,continue,ecodistrict,plan,line,resilient,ago,huge,august,engineer,descend
,15,10,8,8,7,7,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 30, 2017 Sunday",49 of 294 DOCUMENTS,Pittsburgh Post-Gazette,"WHILE DESPAIR LOOMS, HISTORY OFFERS COUNSEL; WHEN A WAR IS RAGING, WE CAN'T IMAGINE PEACE. BUT RESOLUTIONS ALWAYS EMERGE",David M. Shribman,EDITORIAL; MY POINT; Pg. D-3,,1068 words,,,"May 2, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,president,know,may,today,change,real,crisis,define,period,world,wall,threat,speak,life,attack,often,view,Buffalo,North_Korea,American,Trump,ago,city,major,national,elevator,along,air,hope,around,we,challenge,clear,war,thing,warming,four,decade,historical,small,perhaps,confrontation,tell,nuclear,right,probably,security,idea,unforeseen,presidency,represent,regard,ability,approach,diplomacy,worldview,hundred,next,mean,Washington,Mr._Trump,buffalo,optimistic,maybe,slightly,crazy,visionary,imagine,modern,transform,rubble,revitalization,take,tired,waterfront,make,breathtaking,walkway,watch,museum,grow,local,treasure,attraction,weekend,forbid,mental,institution,reopen,glitter,hotel,general,mill,plant,college,ever,grain,brain,optimism
,7,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 10, 2017 Saturday",57 of 294 DOCUMENTS,Pittsburgh Post-Gazette,TRUMP'S VAINGLORIOUS TWEETS GET IN THE WAY OF GOVERNING,,OPINION; Pg. A-6,,773 words,,,"June 10, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 P.G. Publishing Co.
,tweet,president,stop,sign,world,rationale,need,attack,mo,trump,id,ban,go,vet,American,Mr._Trump,Paris,China,recent,distinguish,policy,people,seem,uniform,commitment,whole,another,develop,country,start,fact,withdraw,try,direct,unfiltered,conduit,can,use,extreme,support,travel,already,ally,make,rather,elect,thing,Trump_Derangement_Syndrome,climate_change,India,West,U.S.,London,Qatar,coin,decade,ago,feel,authorize,weigh,offshoot,distinguishes,general,hysteria,subject,additionally,inability,legitimate,difference,hand,psychic,pathology,take,decision,hyperbole,meet,withdrawal,traitorous,act,war,resign,leader,free,etc,astonishing,though,hardly,unusual,critic,recognize,agreement,huge,failure,contain,enforcement,provision,sure,onto,voluntary
