PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"December 3, 1997, Wednesday",1 of 145 DOCUMENTS,The Tampa Tribune (Florida),The usual globaloney,JEFF JACOBY,"NATION/WORLD, Pg. 15",,882 words,,,"December 4, 1997",ENGLISH,,,"SIGNATURE
NOTES: COMMENTARY",,,,Copyright 1997 Times Publishing Company                               All Rights Reserved
,warming,global,degree,temperature,may,decade,human,thing,model,climate,stop,really,nothing,cause,atmosphere,computer,per,report,probably,sure,consensus,percent,IPCC,big,true,slight,century,q.,oh,pump,carbon,dioxide,heat,greenhouse,effect,right,1940,yet,take,activity,data,weather,make,high,look,keep,little,rate,lead,rise,go,scientist,agree,six,ago,environmental,write,claim,panic,adapt,Gore,hold,confab,draft,treaty,well,worldwide,last,0.5,roughly,farenheit,normal,flutter,everybody,know,car,factory,what,trap,sun,time,history,past,place,number,interaction,ocean,fluctuation,sunspot,solar,radiation,uhi,boy,bad,put,station,near,major,population
,19,15,7,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 2, 1997, Tuesday",4 of 145 DOCUMENTS,The Tampa Tribune (Florida),Global warming conference heats up,A Tribune wire report,"NATION/WORLD, Pg. 3",,700 words,,,"December 3, 1997",ENGLISH,,,"PHOTO; CHART,  Chim Ten Gwende of Zimbabwe addresses the opening of the U.N. Framework Convention on Climate Change in Kyoto, Japan. Vice President Al Gore has announced he will attend.  AP photo",,,,Copyright 1997 Times Publishing Company                               All Rights Reserved
,warming,change,gas,emission,global,conference,level,degree,world,dioxide,country,United_States,thousand,may,energy,set,carbon,greenhouse,different,affect,Kyoto,push,hard,agenda,job,government,monday,planet,legally,bind,target,reduce,industrial,nation,much,help,produce,among,1990,president,announce,consider,economic,top,natural,allow,sunlight,emit,back,toward,space,climate,atmosphere,risen,temperature,fahrenheit,ocean,precise,future,Japan,American,U.S.,Celsius,stake,preliminary,final,critical,round,negotiation,control,use,21st,century,protect,history,mankind,foreign,minister,welcoming,almost,"10,000",participant,u.n,ancient,capital,conven,strengthen,1992,link,succeed,course,decade,drive,electricity,feed,cattle,separate,vastly,interest
,8,7,7,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 8, 1997, Monday",5 of 145 DOCUMENTS,The Tampa Tribune (Florida),"From ice age to hothouse, scientists tout theory",CHARLES KRAUTHAMMER,"NATION/WORLD, Pg. 7",,828 words,WASHINGTON,,"December 9, 1997",ENGLISH,,,"SIGNATURE
NOTES: COMMENTARY",,,,Copyright 1997 Times Publishing Company                               All Rights Reserved
,global,warming,change,produce,human,temperature,prediction,much,rise,clear,degree,production,scientist,present,earth,schneider,ice,age,climate,Gore,prevent,kyoto,seriously,greenhouse,emission,energy,last,double,uncertainty,less,many,turn,serious,ago,tobacco,executive,deny,carbon,dioxide,write,several,threat,cool,nuclear,cold,new,death,whenever,wave,theory,heat,another,view,become,call,Kyoto,world,meeting,decide,wreckage,visit,upon,economy,aim,reduce,gas,curtail,use,economic,growth,premise,catastrophe,true,slight,atmosphere,century,although,still,explain,satellite,balloon,data,show,net,due,natural,variation,second,assume,substantial,contribution,answer,modeling,scientific,model,notoriously,subject,tweak,underlying
,9,9,7,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 14, 1997, Friday",7 of 145 DOCUMENTS,The Tampa Tribune (Florida),"Business climate hot, says survey",JEAN GRUSS; of The Tampa Tribune,"BUSINESS & FINANCE, Pg. 1",,690 words,,"A recent survey of local companies reveals an improving business climate, with higher job and revenue growth in 1996.","February 15, 1997",ENGLISH,,,CHART,,,,Copyright 1997 Times Publishing Company                               All Rights Reserved
,business,percent,report,survey,climate,nearly,manager,company,half,local,last,1995,chamber,insurance,concern,regulation,add,increase,revenue,1996,"1,200",decrease,county,factor,development,permit,issue,buy,Greater_Tampa,Commerce,employee,university,hillsborough,employment,compare,change,industry,indicate,better,comparable,market,dissatisfaction,respondent,health,care,cost,rate,burdensome,greatest,red,tape,procedure,likely,exist,committee,examine,crime,program,manufacturing,firm,higher,proportion,lowest,express,level,Hillsborough_County,South_Florida,one_third,large,number,new,signal,improve,economic,expansion,feel,air,chair,hundred,recruiting,arm,ask,eighty,activity,mean,money,circulate,economy,grow,people,fight,much,share,king,president,m.e,co.,inc.,still
,17,14,11,7,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 15, 1997, Friday",8 of 145 DOCUMENTS,The Tampa Tribune (Florida),A conservative approach to the environment,RICHARD B. ANDERSON,"NATION/WORLD, Pg. 19",,797 words,,,"August 16, 1997",ENGLISH,,,,,,,Copyright 1997 Times Publishing Company                               All Rights Reserved
,global,change,warming,human,effect,may,know,risk,environmental,life,appear,state,greenhouse,gas,difficult,consider,we,natural,world,include,fairness,principle,many,government,business,question,assumption,model,scientist,climate,prove,issue,take,environment,destruction,time,together,deal,deepest,allow,proceed,system,caution,current,society,political,preoccupy,perhaps,think,prudence,need,approach,absence,conservatism,regard,view,president,initiative,announce,speech,june,provoke,predictably,negative,response,area,critic,avoid,substantive,policy,research,concern,knowledge,necessarily,dioxide,principal,contributor,trace,constitute,0.03,percent,atmosphere,prediction,depend,debatable,cloud,water,vapor,surface,reflectivity,related,factor,contain,computer,whose,validity,fiercely,contest,respectable
,11,8,7,7,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 1997, Monday",11 of 145 DOCUMENTS,The Tampa Tribune (Florida),The hot debate: the global warming controversy boils into a world summit.,KURT LOFT; of The Tampa Tribune,"NATION/WORLD, Pg. 4",,671 words,TAMPA,,"December 2, 1997",ENGLISH,,,"PHOTO (C); CHART (C),  (C) (The world)
NOTES: SCI TECH",,,,Copyright 1997 Times Publishing Company                               All Rights Reserved
