PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 27, 1999, Monday",1 of 88 DOCUMENTS,The Tampa Tribune (Florida),Study links warming to bigger hurricanes;,"JAN HOLLINGSWORTH, of The Tampa Tribune;","NATION/WORLD, Pg. 1",,579 words,,,"September 28, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,storm,hurricane,report,global,warming,temperature,climate,nin,system,Atlantic,warm,world,number,surface,weather,grow,future,cycle,accord,air,may,increase,wildlife,fund,establish,link,rise,dramatic,late,1990,activity,record,1998,heat,phenomenon,severe,water,formation,critter,recent,past,state,el,of,la,regular,mean,frequent,intense,atlantic,new,uncheck,pollution,planet,spark,destructive,warn,publish,set,threaten,coast,period,unprecedented,form,1995,time,century,four,churn,sept,think,cause,gas,power,plant,car,industry,trap,close,spawn,controversy,degree,affect,life,earth,whether,researcher,predict,lead,flood,drought,blizzards,general,climatic,instability,other,challenge,evidence,call
,7,7,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 28, 1999, Sunday",3 of 88 DOCUMENTS,The Tampa Tribune (Florida),Governor takes fast track to revamp state agencies;,"DAVID WASSON, of The Tampa Tribune;","NATION/WORLD, Pg. 1",,2402 words,,,"December 3, 1999",ENGLISH,,,"PHOTO 5(1C); CHART 2,  (C) ""We haven't done anything rash or reckless,"" says Gov. Jeb Bush about the pace of governmental reforms.  COLIN HACKLEY, Tribune photo",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,state,Bush,change,plan,government,bush,school,governor,call,policy,Florida,agency,law,way,public,racial,administration,gov,control,department,people,business,service,transfer,high,time,give,greater,Senate,fast,political,approach,private,reform,cut,work,executive,next,expect,enterprise,every,teacher,student,decision,preference,contracting,university,quota,study,million,jeb,major,taxpayer,expense,chief,along,broad,education,record,set,other,pace,environmental,desire,do,issue,revamp,find,put,serve,mean,consider,rather,thing,another,success,among,think,development,new,many,community,support,end,admission,meet,transition,budget,continue,Labor,growth_management,Jones,critic,speed,perhaps,transformation,reorganize,rewritten,attend
,23,20,13,13,12,11,10,10,9,9,9,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
"August 29, 1999, Sunday",4 of 88 DOCUMENTS,The Tampa Tribune (Florida),State of disaster;,GEORGE A. MAUL;,"COMMENTARY, Pg. 6",,798 words,,,"August 30, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,people,hazard,disaster,loss,natural,insurance,coastal,area,hurricane,development,local,home,flood,Florida,change,global,weather,future,grow,percent,make,many,federal,government,build,must,hazard_prone,cause,large,management,reduce,climate,extreme,risk,number,million,growth,greater,exposure,part,personal,less,kind,transportation,larger,available,buy,assume,limited,amount,know,study,dollar,clearly,responsibility,land,space,take,controls,land_use,time,pattern,blame,everything,catastrophic,drought,easy,overlook,basic,truth,human,being,nature,mount,certainly,true,consequence,contribute,destruction,near,construction,practice,far,impact,effort,avert,give,recent,history,recurre,enigma,doomsday,scenario,rise,sea,level,warming,divert,attention
,8,7,7,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 11, 1999, Monday",5 of 88 DOCUMENTS,The Tampa Tribune (Florida),Information age artifacts in danger of disappearing;,"MARK JOHNSON, of Media General News Service;","NATION/WORLD, Pg. 1",,1248 words,,,"October 12, 1999",ENGLISH,,,"PHOTO,  Michael Carlson directs electronic preservation for the National Archives.",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,data,information,computer,tape,document,technology,go,past,store,record,media,digital,National_Archives,amount,government,keep,save,new,recent,maintain,researcher,use,read,chief,transfer,recording,disc,capability,paper,electronic,seem,microfilm,format,play,may,problem,every,people,require,preservation,hold,preserve,write,climate,outdated,machine,vike,probe,type,deterioration,compact,laser,really,make,era,bit,yellow,age,later,film,become,obsolete,archival,archivist,papers,accord,create,least,double,director,water,easily,future,around,librarian,business,much,paradigm,shift,public,decide,climate_controlled,Jet_Propulsion_Laboratory,Hedstrom,antique,well,artifact,slipping,technological,oblivion,constitution,declaration,independence,glass,case,security,guard,nearby,danger
,10,10,9,9,8,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
