PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 17, 2003, Monday",1 of 91 DOCUMENTS,The Tampa Tribune (Florida),Coral Crisis,"KURT LOFT , kloft@tampatrib.com; Reporter Kurt Loft can be reached at (813) 259-7570.","NATION/WORLD, Pg. 6",,678 words,,,"February 18, 2003",ENGLISH,,,"PHOTO (C) MacGillivray Freeman Films
(C) Scientists say rising temperatures, overfishing, an abundance of seaweed and other factors put stress on coral reefs, exposing their white calcium carbonate skeletons. ""Coral Reef Adventure,"" a new Imax film, attempts to answer questions about reef destruction and what can be done to reverse it.
NOTES: SCIENCE",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,coral,reef,world,global,die,change,bleach,live,seaweed,film,call,temperature,make,scientist,damage,warming,percent,problem,something,natural,balance,soul,overfish,marine,many,do,health,answer,question,system,animal,possible,cause,decade,report,plant,turn,white,adventure,show,canary,Tampa,Museum,Science,Industry,warn,ominous,life,sea,fear,among,complex,ecosystem,struggle,shift,ocean,threaten,magnificent,edifice,species,home,swift,negative,ripple,wash,ashore,anything,restore,biologist,oceanographer,hope,study,state,act,barometer,climate,main,threat,occur,warm,curator,thing,constantly,grow,important,habitat,lot,offer,protection,destruction,add,analogous,cut,million,acre,tree,incredibly,diverse,awai
,22,19,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 2, 2003, Monday",3 of 91 DOCUMENTS,The Tampa Tribune (Florida),The Other Blue Planet,"KURT LOFT, kloft@tampatrib.com; Reporter Kurt Loft can be reached at (813) 259-7570.","NATION/WORLD, Pg. 6",,553 words,,,"June 5, 2003",ENGLISH,,,"PHOTO (4C) CHART (C) (4C) ""Neptune's cloud bands have been getting wider and brighter,"" says Lawrence A. Sromovsky, a University of Wisconsin-Madison scientist. Hubble Telescope images from 1996, bottom, 1998, middle, and 2002 reveal the differences which scientists say could be a response to seasonal changes.
NOTES: SCIENCE",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,planet,change,Neptune,neptune,season,atmosphere,scientist,sunlight,methane,blue,mile,planetary,sun,hydrogen,helium,pattern,solar,may,2.7,billion,hardly,cloud,band,brighter,sromovsky,seem,seasonal,earth,take,hour,time,energy,motion,little,enough,system,know,work,give,understanding,decade,powerful,orbit,165,create,internal,heat,sensitive,length,Hammel,springtime,sure,frigid,away,hibernating,series,image,reveal,remarkable,explain,much,dynamics,wider,a.,authority,response,variation,baffle,however,far,mark,nearly,five,reach,900,dimmer,still,violent,place,swirl,ball,many,wind,hit,speed,"1,000",mph,flow,rotation,yet,smallest,amount,produce,atmospheric,strange,run,must,trickle,radiation
,12,8,8,7,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 30, 2003, Friday",4 of 91 DOCUMENTS,The Tampa Tribune (Florida),"Study Urges Use Of Cleaner, More Economical Fuels","JIM SLOAN, jsloan@tampatrib.com; Reporter Jim Sloan can be reached at (813) 259-7691.","NATION/WORLD, Pg. 11",,713 words,,,"May 31, 2003",ENGLISH,,,,,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
,fuel,report,percent,boost,economy,administration,carbon,dioxide,research,global,warming,new,auto,recommendation,may,vehicle,technology,step,industry,political,emission,take,include,transportation,president,Bush,environmentalist,bush,study,leader,efficient,nation,use,emerge,gasoline,alternative,measure,manufacturer,petroleum,reality,do,difficult,author,question,something,climate,significant,amount,greenhouse,gas,cell,make,truck,2030,thing,U.S.,critical,urge,search,cleaner,grind,halt,issue,thursday,spew,entire,except,call,exist,well,meet,resistance,interested,protect,interest,fight,whole,lot,task,ahead,however,hope,lawmaker,heed,warning,go,l.,greene,realize,sooner,later,spokesman,ignore,push,program,replace,old,school,bus
,9,8,6,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 29, 2003, Sunday",5 of 91 DOCUMENTS,The Tampa Tribune (Florida),Chamber Celebration,"LELAND HAWES, lhawes@tampatrib.com; Leland Hawes can be reached at (813) 259-7827.","BAYLIFE, Pg. 12",,1087 words,,,"July 1, 2003",ENGLISH,,,"PHOTO 2 Burgert Brothers photo from John F. Germany Library
This castlelike building at Morgan and Lafayette (today's Kennedy Bouevard) streets was the home of the Tampa Board of Trade in 1928, when the decision was made to change its name to the Tampa Chamber of Commerce. The building in 1926 housed the Tampa Morning Telegraph. Tribune photo by VICTOR JUNCO
The leaders of today's Greater Tampa Chamber of Commerce are, from left, Deanne Roberts, chairwoman; Kim Scheeler, president and chief executive officer; Randy Simmons of the Committee of 100; and John Ramil, who will be chairman next year.
NOTES: LELAND HAWES HISTORY & HERITAGE",,,,Copyright 2003 Times Publishing Company                               All Rights Reserved
