PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"December 15, 2004 Wednesday",3 of 89 DOCUMENTS,The Tampa Tribune (Florida),Colder Weather Brings Fish Seeking Warmth,"FRANK SARGEANT, fsargean@tampabay.rr.com",SPORTS; Pg. 2,,732 words,,,"December 17, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,water,fish,winter,temperature,warmer,bay,snook,area,north,degree,stay,shore,river,wind,flat,fact,low,around,black,inside,spring,outflow,red,catch,plant,warm,captain,grouper,seminar,many,gauge,cold,december,monday,record,outside,bar,school,lot,deep,heat,sink,gather,mangrove,snapper,largemouth,bass,find,affect,along,bottom,common,big,stack,protect,near,power,world,thursday,813,sargeant,fsargean,tampabay.rr.com,angler,depend,amazing,array,electronics,range,position,radar,underwater,television,camera,sonar,yard,either,side,tool,make,enough,use,however,simple,thermometer,show,wide,spread,time,species,sensitive,include,follow,tourist,head,interstate,south,night,strong
,17,8,8,8,6,6,6,6,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 19, 2004 Sunday",4 of 89 DOCUMENTS,The Tampa Tribune (Florida),THE TAMPA PROJECT: PART IV Our Pursuit Of Prosperity,"LINDSAY PETERSON and GUY BOULTON, The Tampa Tribune",NATION/WORLD; Pg. 1,,6317 words,,,"September 22, 2004",ENGLISH,,,"PHOTO 19 CHART 7 Tribune photo by CAROL CLEERE Kathy Boulden and her husband, Bilal Almutasim, left New York for Tampa in hopes of starting over and making a new life for their son, Khalil. Tribune photo by FRED FOX Bilal Almutasim and Kathy Boulden bring their son, Khalil, for a parent-teacher conference at Lawton Chiles Elementary in Tampa. ""Your parents wanted to give you more than they had,"" Boulden says. ""And you want to give your children more than you had."" Tribune photo by CAROL CLEERE Despite the hardships they have faced by moving to Tampa, Kathy Boulden and Bilal Almutasim love their new city and the opportunities it provides for 5-year-old Khalil. Kim Scheeler ""We know this is an uphill climb,"" president of chamber says. John Ramil ""We have the momentum,"" chamber of commerce chairman says. Austin, Texas Denver Minneapolis Raleigh, N.C. San Diego City of Tampa (2) In June, Tampa Mayor Pam Iorio unveiled a civic pride campaign featuring a theme song, TV commercials and 29 billboards with pictures of city employees and local celebrities. Enterprise Florida Tampa Bay Partnership Committee of 100 Hillsborough County Department of Economic development Tampa Economic Development Administrator Office of Technology Development, University of South Florida Center for Economic Development Research, University of South Florida.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,Tampa,job,business,area,company,chamber,development,make,economic,local,city,work,economy,tampa,leader,new,research,Boulden,people,go,include,million,place,we,need,begin,average,find,move,tax,pay,thing,build,county,grow,help,plan,create,less,Almutasim,Hillsborough_County,think,take,give,national,leave,community,nearly,look,USF,start,growth,sector,turn,wage,call,attract,better,many,percent,technology,service,813,University,another,much,become,operation,kind,among,100,report,government,idea,chart,purpose,San_Diego,way,college,family,other,good,support,bioscience,group,best,worker,1990,future,ago,life,almutasim,add,money,hire,president,push,develop,budget
,37,34,30,25,25,23,23,22,22,22,21,20,19,19,18,16,16,16,15,15,15,14,13,13,13,13,13,12,12,12,12,11,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"February 23, 2004, Monday",5 of 89 DOCUMENTS,The Tampa Tribune (Florida),A Special Interest,"ALLISON NORTH JONES, anjones@tampatrib.com; MICHON ASHMORE; Reporter Allison North Jones can be reached at (850) 222-8382.","NATION/WORLD, Pg. 1",,2655 words,,,"February 26, 2004",ENGLISH,,,"PHOTO (2C) CHART 3 Tribune photo by COLIN HACKLEY
(C) Steve Basford says a constitutional amendment put him out of the pig farming business. ""There's two things in this world you don't ever really want to know how they're made: One is sausage, the other is laws,"" he said. (C) Rod Smith
NOTES: Taking the initiative (Second of Three Parts) RELATED STORY, Page 6: Florida doesn't want to be California.",,,,Copyright 2004 Times Publishing Company                               All Rights Reserved
,state,initiative,amendment,Florida,citizen,ballot,voter,give,seek,require,medical,Basford,pig,process,school,make,special,tax,care,measure,lawmaker,interest,allow,limit,legislature,insurance,health,patient,rights,group,use,constitution,system,operation,call,spend,change,public,constitutional,repeal,law,legislative,malpractice,trial,lawyer,prohibit,farmer,build,let,time,farm,business,cost,mandate,legislator,rail,know,propose,signature,sell,plan,exemption,right,provider,fee,homestead,district,child,judicial,voting,private,high_speed,many,rather,enough,take,political,activist,pass,along,still,easy,issue,ban,include,politician,people,consider,election,new,reach,effort,chart,florida,create,gather,damage,wage,resident
,31,21,19,18,15,15,13,11,11,11,10,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"April 4, 2004 Sunday",6 of 89 DOCUMENTS,The Tampa Tribune (Florida),Sunset For Shrimpers?,"MARK HOLAN, mholan@tampatrib.com",NATION/WORLD; Pg. 1,,2098 words,KEY WEST,,"April 8, 2004",ENGLISH,,,"PHOTO 8 CHART 3 Tribune photos by ANDY JONES Shrimpers' way of life may be moving into the shadows as they get tangled in environmental requirements and competition from pond-raised imports. Other marine creatures find their way into shrimp catches despite the use of mandated by-catch reduction devices. (2) First mate Walt Baron, 24, prepares the nets that will be lowered into the Gulf for deep-water shrimping at night, when the creatures emerge from their hiding places in the sea. Below, after hours of trawling, Baron is back to work sorting the catch, picking shrimp out from the other marine life such as crabs and eels caught in the nets that will be cast overboard. Tribune photos by ANDY JONES In the dim light of dusk, captain John DeLong keeps an eye on the navigation equipment in the wheelhouse as an autopilot keeps the Nancy Joy on course. Michael Oakes Michigan real estate appraiser, vacationing in Key West Shrimp boats such as the Nancy Joy, Gulf Partners' 90-foot steel-hull boat, are slowly being forced off the sea by imported shrimp. A rosary hangs in the wheelhouse of the Nancy Joy as it sails slowly through the Gulf of Mexico on a recent shrimping trip.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,shrimp,catch,shrimper,gulf,boat,U.S.,import,nets,sea,industry,Florida,domestic,pink,percent,life,work,fish,marine,DeLong,million,lose,business,agency,federal,use,by_catch,state,money,may,less,turtle,coast,Mexico,make,water,fleet,coastal,plan,fishermen,protect,many,shrimping,bottom,excluder,reduction,chart,device,Tarpon_Springs,regulation,holan,still,brown,white,last,foot,trawl,along,spend,cost,save,price,restaurant,environmental,law,typically,must,fishing,farm,detail,document,species,begin,commercial,feb,gear,alliance,regulator,sanction,rule,relief,government,become,1998,require,swim,west,story,Nancy_Joy,National_Marine_Fisheries_Service,Key_West,tampatrib.com,gold,call,near,prize,dominate,landing,seven,market
,52,20,19,14,13,11,9,9,9,9,9,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
