PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 14, 2005 Monday",1 of 81 DOCUMENTS,The Tampa Tribune (Florida),Breaking The Ice,"KURT LOFT, kloft@tampatrib.com",NATION/WORLD; Pg. 10,,679 words,,,"November 30, 2005",ENGLISH,,,"PHOTO 5 U.S. Coast Guard photos Researchers spent six weeks collecting data on the Arctic ecosystem, and observed a polar bear feasting on a seal. The crew of the Healy takes a break on the ice, basking in the relative warmth of 10 degrees Fahrenheit. Arctic summers are much warmer than winters, but temperatures can still freeze deck ropes solid. (2) The U.S. Coast Guard icebreaker Healy and the Swedish vessel Oden make the arduous trip through the ice of the Arctic Ocean's Canadian Basin, where they encountered pancake ice, below. The journey was to study how receding ice could affect global climate patterns.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,ice,summer,region,ship,sea,climate,floe,degree,wind,Arctic,Swift,factor,global,heavy,often,temperature,long,break,Arctic_Ocean,scientist,receding,become,pattern,loft,tampatrib.com,change,healy,better,understand,ocean,make,slowly,chill,cover,retreat,trip,thick,early,crew,dip,fahrenheit,big,slow,might,affect,solar,energy,absorb,may,large,greenhouse,gas,side,compression,icebreaker,Oden,Earth,exploring,remote,kloft,pair,recently,voyage,top,world,study,traverse,coast,guard,vessel,plow,dense,sheet,effort,role,system,much,research,take,compile,publish,thing,immediately,clear,lose,indication,retreate,rate,percent,per,decade,team,member,researcher,near,still,continue,trend,remarkable
,21,7,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 23, 2005 Monday",2 of 81 DOCUMENTS,The Tampa Tribune (Florida),FAST FORWARD,Kurt Loft,NATION/WORLD; Pg. 8,,498 words,,,"May 27, 2005",ENGLISH,,,PHOTO (Oil rigs),,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,sweat,oil,condition,hyperhidrosis,may,accord,affect,warming,vegetation,climate,world,2004,million,barrel,answer,call,suffer,treatment,people,part,emotional,report,change,extreme,weather,global,use,percent,per,increase,fuel,demand,consumption,question,stumper,shiny,side,tampatrib.com,Earth,China,United_States,long,ago,page,write,excessive,medical,option,physician,learn,issue,dermatologist,botox,effective,treat,certain,type,particularly,underarm,include,surgery,help,severe,face,palm,foot,researcher,think,link,problem,brain,control,body,temperature,sympathetic,response,reason,unclear,scientist,component,overdrive,result,typically,healthy,individual,perspire,excessively,mildly,stressful,situation,handshake,job,interview,mayo,information,go,online,www.sweathelp.org,plant
,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 17, 2005 Monday",3 of 81 DOCUMENTS,The Tampa Tribune (Florida),Dry Spell,"KURT LOFT, kloft@tampatrib.com",NATION/WORLD; Pg. 10,,447 words,TAMPA,,"January 21, 2005",ENGLISH,,,"PHOTO 2 Associated Press file photo A woman in search of water walks across a dry riverbed in the drought-ravaged state of Kerala in southern India. The traditionally low-rainfall region has had an alarming decrease in rainfall in the past decade. Scientists say the severe conditions are nearly as much a result of rising temperatures as a decrease in precipitation. The Los Angeles Times After five years of record-breaking drought, a ring of mineral salts left by the dammed Colorado River circles man-made Lake Powell, where the water level dropped more than 100 feet in 2004. A houseboat motors across the lake on the Arizona-Utah border.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,land,global,temperature,world,area,rise,part,increase,dring,scientist,accord,study,drying,average,Dai,loft,tampatrib.com,hit,past,drought,climate,people,greenhouse,last,annual,appear,may,percent,1970,rainfall,slightly,surface,warmer,affect,moistening,around,suffer,severe,might,kloft,planet,earth,use,stiff,drink,percentage,serious,double,reason,trace,devastating,occur,normal,cycle,influence,much,evidence,point,latter,specifically,effect,lead,author,release,week,meeting,research,journal,data,support,model,predict,warm,season,carbon,dioxide,gas,dai,analysis,suggest,already,begin,severely,dry,condition,early,2002,almost,half,change,due,rather,decrease,snowfall,water,vapor,atmosphere,risen,air
,7,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 23, 2005 Saturday",9 of 81 DOCUMENTS,The Tampa Tribune (Florida),Warm Up To The Rising Cost Of Comfort,"B.C. MANION, bmanion@tampatrib.com",BAYLIFE AT HOME; Pg. 1,,1031 words,TAMPA,,"July 25, 2005",ENGLISH,,,CHART,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,air,system,cost,go,seer,unit,new,keep,savings,people,conditioner,may,central,efficiency,house,energy,model,customer,use,cool,much,big,ductwork,Cavallo,industry,take,level,percent,rating,conditioning,utility,consumer,buy,efficient,information,long,window,outdoor,air_conditioning,SEER,b.c,manion,tampatrib.com,news,heat,crank,operate,expert,associate,editor,regulation,mean,greater,operating,particularly,rule,per,large,minimum,produce,upgrade,offer,online,kilowatt,hour,part,hard,home,thermostat,properly,seal,register,inspect,813,company,ask,refrigerant,find,increase,way,replace,old,improvement,comfort,size,moisture,without,hire,qualified,many,shade,sure,contractor,technician,close,clean,obstruction,Home_Energy_Magazine,Stalknecht
,13,11,9,8,8,8,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 26, 2005 Sunday",11 of 81 DOCUMENTS,The Tampa Tribune (Florida),Climbing 'Killy',"KAREN HAYMON LONG, klong@tampatrib.com",TRAVEL; Pg. 2,,1286 words,APOLLO BEACH,,"July 28, 2005",ENGLISH,,,"PHOTO 11 CHART Photos by DAVE and LETA HARDY (6) Mount Kilimanjaro, a 19,340-foot peak, above, looms over the landscape of Tanzania in Northeast Africa. Leta and Dave Hardy of Apollo Beach, left, spent eight days climbing to the summit on a guided trek after their wedding in January. Hikers go through five climate changes on their way up and see creatures such as a male horned chameleon, top left, and plants that grow only on the mountain, second from left. The challenging rocky terrain affords views of lava towers, third from left, and snow and ice above the cloud line. That high up, climbers feel as though they could look into airplane windows, they say. Photos by DAVE and LETA HARDY On the eighth day of scaling Mount Kilimanjaro, an extinct volcano in Tanzania, the climbers took about two hours to traverse the last 1,000 feet of elevation to the summit. They were so exhausted, they posed for pictures, then headed back down immediately. In one of the climate zones, the moorelands, giant lobelia plants collect water in the daytime and close at night against the cold. Blue ice looks cool but makes for tough climbing. Porters carve footholds into the snow and ice. Members of the expedition sleep in tents carried up the mountain by guides. Leta Hardy, left, takes each step carefully on the breach of the mountain.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,climb,summit,porter,Leta,go,make,mountain,tent,hike,way,Africa,honeymoon,next,giant,five,climber,give,head,Dave,snow,back,thing,mile,night,company,guide,carry,rocky,time,think,leta,reach,hour,exhaust,step,Kilimanjaro,tampatrib.com,fly,morning,highest,cover,eat,nose,bleed,home,do,part,plan,vacation,trip,determine,checklist,kilimanjaro,skydive,around,week,pay,wear,pose,photo,hot,dog,training,pound,tougher,find,book,food,gear,oxygen,water,forest,higher,across,ice,other,sign,camp,base,outhouse,tell,rock,grueling,prepare,rest,along,sick,use,feel,every,foot,die,experience,descend,end,"1,000",remain,take,breathe
,15,14,10,8,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 3, 2005 Wednesday",13 of 81 DOCUMENTS,The Tampa Tribune (Florida),Forecasters Predict Torrent Of Storms,"NEIL JOHNSON, njohnson@tampatrib.com",NATION/WORLD; Pg. 1,,705 words,TAMPA,,"August 5, 2005",ENGLISH,,,CHART,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,hurricane,storm,season,tropical,form,forecast,name,seven,major,condition,expert,far,may,expect,prediction,hit,number,2005,formation,period,NOAA,United_States,Mayfield,tampatrib.com,tuesday,record,call,remain,four,nine,scientist,three,five,become,wind,forecaster,july,change,affect,average,high,produce,start,middle,temperature,grow,strike,increase,active,1995,fewer,center,hope,National_Oceanic,Atmospheric_Administration,National_Hurricane_Center,Florida,cane,njohnson,near,unprecedented,develop,111,mph,today,identify,eighth,depression,sea,pose,threat,have,already,remarkable,june,everything,indicate,busy,rest,director,many,daily,path,mainland,prove,accurate,twice,typical,week,busiest,peak,august,october,atlantic,nearly,perfect,degree,normal,provide
,26,24,15,9,8,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
