PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 1, 2007 Thursday",2 of 182 DOCUMENTS,The Tampa Tribune (Florida),IS THE SKY FALLING?,"KEVIN BEGOS, The Tampa Tribune",NATION/WORLD; Pg. 1,,1205 words,,,"February 6, 2007",ENGLISH,,,CHART PHOTO,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,global,warming,report,insurance,change,hurricane,company,insurer,much,uncertainty,may,make,storm,need,climate,last,temperature,Valverde,coastal,policy,friday,model,industry,higher,Scott,raising,rate,spokesman,part,have,issue,due,release,reinsurance,cost,though,draft,stronger,suggest,take,Florida,new,convinced,bego,major,expect,warmer,human,likely,percent,scientific,debate,already,pay,fact,ocean,private,answer,process,state,risk,play,far,yet,huge,average,loss,billion,increase,business,catastrophe,price,weather,help,although,situation,example,accord,link,enough,powerful,data,cooler,1930,spike,decade,contribute,component,many,public,modeling,project,greenhouse,gas,ground,happen,solution,require,mean
,20,15,11,11,11,10,8,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 8, 2007 Tuesday",3 of 182 DOCUMENTS,The Tampa Tribune (Florida),THE INSIDE SCOOP,,NATION/WORLD; Pg. 2,,663 words,,,"May 9, 2007",ENGLISH,,Vickie Renee Brown's medical status was incorrect in Sunday's Metro section. She was listed in good condition Monday at St. Joseph's Hospital.,PHOTO 2,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,rate,percent,auto,loan,buyer,state,pay,people,charge,black,new,car,page,summer,bingo,may,deal,group,climate,higher,federal,typical,white,consumer,survey,business,likely,use,interest,reality,competition,network,show,prize,help,scientist,meeting,public,advisory,change,error,Florida_Energy_Commission,Florida,quick,read,story,matter,minority,research,gap,narrow,possibly,disappear,result,recently,conclude,lawsuit,compare,2004,accord,organization,analysis,reserve,recent,available,lender,suggest,quote,base,largely,credit,history,dealer,often,raise,without,discuss,customer,advocate,question,difference,oblack,general,three,time,least,high,ohispanics,5.5,tv,terrorism,quirky,sleuth,heroes,sitcom,television,thing,keep,we
,13,8,6,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 5, 2007 Monday",6 of 182 DOCUMENTS,The Tampa Tribune (Florida),Global Warming Solutions Can Boost Agriculture,CONNIE MACK,NATION/WORLD; Pg. 15,,878 words,,,"November 15, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,credit,new,carbon,agriculture,reduce,emission,market,greenhouse,cap,agricultural,industry,opportunity,climate,gas,trade,change,plant,already,offset,system,may,photo,Florida,seed,economy,economic,shift,create,state,utility,farm,emit,allowance,allow,mack,global,mean,challenge,profitable,yield,today,perhaps,energy,legislation,many,technology,job,lead,control,include,commodity,sell,business,much,company,electric,pollute,buy,less,ability,reduction,use,billion,stimulate,potential,U.S.,CO2,Congress,throe,course,potentially,exaggeration,claim,crop,row,sprout,paradigm,national,world,next,critical,position,help,shape,policy,determine,large,extent,working,among,draw,attention,exacerbate,buildup,atmosphere,continue,weather,pattern,become
,12,10,10,9,8,8,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 14, 2007 Tuesday",8 of 182 DOCUMENTS,The Tampa Tribune (Florida),Rove's Exit May Open Door For Crist's Stances,"WILLIAM MARCH, The Tampa Tribune",NATION/WORLD; Pg. 1,,958 words,,,"August 20, 2007",ENGLISH,,,PHOTO 2,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,Crist,change,crist,party,president,new,GOP,political,governor,republican,Rove,Bush,bush,help,resignation,campaign,idea,Republican_Party,gop,part,direction,way,issue,conservative,opportunity,photo,Karl_Rove,Florida,Jewett,march,charlie,play,w.,era,face,scene,scientist,look,policy,along,example,brother,take,however,make,refuse,join,rally,monday,rights,supporter,independent,win,several,national,move,activist,tactician,candidate,provide,tampatrib.com,credit,Tampa_Tribune,White_House,George,Arnold_Schwarzenegger,North_Florida,Paulson,Charlie_Crist,guru,leadership,important,decade,principal,architect,behind,politics,end,group,newer,seek,nationwide,every,put,happen,go,competitive,declare,independence,thinly,veil,criticism,environmental,deliver,hold,latest,routinely,proclaim,jeb
,12,9,9,7,7,7,7,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
