PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"March 30, 2008 Sunday",2 of 140 DOCUMENTS,The Tampa Tribune (Florida),Lawmakers Can't Hide From Climate Change,PAM MCVETY And ELLIE WHITNEY,COMMENTARY; Pg. 3,,720 words,,,"April 9, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,climate,change,reduction,emission,science,mandate,greenhouse_gas,legislator,governor,scientist,last,real,issue,let,mcvety,many,lead,threaten,stake,threat,serious,scientific,report,ice,sea,may,quickly,respond,billion,site,facility,goal,percent,2050,face,reason,understand,hope,know,really,think,world,help,write,Arctic,whitney,refuse,follow,curb,keep,voluntary,huge,gamble,family,community,enormous,matter,politics,group,"2,000",meteorologist,oceanographer,physicist,highly,qualified,review,literature,decade,november,plain,declare,largely,major,organization,whose,member,expertise,bear,directly,statement,effect,recent,papers,sheet,melting,faster,predict,summer,go,within,mit,state,grow,next,policy,technological,advance,combat,cost
,10,9,7,6,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 19, 2008 Tuesday",5 of 140 DOCUMENTS,The Tampa Tribune (Florida),Welcome To The Anthropecene,"BUZZ KELLY, commcol@tampatrib.com",NATION/WORLD; Pg. 11,,447 words,,,"March 1, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,change,percent,climate,human,tampatrib.com,denier,global,man,think,time,call,scientist,affect,ill,point,big,go,long,every,planet,difference,activity,small,way,degree,foot,sink,Earth,Limbaugh,kelly,commcol,anything,science,god,column,read,eocene,name,denote,piece,geologic,era,epoch,begin,18th,century,attain,ability,biosphere,good,appear,knowingly,megafauna,nasty,animal,ancient,period,mammoth,mastodon,dire,wolf,tiger,remain,rule,earth,memory,major,life,form,cause,normal,fluctuation,nothing,unusual,extraordinary,happen,today,due,part,child,around,back,beck,fellow,insist,percentage,try,reverse,ameliorate,especially,cost,we,money,son,fever,104,probably,survive,temp
,9,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 31, 2008 Sunday",6 of 140 DOCUMENTS,The Tampa Tribune (Florida),Storms Could Overshadow McCain's Pitch,"WILLIAM MARCH and BILLY HOUSE, The Tampa Tribune",NATION/WORLD; Pg. 1,,1223 words,,,"September 2, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,convention,McCain,party,platform,change,call,state,Bush,Florida,issue,storm,nation,make,republican,schedule,plan,may,floridian,include,*,Denver,Greer,monday,voter,president,night,delegation,speak,situation,event,attention,seating,immigration,research,climate,the,reporter,tampatrib.com,march,house,minneapolis,involve,distract,hope,without,weather,must,second,announce,administration,big,crist,thursday,greer,consider,political,anything,less,send,go,prepare,impossible,meeting,take,focus,delegate,prime,restore,role,sanction,marriage,language,illegal,immigrant,government,ban,reach,2008,Tampa_Tribune,Hurricane_Gustav,John,Republican_Party,Hurricane_Katrina,Katrina,Republican,Democratic,St._Paul,begin,luck,particularly,threaten,convince,ready,lead,face,distraction,pitch,accommodate,goodbye
,16,13,8,7,7,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"November 16, 2008 Sunday",9 of 140 DOCUMENTS,The Tampa Tribune (Florida),Nation Must Get Real About Greener Energy,,VIEWS; Pg. 2,,863 words,,,"November 19, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,make,energy,coal,country,power,plant,emission,gas,go,China,climate,support,cleaner,greenhouse,build,clean,invest,technology,world,pay,economic,bankrupt,rush,building,another,already,government,develop,help,Florida,U.S.,change,carbon,right,lower,many,include,need,reduce,electric,bill,political,reality,today,higher,debate,save,money,job,unaffordable,heavily,dependent,do,much,county,percent,2050,public,may,dollar,research,problem,chimney,global,article,lead,cost,pollution,rest,dirty,solution,nation,Obama,TECO,Foreign_Affairs,United_States,environmentalist,determine,escalate,fight,delighted,barack,obama,promise,burn,expensive,consumer,concerned,almost,everyone,republican,charlie,crist,efficient,car,theoretical,meet,necessity,household
,9,8,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 5, 2008 Sunday",10 of 140 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,VIEWS; Pg. 4,,1275 words,,,"October 7, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,state,we,world,big,must,vote,fix,team,life,forget,21st,Naimoli,inform,voter,nation,leadership,need,know,candidate,government,much,area,new,level,result,revenue,time,mess,stand,media,thing,century,family,global,oil,tax,simply,Palin,point,political,lead,prepare,democratic,free,generation,voting,take,ray,windfall,can,ask,temporary,place,people,manage,nothing,reach,crisis,tampa,house,direct,fool,suggest,benefit,republican,sell,abuse,best,fact,governor,palin,fire,aside,deal,man,change,understand,disagreement,may,high,less,country,uncle,alaska,2008,every,receive,warm,pray,United_States,America,Alaska,tip,history,never,crucial,knowledgeable,potential,helm
,9,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"April 20, 2008 Sunday",13 of 140 DOCUMENTS,The Tampa Tribune (Florida),COAL RUSH,"SEAN MUSSENDEN, Media General News Service",BUSINESS; Pg. 8,,1753 words,,,"May 2, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,plant,coal,carbon,new,utility,emission,build,future,energy,state,regulation,power,dioxide,gas,plan,cost,coal_fired,make,technology,Congress,much,impact,industry,provide,use,global,warming,lead,rise,expensive,capture,electricity,reduce,uncertainty,Florida,Sierra_Club,face,controls,fuel,set,nationwide,recent,country,shel,environmental,region,nuclear,source,group,report,percent,legislation,2007,greenhouse,financial,environmentalist,facility,funding,available,priority,newer,photo,Southeast,South_Carolina,institute,general,service,none,release,push,begin,cancellation,delay,propose,every,debate,development,work,gov,charlie,crist,position,several,lawsuit,mean,address,decade,interest,another,incentive,consider,enough,argue,accord,unless,shortfall,permit,near,project
,38,35,26,22,15,12,11,10,10,9,9,8,8,8,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 14, 2008 Sunday",19 of 140 DOCUMENTS,The Tampa Tribune (Florida),State's Slump Offers A 2nd Chance For Sustainable Development,"VICTORIA TSCHINKEL, Special to the Tribune",VIEWS; Pg. 1,,1133 words,,,"December 16, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,Florida,land,state,natural,need,growth,management,development,sustainable,plan,community,way,financial,pay,time,maintain,must,energy,rural,we,future,price,make,habitat,keep,floridian,law,public,sprawling,greenhouse,gas,water,strong,promote,protect,reduce,let,create,great,job,help,give,opportunity,remain,allow,room,tschinkel,world,true,country,foreclosure,face,loss,decline,housing,fuel,commute,school,source,misery,know,hurricane,million,legislature,meet,grow,lessen,cost,taxpayer,road,transportation,impact,climate,change,continue,much,another,waste,find,policy,environmental,economy,include,challenge,leadership,save,dollar,economic,emission,good,focus,resource,place,support,citizen,building,new,city,recreation
