PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 13, 2010 Saturday",1 of 65 DOCUMENTS,The Tampa Tribune (Florida),Rubio questions climate change,"WILLIAM MARCH, wmarch@tampatrib.com",LOCAL NEWS; Pg. 7,,562 words,,,"March 2, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,Rubio,plan,change,issue,climate,evidence,global,Crist,cap_and_trade,scientific,warming,state,legislation,House,campaign,crist,position,justify,whether,always,scientist,criticize,gov,stance,march,tampatrib.com,friday,accept,deny,emission,interview,static,make,back,2008,attempt,energy,rubio,man_made,reject,finding,wmarch,candidate,hint,charlie,switch,general,specifically,limit,carbon,nomination,tribune,subject,call,believer,think,ask,undergo,respond,never,question,cause,activity,economically,destructive,government,regulation,previously,outright,publish,statement,december,tell,qualified,decision,significant,dispute,use,paraphrase,direct,quote,prepare,challenge,camp,accuse,lead,pass,mandate,manager,flavor,appeal,right,wing,2007,speech,opportunity,pursue,bold,policy
,16,10,8,7,7,6,6,6,6,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 13, 2010 Saturday",2 of 65 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,VIEWS; Pg. 2,,636 words,,,"March 26, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,state,teach,student,Florida,achievement,learn,test,time,global,warming,sale,business,child,teacher,every,make,man,license,march,woman,tax,whole,hold,accountable,definition,ask,educator,agree,reason,good,different,need,take,however,world,renew,driver,prove,birth,certificate,may,marry,marriage,ago,know,start,climate,change,internet,merchant,collect,disadvantage,lawmaker,join,sound,logical,responsible,problem,lie,legislator,equal,higher,score,current,system,tell,much,result,listen,respectful,manners,play,well,other,cooperate,class,dress,appropriately,use,proper,grammar,necessity,fall,everyone,important,education,sustain,promote,democracy,work,hard,citizenship,responsibility,tolerance,effect,choice,bad,principle,find
,9,8,7,7,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 9, 2010 Thursday",4 of 65 DOCUMENTS,The Tampa Tribune (Florida),U.S. positioned for planet-saving leadership role,"PAUL F. STEINBERG, Special Correspondents",METRO; Pg. 16,,691 words,,,"January 3, 2011",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,U.S.,nation,reduce,past,planet,government,country,political,national,leadership,environmental,must,system,policy,citizen,United_States,f.,2010,international,fail,global,agency,fall,species,important,protect,save,time,implement,action,area,idea,carbon,emission,learn,use,place,other,draw,leader,information,tool,law,take,home,successful,associate,professor,decision_making,correspondent,name,prove,tough,earth,last,winter,negotiator,return,reach,meaningful,agreement,greenhouse,gas,spring,summer,gulf,hit,largest,oil,spill,history,due,part,lax,oversight,regulatory,diplomat,meet,discuss,future,produce,concrete,proposal,stem,rapid,disappearance,ecosystem,worldwide,event,carry,lesson,still,call,shot,race,lose,result,decision,make
,7,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 23, 2010 Saturday",6 of 65 DOCUMENTS,The Tampa Tribune (Florida),Our Views,The Tampa Tribune,METRO; Pg. 1,,644 words,,,"November 16, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,initiative,land,effort,outdoor,protect,nation,president,program,state,goal,wilderness,landowner,carbon,water,preserve,outdoors,give,climate,republican,need,public,theodore,alike,support,indeed,achieve,without,regulation,federal,cost,result,encourage,government,private,activity,among,allow,everglade,store,filter,forest,man,end,law,Obama,celebrating,great,harsh,political,surprise,many,view,distrust,animosity,characterize,announce,last,spring,grab,block,domestic,drilling,certainly,propensity,scrutiny,unfold,hearing,entail,conduct,around,country,revive,connection,landscape,farmland,river,stream,conservative,liberal,poise,take,control,perhaps,party,propose,strategy,worthy,plenty,accomplish,enormous,expense,cumbersome,simply,agency,coordinate,memorandum,direct,cut,improve
,7,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 29, 2010 Wednesday",7 of 65 DOCUMENTS,The Tampa Tribune (Florida),Snook could be in for another brutal year,Fred Everson,SOUTH SHORE; Pg. 14,,569 words,,,"January 14, 2011",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,fish,good,snook,limit,grouper,redfish,trout,season,close,angler,photo,Tampa_Bay,fishing,slot,bag,change,hole,flat,past,report,many,Little_Manatee_River,water,winter,big,last,without,weather,decline,best,week,sheepshead,low,tide,kayak,lot,have,mouth,federal,stock,need,regulation,december,everson,Fred_Everson,FWC,go,temperature,lurk,beginning,thing,survive,freeze,danger,hit,degree,generally,think,bottom,live,tolerance,already,prolong,warming,trend,seasonable,become,little,memory,pressure,waterfront,development,industrial,pollution,fishery,anyway,try,address,tighter,reduce,controls,shame,lose,greatest,inshore,game,climate,bite,recent,plenty,dock,afternoon,weekend,hook,couple,fat,among,favorite,eat
,11,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 7, 2010 Sunday",8 of 65 DOCUMENTS,The Tampa Tribune (Florida),Follow history's example,"BILL NELSON, Special to the Tribune",VIEWS; Pg. 1,,723 words,,,"February 23, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,space,program,president,NASA,time,exploration,we,science,rocket,americans,advanced,change,technology,plan,human,budget,commercial,explore,photo,America,U.S.,1986,challenger,nation,true,seem,do,shuttle,columbia,equipment,satellite,climate,hundred,job,flight,tell,something,whether,orbit,accelerate,provide,administration,behind,well,f.,cost,rest,new,history,send,fund,expedition,request,may,end,constellation,Florida,White_House,Congress,low_Earth,John,cut,rely,private,enterprise,tribune,address,mourn,note,accustom,wonder,word,hard,dazzle,certainly,still,thing,always,amaze,five,decade,tragedy,jfk,astronaut,godspeed,gemini,apollo,man,moon,hubble,mar,rover,greatly,cause,much,improve,life,earth,reason
,12,8,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 1, 2010 Thursday",9 of 65 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,LOCAL NEWS; Pg. 15,,747 words,,,"April 26, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,people,cost,Israel,health,march,Jerusalem,always,regard,order,already,care,let,need,peace,country,right,protect,capital,insurance,executive,adult,enough,violence,never,ever,feel,bill,climate,change,along,good,recognize,freedom,live,jewish,homeland,deserve,city,money,go,great,universal,coverage,quality,put,effort,applaud,watch,opinion,something,developer,rescind,unborn,law,president,13435,pass,amount,company,set,aside,transparency,train,American,Palestinians,Obama,act,time,little,common,sense,observation,wise,old,solution,democrat,attempt,distract,ill,passage,remember,1960,spit,call,settle,ballot,box,november,americans,acknowledge,difference,passover,celebrate,occur,democratic,enjoy,divide,christians,religion
,6,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 24, 2010 Saturday",10 of 65 DOCUMENTS,The Tampa Tribune (Florida),City eyes carbon footprint,"CHRISTIAN M. WADE, cwade@tampatrib.com",LOCAL NEWS; Pg. 11,,496 words,,,"May 14, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,city,energy,carbon,way,study,conservation,use,footprint,emission,environmentally,look,tampatrib.com,measure,gas,determine,go,policy,mayor,agreement,require,series,friendly,recycl,program,building,calif.,calif,tenn.,Tampa,San,conserve,cwade,plan,reduce,bill,protect,environment,usage,natural,electricity,petroleum,facility,utility,account,greenhouse,money,"70,000",federal,grant,thursday,expect,take,four,six,deputy,director,growth,management,development,service,head,information,reduction,pam,iorio,pledge,sign,u.,climate,protection,three,ago,meet,environmental,benchmark,recommendation,task,force,past,discuss,main,power,company,work,together,initiative,trumpete,include,expand,offer,incentive,developer,build,construct,standard,despite,effort,critic,still
,11,7,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 10, 2010 Sunday",12 of 65 DOCUMENTS,The Tampa Tribune (Florida),Panel studies goals to conserve energy,"CHRISTIAN M. WADE, cwade@tampatrib.com",LOCAL NEWS; Pg. 8,,581 words,,,"January 28, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,city,member,force,energy,task,group,program,TECO,*,initiative,business,recommendation,conservation,cost,owner,environmental,homeowner,photo,Tampa_Electric,energy_conserving,work,together,tampatrib.com,offer,loan,home,way,main,expand,weatherization,cover,upgrade,local,lender,upfront,iorio,council,agreement,reduce,reliance,coal,official,issue,end,effort,goal,help,finance,improvement,Turanchik,cwade,solar,photovoltaic,rebate,weatherize,require,adopt,practice,project,weigh,past,discuss,power,company,among,insulation,ductwork,repair,customer,conduct,audit,facility,determine,carbon,footprint,level,greenhouse,gas,emit,educational,outreach,neighborhood,let,consumer,know,develop,financing,provide,and,or,grant,property,decide,pursue,meeting,later,mayor,pam,create
,11,8,7,6,6,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 16, 2010 Tuesday",13 of 65 DOCUMENTS,The Tampa Tribune (Florida),Crist takes aim at Rubio's bona fides as conservative,"WILLIAM MARCH, wmarch@tampatrib.com",LOCAL NEWS; Pg. 1,,1464 words,,,"March 2, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,Rubio,tax,plan,crist,Crist,back,increase,property,speaker,campaign,issue,vote,record,conservative,budget,government,immigration,rubio,stimulus,include,pass,2008,state,bill,language,Legislature,rhetoric,gov,career,money,spend,compromise,never,cut,million,respond,support,photo,accept,turkey,House,cap_and_trade,primary,match,charlie,contends,emission,break,governor,last,billion,call,require,school,rate,make,illegal,service,english,official,member,project,worth,Senate,Florida,Miami,march,tampatrib.com,momentum,image,ad,legislation,without,idea,principle,bush,social,however,attack,example,acknowledge,carbon,worse,stadium,blast,week,oppose,republican,favor,position,action,value,statewide,revenue,climate,change,credit,take,final
,37,20,12,11,9,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 1, 2010 Thursday",14 of 65 DOCUMENTS,The Tampa Tribune (Florida),President Obama wades offshore,,LOCAL NEWS; Pg. 15,,541 words,,,"April 26, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,president,drilling,oil,drill,Florida,coast,energy,area,plan,gulf,world,Obama,along,nation,baby,deserve,need,increase,gas,production,country,approach,way,open,satisfied,industry,regardless,impact,environment,percent,can,provide,permit,mile,protect,beach,region,state,clean,encourage,may,support,Alaska,activist,consider,proposal,end,moratorium,much,surrender,crowd,sure,concession,credit,recognize,domestic,aggressively,pursue,alternative,fuel,balance,best,work,toward,independence,furnish,sensible,environmental,protection,especially,big,champion,upset,critic,anywhere,enterprise,coastline,eastern,north,limit,take,decade,tap,deposit,available,moreover,alone,satisfy,reserve,least,use,reassure,safeguard,vulnerable,particularly,closer,125,law,adopt
,9,8,7,6,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 5, 2010 Sunday",15 of 65 DOCUMENTS,The Tampa Tribune (Florida),Arctic National Wildlife Refuge deserves higher status,"JOEL D. FEDDER, Special correspondent",VIEWS; Pg. 2,,692 words,,,"December 22, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,refuge,Arctic_National_Wildlife_Refuge,president,area,place,bear,oil,development,protect,Arctic,Arctic_Refuge,land,unique,wildlife,value,generation,coastal,plain,herd,people,gwich,nation,ecosystem,mark,political,gas,last,wild,designate,national,monument,may,americans,we,bird,every,across,life,polar,sacred,in,importance,stress,else,represent,lose,natural,future,Alaska,Eisenhower,America,Porcupine_Caribou,fedder,special,correspondent,monday,d.,eisenhower,establish,beautiful,vast,stretch,northern,coast,local,community,environmentalist,champion,background,stand,defense,wilderness,recreational,uniting,stave,repeat,attempt,open,50th,anniversary,establishment,must,everything,sure,truly,survive,obama,grandchild,seem,million,mile,away,reality,around,180,species,visit,journey,state
,8,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
