PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 21, 2011 Monday",1 of 81 DOCUMENTS,The Tampa Tribune (Florida),More than meets eye in climate debate,"ROBERT P. ROTH, Special to The Tampa Tribune",METRO; Pg. 12,,804 words,,,"November 23, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,temperature,warming,climate,fact,record,change,sense,resource,science,concern,regard,due,anthropogenic,urban,data,heat,time,average,daily,result,natural,source,Tampa,land_based,CO2,p.,roth,view,story,skeptic,research,past,take,far,suggest,majority,scientist,coal,cause,develop,way,look,question,ever,true,best,back,station,retention,global,precede,depict,trend,consider,much,gas,vapor,co2,emission,greater,energy,percent,renewable,face,thing,know,man_made,Muller,Land_based,special,tribune,nov,editorial,ignore,reference,physicist,suppose,conversion,support,addition,present,ap,wsj,version,republican,presidential,candidate,task,pronounce,skeptical,go,burn,oil,fossil,fuel,factor,rise,close,piece
,9,8,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 20, 2011 Monday",2 of 81 DOCUMENTS,The Tampa Tribune (Florida),Can insurers' 'view' save us from climate change?,"BRIAN THOMAS, Special To The Tampa Tribune",METRO; Pg. 11,,712 words,,,"June 22, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,insurance,risk,change,climate,insurer,business,hazard,premium,many,we,way,buy,event,practice,weather,factor,percent,policy,state,Florida,special,judge,minor,especially,major,part,lead,viable,ugly,profit,go,give,interruption,point,view,individual,theory,probability,policyholder,hurricane,extreme,mean,may,industry,truly,force,land,property,social,thomas,badly,worry,much,nonchalant,serious,inept,chronic,deal,address,issue,picture,mix,manage,endure,slow,small,pain,exchange,big,compensation,something,happen,lack,knowledge,grain,pay,little,security,fire,earthquake,numerous,product,optimistic,play,role,guide,toward,decision,study,real,know,figure,protection,raise,flooding,behavior,financing,new,factory
,14,13,12,8,7,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 16, 2011 Saturday",3 of 81 DOCUMENTS,The Tampa Tribune (Florida),Crop research tackles climate change,"KEVIN WIATROWSKI, The Tampa Tribune",METRO; Pg. 1,,1213 words,,,"July 20, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,temperature,change,tomato,Florida,plant,corn,go,state,degree,winter,future,new,crop,normal,average,decade,work,weather,hotter,research,thrive,farmer,become,climate,number,summer,cold,expert,uf,researcher,photo,pattern,make,station,time,long,continue,release,across,creep,federal,agriculture,report,last,spot,risk,engineer,strawberry,help,million,develop,Scott,heat,far,wetter,condition,mind,agricultural,tomatoe,wet,term,variety,grow,harvest,shift,community,cover,2010,range,warmer,past,accord,2000,credit,rural,july,warm,much,have,pine,hold,climatologist,rise,likely,fungus,call,take,produce,fruit,conventional,try,colder,well,mean,snap,protect,field,technology,without
,18,12,10,10,9,8,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 12, 2011 Monday",5 of 81 DOCUMENTS,The Tampa Tribune (Florida),Bay area polluters to report gas data,"KEVIN WIATROWSKI, The Tampa Tribune",METRO; Pg. 1,,999 words,,,"September 14, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,greenhouse,emission,EPA,company,polluter,gas,registry,progress,energy,power,plant,report,carbon,reduce,program,greenhouse_gas,cap_and_trade,ton,business,region,data,track,footprint,release,last,federal,official,pollution,set,change,measure,bring,source,run,dioxide,help,rule,car,city,Florida,Grant,end,tampa,largest,produce,past,collect,way,toward,future,limit,climate,policy,may,large,operation,co.,florida,big,recent,remain,exchange,create,spokeswoman,information,2009,emit,already,goal,nuclear,start,similar,pollutant,proposal,credit,tampatrib.com,photo,Tampa_Tribune,Tampa_Bay,heat_trapping,Tampa_Electric,Climate_Registry,Milbourn,Tampa,Obama,must,give,number,kevin,wiatrowski,tell,many,2010,spend,range,pig,farmer,deadline,sept
,14,10,10,9,7,7,7,7,7,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 19, 2011 Saturday",6 of 81 DOCUMENTS,The Tampa Tribune (Florida),Scott displays a crush on Texas,"WILLIAM MARCH, The Tampa Tribune",METRO; Pg. 1,,1383 words,,,"February 28, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,Florida,business,Texas,state,Scott,tax,rank,rate,climate,make,2010,job,nation,better,cut,much,recession,economic,budget,percent,corporate,category,Perry,regulation,speech,accord,include,lower,unemployment,meanwhile,2008,already,governor,place,economy,perry,reputation,cost,foreclosure,call,slash,study,population,fourth,income,level,concern,six,however,regulatory,decision,freedom,office,business_friendly,Forbes,Center,show,go,work,do,best,last,building,lunch,revive,fact,inauguration,competition,premier,relocation,average,2012,example,problem,deficit,spend,percentage,2011,less,worse,million,fifth,seventh,back,among,oil,hit,ranking,look,force,overall,drop,change,growth,burden,move,policy,proposal,news
,27,22,21,18,15,13,8,8,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 12, 2011 Wednesday",8 of 81 DOCUMENTS,The Tampa Tribune (Florida),"Florida job prospects look good, study says","MICHAEL SASSO, The Tampa Tribune",BUSINESS; Pg. 8,,708 words,,,"January 19, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,job,Florida,state,percent,rate,firm,IHS_Global_Insight,add,people,may,economist,2016,growth,predict,Kuykendall,recovery,strong,behind,economics,optimistic,high,fall,country,construction,lose,many,nation,creation,new,suggest,data,relatively,compare,grow,expect,start,employment,rise,industry,recession,cautiously,employ,boom,service,trade,real,much,still,unemployment,allsbrook,note,create,quickly,tampatrib.com,Tampa_Tribune,Regions_Bank,expectation,sasso,tampa,use,lag,soon,among,leader,study,prominent,interpreting,tricky,differ,opinion,regional,chief,less,sure,rank,largely,far,room,slowly,ramp,next,several,slight,1.3,mean,additional,"86,000",statewide,2013,2014,2.65,clip,"200,000",slow,slightly,tell,annual,2.2,place
,19,16,11,7,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 2, 2011 Sunday",10 of 81 DOCUMENTS,Tampa Tribune (Florida),"Bad economy, missteps took toll on Crist",The Associated Press,METRO; Pg. 11,,927 words,,,"January 14, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,crist,Crist,run,point,governor,republican,independent,office,time,GOP,Republican,McCain,longer,national,change,feel,Florida,gov,democrat,work,together,leave,bad,economy,political,candidate,really,help,always,Senate,outgoing,bolt,charlie,fail,singer,people,term,away,potential,climate,support,voter,policy,set,2008,mate,sen,presidential,look,state,win,good,party,property,priority,back,great,appear,primary,begin,nomination,race,grow,spend,nice,guy,require,comfortable,other,try,view,Democratic,Obama,Rubio,tallahassee,linger,memory,pardon,think,recall,persuade,blundered,success,level,tuesday,enjoy,widespread,popularity,much,build,reputation,leader,politically,issue,winner,uncharacteristic,miscalculation,career,reverse
,11,10,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 9, 2011 Sunday",11 of 81 DOCUMENTS,The Tampa Tribune (Florida),Why we must support clean energy in U.S.: our national security,"STEVEN ANDERSON, Special to The Tampa Tribune",VIEWS; Pg. 2,,1050 words,,,"November 17, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,energy,fuel,increase,clean,oil,country,military,support,national,security,troops,U.S.,nation,move,continue,need,every,time,without,must,serve,RET,service,pay,billion,economy,convoy,keep,percent,change,force,world,company,basis,forward,command,fossil,government,do,gas,business,base,uniform,war,think,toward,risk,life,spend,dollar,man,woman,send,americans,soldier,die,plane,electricity,climate,create,threat,mission,new,dependence,run,use,operating,higher,greatly,economic,many,current,failure,solar,work,may,grow,know,make,equipment,way,effectiveness,reduce,efficiency,truly,readiness,lt,gen.,deputy,commander,central,chief,operation,air,Tampa_Tribune,clean_energy,Air_Force,United_States,Army
,15,10,9,8,8,8,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 31, 2011 Wednesday",12 of 81 DOCUMENTS,The Tampa Tribune (Florida),Odd bedfellows,"CHRISTIAN M. WADE, The Tampa Tribune",METRO; Pg. 1,,969 words,,,"September 1, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,city,emission,Tampa,gas,ton,greenhouse,2009,carbon,study,percent,level,tampa,reduce,government,communitywide,million,use,energy,accord,estimate,transportation,emit,facility,photo,tribune,climate,electricity,report,produce,inventory,measure,nearly,building,talk,state,account,fewer,join,high,emitter,footprint,twice,take,analysis,dioxide,methane,include,treatment,solid,waste,community,whole,municipal,metric,fuel,director,amount,go,development,benchmark,make,people,2025,increase,conservation,program,traffic,recycl,expand,require,federal,grant,private,money,conduct,higher,population,recent,comparison,tampatrib.com,Baltimore,Tampa_Tribune,McKay_Bay,Waste_to_Energy,city_owned,Wells,rank,much,larger,wade,rival,size,expect,bigger,unless,action,recently,complete,nitrous
,20,18,12,10,8,7,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 10, 2011 Thursday",13 of 81 DOCUMENTS,The Tampa Tribune (Florida),"So far, La Niña is all wet","NEIL JOHNSON, The Tampa Tribune",METRO; Pg. 9,,378 words,,,"February 15, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,la,niña,temperature,warm,dry,winter,change,normal,water,december,january,weather,area,high,low,pressure,forecast,forecaster,expect,cool,late,atmosphere,across,become,record,rainfall,state,rain,go,prediction,degree,storm,frigid,air,call,bring,tampatrib.com,Tampa_Tribune,Pacific_Ocean,Pacific,Florida,Tampa,chillingly,base,neil,johnson,tampa,suppose,least,begin,rapidly,last,form,far,though,neither,equatorial,summer,reach,continent,alter,cooler,usually,typically,warmer,drier,coldest,start,1890,fifth,highest,opposite,climatologist,sure,higher,less,current,strongest,gangbuster,june,july,possibly,fastest,drop,scientist,climate,average,53.2,10.1,6.3,inch,kinch,trump,effect,meteorologist,shift,northern,latitudes,open
,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 11, 2011 Tuesday",14 of 81 DOCUMENTS,The Tampa Tribune (Florida),Attacks made in social context,"WILLIAM MARCH, The Tampa Tribune",METRO; Pg. 6,,659 words,,,"January 17, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,political,rhetoric,contribute,castor,try,violence,crazy,climate,shoot,tone,motivation,go,part,U.S.,crowd,meeting,behavior,aftermath,occur,motive,overheated,may,university,study,call,function,usually,context,find,cause,people,media,leave,gain,horrible,change,news,tampatrib.com,Tampa_Tribune,Democratic,Borum,expert,march,2009,angry,tea,party,shout,rep.,kathy,talk,health,care,reform,town,hall,scuffling,break,security,guard,attendee,push,room,fear,safety,shocked,weekend,congresswoman,saidu.s,need,shooting,acknowledge,allege,assailant,rep,gabrielle,gifford,mentally,ill,young,man,virtually,nothing,know,can,take,person,charge,atmosphere,across,country,prevent,happen,have,blogosphere,airwave,reverberate,accusation,outrage
,14,10,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 18, 2011 Monday",15 of 81 DOCUMENTS,The Tampa Tribune (Florida),Time to change how we view 'nuclear power',"STUART FARRIMOND, Special To The Tampa Tribune",METRO; Pg. 13,,1044 words,,,"July 19, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,thorium,power,reactor,nuclear,energy,technology,Sorenson,need,electricity,future,change,Kutsch,nation,new,alternative,clean,mean,we,without,abundant,USA,farrimond,world,air,kerosene,light,age,something,week,ago,promise,way,many,answer,solution,can,expert,engineer,potential,offer,company,fukushima,atomic,safety,lead,waste,conventional,radioactive,tell,insist,know,dr,may,source,leave,serious,science,photo,plant,Tampa,West,liquid_fluoride,Europe,special,tribune,increasingly,sit,enjoy,breakfast,condition,home,crippled,outage,rapidly,develop,blight,night,family,huddle,around,burner,heat,however,immune,peril,shortage,oil,supplies,dwindle,grid,buckle,insatiable,appetite,conditioning,compute,entertainment,d.c.,recently,wave
,22,13,12,11,10,7,7,6,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 21, 2011 Friday",16 of 81 DOCUMENTS,The Tampa Tribune (Florida),Why we should worry about Arctic ice,"STEFAN RAHMSTORF, Special to The Tampa Tribune",METRO; Pg. 15,,739 words,,,"November 17, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,ice,Arctic,cover,warming,continue,level,rise,sea,satellite,low,decline,already,decade,past,melt,back,record,1980,data,we,accelerate,rate,indeed,thinner,area,volume,almost,loss,affect,global,Arctic_Ocean,sea_ice,silent,drama,far,news,rapid,polar,september,2007,begin,climate,wind,condition,without,steady,reason,fear,include,melting,happen,show,2011,constant,pace,thus,solar,lose,giant,amplify,century,centimeter,per,sign,Greenland_Ice_Sheet,rahmstorf,special,unnoticed,unfolding,week,consequence,outstrip,international,debt,crisis,demise,dictatorship,story,command,media,attention,accurately,tragedy,play,disappearance,cap,define,feature,way,4.4,million,square,kilometer,smallest,observation,ago,percent,less,1970
,18,8,7,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 5, 2011 Wednesday",17 of 81 DOCUMENTS,The Tampa Tribune (Florida),From Scott's speech,,METRO; Pg. 4,,513 words,,,"January 17, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,Florida,we,job,regulation,make,state,let,government,business,world,every,change,`,today,go,plan,without,provide,child,creation,mission,approach,take,private,miss,create,chance,success,three,force,grow,weed,creator,work,floridian,easy,service,maker,gather,talk,future,assess,define,giant,oak,tree,surround,acorn,unemployed,life,paycheck,desperate,daily,scramble,basic,have,home,personal,memory,fortify,commitment,face,deep,recession,answer,expand,role,administration,choose,wrong,prosperity,sector,determination,favorable,climate,offer,best,financial,markedly,reduce,taxation,litigation,together,form,the,axis,unemployment,leave,uncheck,choke,productive,activity,sure,benefit,outweigh,cost,unless,prune,conduct
,6,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2011 Friday",18 of 81 DOCUMENTS,The Tampa Tribune (Florida),Nature takes central role in film festival,"BILL PRESCOTT, The Tampa Tribune",FRIDAY EXTRA; Pg. 23,,592 words,,,"February 28, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,film,movie,festival,Griggs,life,people,hawk,environmental,cool,show,sasquatch,decide,bug,love,try,tonight,free,open,public,look,make,thing,problem,audience,fest,feature,engage,change,discussion,time,question,recall,past,bag,legend,short,tampatrib.com,2011,p.m.,photo,Fifth_Avenue,Eckerd_College,St._Petersburg,Eckerd,Pale_Male,New_York_City,prescott,age,retire,countryside,friend,contemplate,country,hate,collect,pet,new,yorker,nearly,riot,owner,posh,building,remove,nest,ledge,intrigue,scenario,start,next,eight,include,13th,annual,vision,event,ticket,need,mind,handy,differently,organizer,associate,professor,avoid,preachy,bore,many,help,understand,however,describe,leave,sense,helplessness,situation,lineup,though,approach
,17,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 24, 2011 Sunday",20 of 81 DOCUMENTS,The Tampa Tribune (Florida),Mother Earth finds friends at USF fest,"KEVIN WIATROWSKI, The Tampa Tribune",METRO; Pg. 3,,365 words,,,"April 25, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,photo,Earth,saturday,celebration,along,teach,change,sell,health,product,everyone,make,step,tampatrib.com,honey,bee,Tampa_Tribune,University,South_Florida,Kristen_Riley,Tampa,college,botanical,garden,apt,set,kevin,wiatrowski,tampa,parking,lot,organic,produce,sale,inside,draw,varied,crowd,festival,hold,beneath,canopy,list,participant,range,government,agency,beekeeper,bluegrass,musician,bring,son,try,importance,live,gently,touch,recycle,different,symbol,mean,officially,april,begin,ago,urging,sen,gaylord,nelson,go,shock,river,cuyahoga,catch,fire,thanks,level,pollution,carry,early,1970,become,period,governmental,nongovernmental,action,environment,include,adoption,act,decade,later,global,climate,loom,threat,potential,shortage,clean
,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 1, 2011 Thursday",22 of 81 DOCUMENTS,The Tampa Tribune (Florida),Hiring incentives tweaked,"MIKE SALINERO, The Tampa Tribune",METRO; Pg. 4,,457 words,,,"September 7, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,county,commissioner,area,wage,change,job,incentive,lower,average,company,business,tax,presentation,pay,150,match,attempt,growth,local,back,economic,metropolitan,n.c.,program,percent,require,per,new,state,exemption,approve,instead,commission,meeting,make,efficiency,study,attorney,savings,tampatrib.com,Tampa_Tribune,Tampa,Gordian_Knot,rule,spur,salinero,tampa,jolt,stagnant,economy,life,enhance,development,wednesday,unanimously,pass,watch,show,lag,far,behind,charlotte,experience,loss,nation,whole,administrator,bonnie,wise,among,qualify,premier,bonus,115,"46,833",minimum,capital,investment,"36,000","10,000",create,meet,threshold,300,locate,unincorporated,set,shop,municipality,option,payment,refund,money,modify,level,employer,previously,metro,accelerate
,7,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 2, 2011 Saturday",24 of 81 DOCUMENTS,The Tampa Tribune (Florida),Too cool about warming,"MARTY ESSEN, Special to The Tampa Tribune",METRO; Pg. 17,,652 words,,,"July 6, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,global,warming,scientist,government,much,show,student,college,lake,controversy,save,war,speaker,rare,tell,audience,scientific,real,political,percent,climate,research,chancellor,time,issue,challenge,although,use,light,effort,energy,protect,panel,think,talk,co,1970,predict,cool,rise,life,protest,failure,book,Tampa_Tribune,human_induced,essen,special,professional,have,spend,past,four,perform,across,country,subject,interesting,wildlife,seven,continent,address,effect,photo,glacier,large,foot,ago,despite,overwhelming,evidence,cause,human,amaze,still,fact,actual,agreement,recent,major,campus,university,approach,stage,appreciate,thank,mention,make,statement,expect,least,heckle,countless,reply,probably,never,today,different,passionately
,10,10,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 4, 2011 Sunday",25 of 81 DOCUMENTS,The Tampa Tribune (Florida),"Natural gas could fuel economy, drive energy independence",BILL BUNTING,VIEWS & NEWS; Pg. 3,,662 words,,,"September 8, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
,gas,natural,vehicle,Tampa_Bay,area,effort,oil,americans,state,talk,make,county,rate,change,we,barrel,reduce,help,work,along,keep,shift,money,people,foreign,economy,cost,gallon,pump,available,put,income,tax,contact,representative,step,life,manufacturer,produce,2011,coordinate,job,Pasco_County,America,Washington,bunt,national,unemployment,9.1,percent,much,higher,something,guest,appearance,florida,week,wedu,comment,part,solution,generate,lot,interest,thought,every,time,fill,tank,send,country,case,hate,dependent,strengthen,150,later,3.50,abundant,resource,slightly,less,switch,dependence,back,instead,bolster,provide,turn,dollar,social,security,system,solvent,greenhouse,environment,choice,together,process
,13,10,7,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 27, 2011 Tuesday",27 of 81 DOCUMENTS,The Tampa Tribune (Florida),YOUR VIEWS,,METRO; Pg. 10,,500 words,,,"September 29, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 Times Publishing Company                               All Rights Reserved
