PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"March 7, 2012 Wednesday",2 of 63 DOCUMENTS,The Tampa Tribune (Florida),Insurance industry no climate-change skeptic,"RICHARD SCHIFFMAN, Special to The Tampa Tribune",VIEWS & NEWS; Pg. 15,,728 words,,,"March 8, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,change,climate,weather,insurance,industry,we,believe,risk,go,stick,fool,head,window,thing,presidential,candidate,know,already,take,winter,tree,have,storm,thousand,tornado,almost,event,last,people,2010,among,scientist,rise,increase,hurricane,assert,trillion,dollar,emission,right,insurer,ahead,afford,whose,Tampa_Tribune,Republican,wake,morning,mom,use,ask,dad,reply,real,might,notice,rest,live,nobody,remember,warm,daffodil,community,garden,block,early,january,cherry,full,bloom,perhaps,spring,rain,fall,freak,october,still,leaf,weight,wet,snow,earlier,five,borough,rake,several,unprecedented,hardly,alone,tornadoe,rip,across,kill,500,flooding,inundate,million,acre,driest
,10,8,7,5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 7, 2012 Wednesday",3 of 63 DOCUMENTS,The Tampa Tribune (Florida),Nation must unite to tackle climate change crisis,"FRANCES BEINECKE, Special To The Tampa Tribune",VIEWS & NEWS; Pg. 19,,765 words,,,"November 8, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,change,climate,must,make,many,energy,power,carbon,plant,people,extreme,new,pollution,home,fuel,family,without,reality,nearly,start,community,way,region,last,week,line,work,heat,use,term,americans,talk,hurricane,drought,elect,weather,need,local,sure,prepare,half,worst,million,state,matter,several,reduce,clean,wind,set,efficiency,standard,limit,take,president,Hurricane_Sandy,Natural_Resources_Defense_Council,NRDC,coal_fired,inch,toward,recovery,long,go,rebound,staff,member,leave,warmer,drier,location,across,generator,bus,food,senior,citizen,strand,apartment,critical,medicine,stuck,access,safer,alternative,expert,discuss,computer,model,scientific,forecast,urgent,life,intensify,weathersuch,job,neighborhood,plan,child
,13,12,10,7,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 25, 2012 Sunday",5 of 63 DOCUMENTS,The Tampa Tribune (Florida),SECTION: VIEWS & NEWS; Pg. 3,,,,784 words,,,"March 26, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,storm,insurance,climate,people,law,change,health,march,building,along,past,human,elderly,surprised,million,ACA,regard,damage,view,editorial,company,concerned,build,rise,near,without,take,give,control,time,whether,refuse,clearly,offer,away,live,cost,thank,heaven,abuse,work,something,put,listen,pass,bill,think,medical,asthmatic,brand,asthma,insure,doctor,care,system,have,really,Earth,America,Medicare,warming,ahead,advise,greatly,exposure,close,water,edge,kid,spite,attempt,tie,concern,fear,seas,always,recognize,sea,fraught,risk,travel,coast,find,overwhelming,majority,immediately,seaside,within,society,ignore,caution,impact,moderate,ocean,level,become,expose,article,repeat
,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 21, 2012 Sunday",6 of 63 DOCUMENTS,The Tampa Tribune (Florida),End silence on climate change,,VIEWS & NEWS; Pg. 3,,214 words,,,"October 22, 2012",ENGLISH,,,,,,Newspaper,Copyright 2012 Times Publishing Company                               All Rights Reserved
,climate,change,young,voter,Florida,demand,debate,people,clean,energy,silence,thousand,action,environmental,Boca_Raton,Obama,final,presidential,schedule,monday,wonder,have,hear,president,gov,romney,new,information,release,threat,rise,economy,community,forecast,billion,dollar,expenditure,mitigate,effect,top,issue,past,week,across,country,take,break,election,season,engage,vote,continue,candidate,address,promote,solution,student,association,deliver,tampa,writer,senior,major,policy,chemistry,copyright,©,2012,may,republish,without,permission,library,tampatrib.com,sea_level,USF,Romney,Shaza_Hussein,University,South_Florida,Tampa_Tribune,E_mail
,6,6,5,4,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
