PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 21, 2013 Monday",1 of 141 DOCUMENTS,The Tampa Tribune (Florida),Cold spell near? Geologist digs deeper on climate change,FRANK WILSON; The Philadelphia Inquirer,NATION & WORLD; Views; Pg. 15,,769 words,,,"October 21, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,period,cold,change,climate,report,global,temperature,well,last,long,Peters,increase,confidence,model,half,thing,trend,data,point,ice,make,much,place,book,call,peter,geologist,note,warm,end,Europe,panel,mean,warming,low,regard,dring,summary,accord,lack,knowledge,really,computer,evidence,planet,little,couple,million,bitter,brief,warmth,interval,begin,yard,quite,Climate,smercornish,column,front,forecast,seem,cloudiness,least,impression,rational,observer,latest,intergovernmental,true,declare,high,reproduce,general,feature,annual,surface,historical,include,second,20th,century,appear,remain,confident,chapter,express,sign,magnitude,and,or,frequency,flood,scale,observe,severe,weather,phenomena,hail,thunderstorm
,8,7,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 18, 2013 Sunday",8 of 141 DOCUMENTS,The Tampa Tribune (Florida),Lawmakers and climate denial,GREG SARGENT; The Washington Post,VIEWS; Pg. 35,,425 words,,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,climate,environmentalist,target,denialism,change,Johnson,long,campaign,ad,group,issue,political,Republican,near,abortion,immigration,real,million,extreme,denier,call,pay,price,attack,action,whatever,media,discussion,organize,official,Climate,LCV,denial,source,frustration,expression,rank,nowhere,politically,toxic,crazy,comment,birth,control,meet,widespread,condemnation,greet,sort,statement,hear,engage,case,point,conservation,voter,invest,money,tv,handful,lawmaker,sen,ron,johnson,invoke,weather,consensus,among,scientist,rip,act,prevent,continue,spew,carbon,pollution,three,gop,congressme,rep,dan,benishek,last,cycle,spend,member,congress,deny,interesting,2016,electoral,politics,aware,unlikely,immediate,indeed,brandish,kind,tea
,7,6,6,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 6, 2013 Friday",10 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Study ties warming, big storms; It caused about half of 2012's wild weather",The Associated Press,NATION & WORLD; NationWorld; Pg. 5,,535 words,WASHINGTON,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,climate,change,event,researcher,U.S.,find,study,likelihood,dring,scientist,connection,British,weather,global,warming,superstorm,summer,heat,office,look,extreme,Sandy,2012,half,include,record,meteorological,computer,simulation,factor,sea,use,flood,attribute,influence,magnitude,greenhouse,gas,author,make,likely,wave,flooding,rainfall,rain,part,hit,time,instance,NOAA,Europe,dozen,wildest,increase,devastating,surge,blistering,wet,last,simply,reflect,random,freakiness,national,oceanic,conclude,report,issue,thursday,conduct,thousand,run,different,various,moisture,air,atmospheric,flow,temperature,level,approach,represent,evolution,field,individual,specific,hurricane,example,recently,nuance,way,measure,second,meteorology,team,previous,unusual,have,new
,8,8,7,7,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 25, 2013 Monday",12 of 141 DOCUMENTS,The Tampa Tribune (Florida),A state of denial,"JERRY KARNAS, Special to The Tampa Tribune",VIEWS & NEWS; Pg. 13,,835 words,,,"March 26, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,oil,climate,Florida,pipeline,energy,Keystone_XL,time,clean,tar,sand,storm,change,keystone,future,fuel,mile,much,country,scientist,burn,sea,predict,rise,state,three,project,lead,president,national,among,fact,100,good,make,young,need,Canada,Obama,build,gallon,dirtiest,earth,we,temperature,drought,wildfire,level,intense,game,world,power,must,interest,across,americans,become,impact,start,bleach,coastal,city,percent,believe,voter,promise,reject,step,myth,safe,people,launch,divestment,campaign,college,gov,sen,fight,Tampa_Tribune,Keystone,State_Department,United_States,million,fossil,send,"1,700",gulf,coast,export,offer,grim,picture,lock,deepen,crisis,already,set,record,epic,melting
,11,9,9,8,8,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
