PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 23, 2014 Tuesday",1 of 352 DOCUMENTS,The Tampa Tribune (Florida),Turn down heat on climate debate,,NATION & WORLD; Views; Pg. 6,,651 words,,,"September 23, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,change,climate,take,scientist,human,point,impact,ocean,Koonin,influence,atmosphere,nation,demonstrator,science,activity,system,century,expect,effect,percent,high,thing,fuel,economic,might,increase,past,heat,mean,decade,record,far,sea,ice,possibility,coastal,threat,emission,evidence,Climate,New_York,ten,thousand,street,around,world,sunday,demand,action,summit,week,organizer,present,petition,2.1,million,signature,harshest,critic,dismiss,hysteria,hoax,activist,concerned,advancing,government,control,protect,environment,wish,side,deep,breath,reflect,article,e.,koonin,appear,last,weekend,undersecretary,president,term,acknowledge,real,alarmist,small,comparison,whole,addition,carbon,dioxide,middle,21st,directly,shift,natural,greenhouse,highly
,11,11,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 28, 2014 Sunday",27 of 352 DOCUMENTS,The Tampa Tribune (Florida),What is,,VIEWS; Pg. 29,,2284 words,,,"September 28, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,reef,global,warming,st,coral,St._John,man,park,beach,time,climate,john,percent,cause,change,never,sea,worse,impact,around,damage,dive,visit,preserve,consider,world,scuba,go,snorkel,fish,vibrant,suggest,range,conservative,need,today,make,footprint,John,trip,island,week,rest,mostly,government,best,snorkeling,hurricane,tourist,many,people,although,ecosystem,protect,turtle,back,decline,unfortunately,look,deteriorate,question,deterioration,temperature,believe,fragile,average,call,real,natural,skeptic,effort,give,something,side,leave,reason,carbon,head,have,skilled,enough,knowledgeable,contribute,diving,master,mass,healthy,water,tomorrow,political,U.S.,Caribbean,Trunk_Bay,Gore,Lionfish,earlier,wife,amy,take
,37,20,20,18,18,16,14,12,12,12,11,10,10,10,9,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2
"August 24, 2014 Sunday",30 of 352 DOCUMENTS,The Tampa Tribune (Florida),Climate professors and Rick Scott's sphinxian agenda,,METRO; Pg. 0,,1652 words,,,"August 24, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,rise,professor,global,sea,level,NOAA,science,change,around,map,governor,inch,pace,Right_Stuff,tom,cough,scientist,dismay,fail,within,atmospheric,energy,model,temperature,evidence,sort,climate,show,project,chart,indicate,0.09,ask,agency,still,rate,well,authority,Climate,Florida,China,India,Scott,jackson,blog,update,throughout,week,tbo.com,finally,audience,gov,reliably,evenhanded,political,site,hail,event,school,ing,chief,executive,report,pupil,acknowledge,compelling,genius,presentation,complicated,marine,chemistry,tell,reporter,ahead,meeting,teach,every,have,hard,yet,1997,measurable,warming,planet,earth,none,former,devote,conced,wholly,unanticipated,pause,despite,grow,concentration,carbon,dioxide,scary,greenhouse
,12,8,8,8,8,8,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 5, 2014 Monday",37 of 352 DOCUMENTS,The Tampa Tribune (Florida),"Just the facts, please - climate change is real",,NATION & WORLD; NationWorld; Pg. 11,,548 words,,,"May 5, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
,climate,fact,change,scientist,last,report,science,rise,world,liberal,bad,thing,although,stuff,cause,though,school,land,level,decade,century,much,many,tornadoe,tornado,country,think,list,worldwide,snake,oil,organization,Earth,Tampa,U.S.,faceoff,column,neither,conservative,leave,right,center,thread,hold,planet,future,together,deny,political,personal,gain,believe,often,happen,consider,catastrophic,global,myth,offer,support,view,mind,sure,real,loud,wrong,history,replete,persever,skepticism,true,might,still,teach,sun,orbit,flat,continent,unmove,mass,mean,measure,way,reasonable,people,can,dispute,warn,atmospheric,carbon,dioxide,almost,twice,fast,20th,nation,frightful,winter,location
,6,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 26, 2014 Wednesday",38 of 352 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; Views; Pg. 10,,,,887 words,,,"February 26, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 Times Publishing Company                               All Rights Reserved
