PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 18, 2015 Sunday",7 of 344 DOCUMENTS,The Tampa Tribune (Florida),Sanders' Keystone amendment heats up progressive wackiness,,METRO; Pg. 0,,745 words,,,"January 18, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 Times Publishing Company                               All Rights Reserved
,climate,republican,change,democrat,vote,Sanders,sander,pass,president,tom,sen,pipeline,bill,massive,church,amendment,go,human,cause,already,although,reduce,meanwhile,abundant,keep,job,headline,caucus,plan,majority,crude,make,prosperity,americans,work,interest,well,result,Keystone_XL,anti_science,Climate_Change,Canadian,U.S.,latest,episode,blog,update,throughout,week,tbo.com,early,114th,congress,remind,nothing,match,hilarity,exhibit,vermont,bernie,technically,devote,leftist,attempt,amend,donation,thing,wackier,conviction,expose,sort,nightmare,choice,lefty,delusion,reveal,ignorance,alienate,fundamentalist,throwback,base,oh,bauble,compilation,leave,dearly,hold,fantasy,include,activity,devastating,problem,around,world,fact,possibly,contribute,amount,contribution
,8,6,6,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 2015 Sunday",22 of 344 DOCUMENTS,The Tampa Tribune (Florida),"Historic pact to slow global warming is celebrated in Paris; Applause erupts, some weep, after agreement is gaveled","KARL RITTER, SETH BORENSTEIN and SYLVIE CORBET; The Associated Press",NATION & WORLD; NationWorld; Pg. 5,,803 words,"LE BOURGET, France",,"December 13, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 Times Publishing Company                               All Rights Reserved
,country,change,global,agreement,degree,climate,gas,emission,nation,pact,greenhouse,rise,cut,pledge,goal,people,fight,world,2100,poor,sea,level,planet,hand,limit,achieve,less,deal,warming,enough,accord,Paris,pollution,keep,temperature,celsius,fahrenheit,conference,minister,victory,secretary,add,happen,today,have,possible,emit,human,absorb,mean,energy,make,need,least,represent,join,wealthy,time,1.5,already,agree,go,start,support,include,envoy,submit,hold,U.N.,pre_industrial,Celsius,Nicaragua,nearly,200,adopt,saturday,call,collectively,eliminate,impose,sanction,aim,another,1.8,key,demand,ravage,effect,loud,applause,erupt,hall,foreign,laurent,fabius,gavel,delegate,ge,other
,15,8,7,7,7,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 20, 2015 Tuesday",30 of 344 DOCUMENTS,The Tampa Tribune (Florida),Shutting down the debate about climate change,Hans Von Spakovksy and Hope Steffensen; The Heritage Foundation,NATION & WORLD; Views; Pg. 21,,667 words,,,"October 20, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 Times Publishing Company                               All Rights Reserved
,climate,academics,University,professor,theory,debate,prosecute,RICO,change,law,fact,free,scientific,absolute,truth,Washington,Galileo,global,warming,many,scientist,mafia,believe,amendment,basic,letter,anyone,question,federal,crime,use,racketeer,suppose,g.,robinson,seem,completely,mission,academic,foster,original,new,exchange,idea,development,accept,wisdom,inquisition,never,universe,consensus,know,skeptic,American,Edward,skeptical,respected,expert,mob,boss,accord,ivory,tower,apparently,either,profoundly,ignorant,rights,protect,recently,write,open,president,attorney,general,loretta,lynch,ask,dogma,criminally,knowingly,deceive,people,risk,pass,1970,part,control,act,intend,tool,go,organized,include,dangerous,drug,cartel,operation,individual
,7,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 5, 2015 Saturday",35 of 344 DOCUMENTS,The Tampa Tribune (Florida),Monster cyclone study stars Tampa [JUMP]Scientific paper says 36-foot storm surge is possible; Scientific paper says 36-foot storm surge is possible,KEITH MORELLI Tribune staff,NATION & WORLD; Metro; Pg. 21,,1005 words,,,"September 5, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 Times Publishing Company                               All Rights Reserved
,storm,hurricane,swan,paper,surge,Tampa,change,hit,gray,climate,prediction,x2756,foot,result,event,end,scientist,risk,increase,tampa,area,may,century,last,week,cyclone,base,historical,data,theory,reach,coast,know,decade,model,today,give,region,level,prepare,Australia,Emanuel,grey,predict,three,location,target,possible,write,atmospheric,publish,tropical,history,use,develop,include,rise,large,never,threat,look,happen,talk,likelihood,likely,shallow,water,make,problem,next,bigger,science,conclusion,vulnerable,read,intensity,near,go,global,take,place,part,sea,put,plan,aware,resident,every,warning,Persian_Gulf,Cairns,Florida,Tampa_Bay,climatologist,difficult,among,top,around,globe
,16,13,10,9,9,9,8,7,7,6,6,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
"December 23, 2015 Wednesday",37 of 344 DOCUMENTS,The Tampa Tribune (Florida),Weird U.S. weather pattern turns winter upside-down; New York may be warmer than Los Angeles at Christmas,GENE JOHNSON; The Associated Press,NATION & WORLD; NationWorld; Pg. 7,,454 words,SEATTLE,,"December 23, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 Times Publishing Company                               All Rights Reserved
,weather,forecaster,pattern,el,across,snow,expect,air,nino,holiday,risk,tornadoe,ski,help,northern,temperature,warm,winter,week,warmth,christmas,higher,resort,avalanche,part,east,strong,warming,drive,keep,possible,system,late,drop,foot,mountain,East_Coast,Arctic,partly,link,turn,heavy,travel,bring,much,slope,overwhelmed,reversal,typical,several,degree,mild,condition,golf,course,brisk,business,steep,cost,close,backcountry,skier,confront,many,americans,complain,feel,without,chill,great,season,far,rocky,elevation,cascade,total,opposite,lead,big,county,bask,especially,eve,along,laid,credit,blame,niño,surface,water,near,equator,west,lower,colder,bay,driest,span,record
,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 27, 2015 Friday",45 of 344 DOCUMENTS,The Tampa Tribune (Florida),"Staunch Republican says climate change is real, pitches CO2 tax",,METRO; Pg. 6,,615 words,,,"March 27, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 Times Publishing Company                               All Rights Reserved
,conservative,host,tell,change,word,climate,tax,call,people,think,South_Carolina,Inglis,voter,real,make,problem,x2756,talk,radio,Bob_Inglis,vote,believe,lower,send,give,oppose,back,heresy,science,approach,issue,emission,destroy,message,anyone,opposite,show,realize,manager,political,Tampa,column,former,congressman,office,among,thing,round,today,include,stop,republican,preach,gospel,gun,rights,less,government,spend,representative,district,approval,rating,100,everything,president,propose,though,refuse,obama,socialist,folk,home,love,anyway,committed,consequence,2010,primary,runoff,good,state,4th,otherwise,percent,six,hooey,figment,imagination,know,let,something,it.inglis,thursday,speak,case,executive,director,favor
,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 8, 2015 Friday",46 of 344 DOCUMENTS,The Tampa Tribune (Florida),City targeting greenhouse gases [JUMP]Department leaders to look for ways to reduce carbon footprint; Department leaders to look for ways to reduce carbon footprint,CHRISTOPHER O'DONNELL Tribune staff,METRO; Pg. 0,,560 words,,,"May 8, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 Times Publishing Company                               All Rights Reserved
,city,change,use,gas,Tampa,emission,plan,climate,reduce,carbon,greenhouse,work,group,term,policy,state,practice,percent,less,rating,may,footprint,mayor,buckhorn,look,issue,effort,department,leader,transportation,wastewater,step,identify,way,substantial,investment,development,fleet,among,take,lower,truck,environmentally,friendly,roughly,snell,regulation,government,lead,report,mindful,serious,assemble,committe,lowerign,still,politically,contentious,stop,push,ahead,cite,scientist,factor,global,warming,form,brainstorm,idea,operation,trash,pickup,improve,describe,much,produce,support,human,activity,quick,easy,operate,require,director,tampa,fire,rescue,management,park,recreation,stormwater,part,procedure,implement,break,bank,federal,grant,fund
,12,7,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 17, 2015 Saturday",57 of 344 DOCUMENTS,The Tampa Tribune (Florida),"The heat is way on; NOAA, NASA say 2014 was hottest year on record",SETH BORENSTEIN; The Associated Press,NATION & WORLD; NationWorld; Pg. 22,,381 words,WASHINGTON,,"January 17, 2015",ENGLISH,,,,,,Newspaper,Copyright 2015 Times Publishing Company                               All Rights Reserved
,record,2014,hottest,NOAA,set,time,average,degree,last,break,globe,mark,scientist,world,temperature,climate,part,Earth,warm,calculate,fahrenheit,cold,december,heat,claim,warmth,eastern,statistician,NASA,University,United_States,earth,3rd,third,decade,serve,federal,announce,friday,135,earlier,weather,agency,independent,group,measure,58.,1.24,slightly,differently,put,58.42,1.22,1951,1980,2010,2005,annual,1911,six,monthly,1916,warmer,100,likely,least,"5,000",either,research,team,wisp,doubt,human,activity,fault,go,wind,texas,university,expert,latest,statistic,end,nonscientist,warming,stop,change,denial,site,still,tout,drive,ocean,old,shattered,spread,across,far,western
,10,7,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
