PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 22, 2016 Friday",1 of 94 DOCUMENTS,The Tampa Tribune (Florida),"A look at our frightened, fragmented world in one map",Mark Gilbert; Bloomberg View,NATION & WORLD; Views; Pg. 13,,540 words,,,"January 22, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,world,risk,threat,worry,survey,global,top,failure,climate,change,WEF,terrorism,though,regional,accord,economic,way,environmental,likely,crisis,involuntary,migration,dominate,weather,refuge,threaten,result,mitigation,give,good,temperature,large_scale,state,plenty,anxious,moment,pandemic,disturbing,splinter,basis,11th,edition,annual,report,produce,forum,deem,troubling,hope,leader,eliminate,almost,750,expert,draw,business,academia,civil,society,public,sector,rank,respondent,ask,view,likelihood,impact,divide,five,category,societal,technological,geopolitical,seem,geographically,disperse,arguably,reflect,truism,politics,local,americans,hack,recent,company,include,extramarital,affair,website,put,cyber,attack,anxiety,menu,peril,endure,kleptocracy,corruption,make
,6,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 2, 2016 Monday",3 of 94 DOCUMENTS,The Tampa Tribune (Florida),"Desalination plant keeps an eye on rising seas [JUMP]Multiyear study looks at rainfall, dangers of climate change; Multiyear study looks at rainfall, dangers of climate change",KEITH MORELLI Tribune staff,NATION & WORLD; NationWorld; Pg. 1,,933 words,,,"May 2, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,plant,water,change,rise,desalination,rainfall,Adams,climate,pattern,may,source,million,gallon,process,time,Tampa_Bay_Water,seas,next,run,beginning,crank,dry,saltwater,provide,sea,level,couple,decade,agency,push,expensive,week,produce,rain,Florida,call,determine,potential,potable,region,end,freshwater,key,resident,become,threat,right,inch,infrastructure,take,aquifer,reservoir,four,abundant,season,turn,past,probably,production,impact,lot,wet,winter,projection,watch,need,Tampa_Bay,sea_level,Tampa,check,desal,chat,longterm,future,include,upon,backdrop,foot,higher,owner,embark,multiyear,study,avoid,swamp,people,drink,begin,amid,controversy,construction,design,cost,overrun,currently,supplement,157,wholesale,dealer
,18,17,10,9,8,8,8,6,6,6,6,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 6, 2016 Sunday",5 of 94 DOCUMENTS,The Tampa Tribune (Florida),Where do they stand on the issues?,,NATION & WORLD; Metro; Pg. 16,,2399 words,,,"March 6, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,diam,health,scale,care,U.S.,view,job,conservative,rate,tax,former,energy,economy,know,immigrant,expand,drilling,change,believe,reform,go,border,create,climate,work,Obamacare,repeal,must,people,fight,state,family,immigration,Affordable_Care_Act,accord,insidegov.com,new,pass,illegal,military,help,growth,support,build,citizenship,America,Congress,environment,oil,oppose,minimum,wage,president,make,replace,win,have,favor,wall,country,nation,without,liberal,way,celebrity,offshore,business,gas,cost,policy,provide,world,American,Mexico,deport,million,keep,refuge,foreign,certain,area,lead,clean,regulation,resource,development,percent,plan,insurance,affordable,security,worker,law,force,ally,rep.,governor,raise,call
,47,21,16,16,16,15,15,13,12,12,10,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"March 18, 2016 Friday",6 of 94 DOCUMENTS,The Tampa Tribune (Florida),Global warming causes some extreme weather; Degree of certainty varies with different events,SETH BORENSTEIN; The Associated Press,NATION & WORLD; NationWorld; Pg. 32,,439 words,WASHINGTON,,"March 18, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,climate,report,global,warming,event,extreme,weather,heat,change,study,find,fingerprint,wave,professor,confidence,science,certain,accord,scientist,whether,weird,attribute,complex,academy,drought,rain,severe,meteorology,human,connection,dring,man_made,Titley,progress,much,expert,accurately,detect,scientific,advisory,panel,for,give,almost,rote,response,question,instance,insist,can,single,advanced,point,longer,true,unqualified,blanket,statement,engineering,start,2004,dozen,odd,mean,goos,new,field,scientifically,valid,recently,release,private,nonprofit,advise,government,issue,president,lincoln,when,heavy,likely,chairman,matter,plan,live,retire,navy,admiral,make,real,fact,attributable,blame,degree,certainty,class,type,university,high
,7,7,6,6,6,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
