PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"December 12, 1997, Friday",1 of 10 DOCUMENTS,The New York Post,"SOME LIKE IT HOT ; A ""CRISIS' LIKE GLOBAL WARMING IS A GREAT EXCUSE TO MEDDLE",George F. Will,All Editions; Pg. 037,,866 words,,,"January 16, 1998",ENGLISH,,,,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,warming,global,racial,government,attitude,mean,presumably,regard,tell,Gore,cause,another,therapeutic,however,give,americans,ice,age,planet,participant,subject,America,Kennedy,production,gas,allegedly,worst,offender,especially,exemplary,society,know,hypothese,justify,ask,abstraction,people,flooding,climate,conjecture,ago,real,thing,policy,earth,cool,begin,armadillo,new,hypothesis,dysfunctional,need,president,race,proponent,proof,refuse,candid,delicate,unless,difficulty,fact,ambassador,restaurant,can,Bangladesh,New_York_Times,Clinton,al,gorehe,best,with,ield,freeze,postulate,crise,fresh,burst,interested,scientific,reply,n.d.,move,home,think,change,clearly,unverifiable,convenient,aim,extend,reach,deeper,life,tim,wirth,currently,undersecretary,state
,8,7,7,7,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 17, 1997, Wednesday",2 of 10 DOCUMENTS,The New York Post,NEW PROGRAM CZAR IS GETTING HIS MTV,JON ELSEN,All Editions; Pg. 033,,389 words,,,"January 16, 1998",ENGLISH,,,,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,MTV,Graden,change,programming,network,executive,charge,music,Viacom,Madonna,let,try,turn,announce,ago,focus,event,release,make,president,next,news,viewer,producer,reflect,brian,new,czar,cable,own,join,four,program,tell,chief,objective,part,time,major,world,album,huge,give,title,vice,weekend,example,might,carry,detailed,story,history,interview,singer,clip,movie,every,element,work,together,explain,bombard,instead,issue,thing,happen,week,extraordinary,otherwise,struggle,weight,beleaguer,blockbuster,video,unit,effort,taste,audience,decide,overhaul,much,management,last,expect,big,already,cancelling,several,popular,show,include,beavis,single,move,away,grunge,upbeat,selection,consider
,7,7,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 12, 1997, Friday",3 of 10 DOCUMENTS,The New York Post,KYOTO'S CYNICAL CHARADE,,All Editions; Pg. 036,,470 words,,,"January 16, 1998",ENGLISH,,,,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,percent,lie,Kyoto,world,know,5.2,leader,cut,level,number,happen,nation,cost,per,New_York,future,greenhouse,1990,effect,emission,without,unless,good,big,economic,state,total,president,news,across,planet,decide,require,huge,gas,lower,generate,whence,magic,globe,threaten,5.4,5.8,peculiar,reveal,disingenuousness,conduct,environmental,summit,invent,suppose,environment,economy,accurate,government,predict,go,friend,better,whatever,document,sign,halting,growth,develop,cause,depression,mean,unforeseeable,major,technological,advance,brave,constituent,environmentalist,actually,believe,calamity,hand,action,take,guilty,yet,agree,anything,save,irresponsibility,evil,prepare,estimate,whole,well,report,find,sharply,higher,tax,regulation,need
,8,6,6,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 21, 1997, Sunday",4 of 10 DOCUMENTS,The New York Post,BUILDER VS. MARTHA & THE VENDETTAS,,All Editions; Pg. 010,,436 words,,,"January 16, 1998",ENGLISH,,,,,,,"Copyright 1997 N.Y.P. Holdings, Inc. All rights reserved."
,Macklowe,Stewart,charge,village,official,allegation,make,building,property,trial,new,macklowe,special,prosecutor,claim,landscaping,suit,latest,share,border,hotel,East_Hampton,estate,mogul,launch,round,ongoing,turf,war,nemesis,conspire,vendetta,lawsuit,file,brick,rain,developer,decorate,diva,duk,controls,sliver,land,separate,swanky,honcho,include,mayor,paul,rickenbach,jr.,take,side,dispute,allege,g.,rodger,breach,lawyer,code,ethic,bias,hostility,part,villager,local,government,extraordinarily,hostile,political,climate,impossible,fair,change,venue,due,court,last,week,time,answer,illegally,authorize,electrical,work,strip,postpone,wake,though,judge,gary,j.,weber,consider,request,blast,untrue,label,smoke
,11,6,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
