PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 11, 1998, Tuesday",1 of 43 DOCUMENTS,The New York Post,SCIENTISTS CAN'T BELIEVE THEIR HIGHS IN HOTTEST MONTH EVER,KATE PERROTTA,News; Pg. 002,,563 words,,,"August 11, 1998",ENGLISH,,,"Every month this year has topped the record, leading scientists to predict that 1998 will be the hottest year ever.",,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,record,temperature,heat,average,degree,lot,hottest,el,nino,last,shift,emission,July,Dallas,world,history,hit,half,higher,previous,economy,thing,precipitation,become,common,climate,predict,trend,lead,scientist,summer,pact,still,warming,less,surprised,U.S.,Quayle,burn,way,book,global,61.7,fahrenheit,fuel,storm,dog,nearly,july,may,sound,expert,wreak,havoc,ecosystem,serious,concern,small,result,large,chief,government,collect,data,place,slightly,warmer,side,model,state,hardest,wave,hover,well,100,straight,120,people,die,cause,keep,dangerous,begin,january,top,1998,surprise,resident,least,city,break,tie,already,vice,president,al,gore,armed,statistic
,7,7,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 14, 1998, Sunday",2 of 43 DOCUMENTS,The New York Post,SPORT UTILITIES: VEHICLES FOR ; THE ACTIVE LIFESTYLE,JOHN A. RUSSELL,AutomotivePlus; Pg. 066,,2415 words,,,"June 14, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,drive,available,four_wheel,sport,engine,automatic,new,power,four_speed,horsepower,transmission,four_door,model,pound,either,utility,luxury,system,standard,trim,four_cylinder,vehicle,style,tow,manual,ute,level,equip,five_speed,passenger,pair,three,compact,feature,two_wheel,market,powerplant,body,include,big,line,interior,control,range,front,team,four,base,gearbox,continue,seat,full,series,se,suv,SOHC,DOHC,Cherokee,Sport,climate,go,size,expect,air,five,produce,exterior,optional,Jeep,Grand_Cherokee,all_wheel,improvement,pace,rug,room,need,road,end,amenity,capability,"5,000",option,suburban,version,maximum,change,"7,000",combine,choice,door,190,overhead,cam,leather,redesign,1998,window,cylinder,grille
,37,29,27,23,23,22,21,21,17,16,15,15,14,13,13,12,11,11,11,11,11,10,10,10,9,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"May 17, 1998, Sunday",3 of 43 DOCUMENTS,The New York Post,"WOULD YOU ANSWER A FEW QUESTIONS, MR. GORE?",GEORGE F. WILL,PostOpinion; Pg. 067,,788 words,,,"May 18, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,abortion,rare,make,child,think,party,people,homeless,family,principle,force,every,presidential,nomination,gore,legal,fetus,moral,stand,superior,important,conviction,wrong,explain,well,support,flooding,global,climate,change,news,give,little,sense,go,convention,administration,part,issue,conversation,really,anything,simply,hunger,household,americans,agenda,tobacco,consider,harmless,take,view,central,organize,repeal,partial_birth,America,Democratic,serve,vice,president,1952,al,soon,depressed,inquisitive,herewith,question,safe,care,v.,wade,adore,unlike,crab,grass,potential,life,easy,defend,appendectomy,unless,appendix,1984,letter,constituent,express,deep,personal,vote,amend,define,protection,person,include,unborn,moment,conception,evolution
,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 11, 1998, Wednesday",4 of 43 DOCUMENTS,The New York Post,SHE'S BACK,,Page Six; Pg. 008,,153 words,,,"November 11, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,take,people,count,world,climate,change,show,learn,next,CNN,Pyle,warming,hot,time,virtual,retirement,talk,weather,forge,latest,series,special,hubby,ted,expert,still,skeptical,"2,000",lead,scientist,real,likely,worse,scene,switch,environmental,editor,captain,planet,cartoon,teach,toddler,peril,corporate,greed,photo,past,disastrous,ancient,rapa,nui,clear,forest,everything,wash,away,rain,population,reach,billion,horror,shuddered,GLOBAL,Jane_Fonda,Ahead,eco_scare,Turner,Fonda,Barbara_Pyle,Easter_Island,Jane
,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 1, 1998, Wednesday",5 of 43 DOCUMENTS,The New York Post,"GORE'S GOALS: LESS GROWTH, MORE DEATH",IRWIN M. STELZER,PostOpinion; Pg. 029,,981 words,,,"April 1, 1998",ENGLISH,,,"A leading environmentalist, fresh from a meeting with the vice president and his staff, told me he has never seen such hatred as the government bureaucrats are expressing towards sports utility vehicles.",,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,car,vehicle,president,environmentalist,sport,utility,produce,small,use,crash,control,likely,nothing,rise,buy,thing,congress,matter,meeting,government,bureaucrat,force,manufacturer,standard,make,turn,light,passenger,driver,death,warming,important,Congress,LTVs,little,go,election,lest,count,increase,several,big,may,team,remain,vice,never,americans,world,run,oil,decide,lighter,family,fuel,minivan,truck,rule,account,ltv,ordinary,nation,heavy,indeed,per,body,later,global,treaty,forget,cause,international,accomplish,know,economic,power,Washington,America,Gore,fashionable,among,political,pundit,declare,consequence,november,congressional,paralyze,serial,sex,scandal,eager,stir,animosity,engendered,activist,revolution,republican,advantage
,13,10,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 22, 1998, Friday",6 of 43 DOCUMENTS,The New York Post,A GORE 2000 PROBLEM?,BEN & DANIEL WATTENBERG,PostOpinion; Pg. 037,,687 words,,,"May 22, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,2000,computer,y2,system,government,federal,administration,century,percent,Gore,horn,memo,repair,progress,estimate,compliance,global,put,information,crisis,man,vice,president,find,problem,point,likely,replace,think,jan,1900,effort,billion,know,worldwide,odd,recession,ready,work,stop,ago,maybe,play,bridge,go,Y2K,Steve_Forbes,March,Koskinen,Horn,Clinton,Forbes,predict,climate,change,video,lonely,planet,internet,digitize,benefit,transfer,superhighway,poring,blueprint,loom,less,state,fiscal,begin,july,1999,lucky,can,track,anywhere,rep.,stephen,try,prod,speed,conversion,technology,al,gore,past,five,ask,gop,presidential,candidate,recent,conservative,leader,chide,silence,cardboard,punch,card
,7,7,6,6,6,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 19, 1998, Saturday",7 of 43 DOCUMENTS,The New York Post,COW STUDY STINKS TO POL'S RIVAL,RITA DELFINER,News; Pg. 014,,428 words,,,"September 19, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,Neumann,cow,methane,cut,find,feingold,gas,campaign,funding,program,animal,Feingold,belch,milk,sen,1993,vote,research,study,produce,begin,ad,week,government,waste,try,emission,ridiculous,declare,landfill,ruminant,source,feed,million,Stolpman,call,cowgate,political,beef,bovine,dominate,race,heart,dairyland,rep.,mark,neumann,russ,favor,hope,voter,incumbent,elect,researcher,digestion,release,atmosphere,burp,key,factor,greenhouse,effect,republican,air,tv,maintain,rival,budget,hawk,instead,soft,fight,tax,increase,feature,make,flatulent,sound,scientist,run,toward,glass,bottle,sample,smell,write,bill,kill,allegation,imply,support,obscure,udderly,manager,retort,amendment,eliminate,prevent,explosion
,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 17, 1998, Monday",8 of 43 DOCUMENTS,The New York Post,CADILLAC'S REDESIGNED SEVILLE IS A HIT,JOHN A. RUSSELL,AutomotivePlus; Pg. 048,,738 words,,,"August 17, 1998",ENGLISH,,,,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
,Cadillac,sts,new,car,system,seville,power,STS,market,drive,transmission,road,steering,seat,player,build,version,percent,every,style,change,feature,machine,fine,touring,include,control,package,excellent,Seville,take,world,big,accomplish,global,hand,last,sale,however,fan,always,1998,predecessor,third,generation,deliver,rpm,controls,ride,handle,variable,optional,wheel,sedan,trim,wood,leather,front,adjust,Japan,Europe,Middle_East,U.S.,MSRP,four_wheel,unveiled,announce,flagship,management,eventually,meet,need,worldwide,international,scene,1941,goal,division,different,slightly,shorter,overseas,release,result,half,increase,compare,183,124,everyone,wrong,idea,type,number,account,"1,397",608,123,company
,9,7,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 2, 1998, Friday",9 of 43 DOCUMENTS,The New York Post,"GO IT ALONE, OR GLOBAL?",BEN WATTENBERG,All Editions; Pg. 027,,839 words,,,"January 16, 1998",ENGLISH,,,NATIONALISTS & INTERNATIONALISTS; AMERICA WILL ALWAYS NEED BOTH,,,,"Copyright 1998 N.Y.P. Holdings, Inc. All rights reserved."
