PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 30, 1999, Thursday",1 of 26 DOCUMENTS,The New York Post,"HE JUST DOESN'T GET IT: THE GORE CAMPAIGN'S PROBLEM ISN'T THE HQ, IT'S THE CANDIDATE",Dick Morris,All Editions; Pg. 037,,635 words,,,"September 30, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,need,Gore,Bradley,Clinton,gore,change,move,al,headquarters,consultant,find,debate,former,well,vice,president,substance,new,vision,staff,another,spend,television,scenery,boss,speech,town,meeting,anything,focus,mechanic,pay,man,idea,enough,campaign,seem,right,senator,likely,willing,problem,cash,lease,cost,America,Nashville,New_Jersey,last,awaken,realize,fight,life,presidential,nomination,unfortunately,choose,style,cope,unexpected,challenge,shrink,city,stop,money,malady,afflict,solve,separate,speak,voice,matter,dull,boring,write,whether,give,important,articulate,goal,priority,far,might,easily,include,next,state,attention,incredibly,insecure,believe,stake,success,failure,ahead,entire,nation,global,warming
,10,9,9,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 28, 1999, Sunday",2 of 26 DOCUMENTS,The New York Post,VERY LONG-RANGE FORECAST: HOT!,DAN KADISON,All Editions; Pg. 024,,250 words,,,"March 29, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,next,weather,time,summer,forecast,temperature,rise,atmosphere,layer,professor,bradley,begin,ozone,predict,sizzling,warm,winter,low,precipitation,"1,000",century,world,degree,greenhouse,effect,expert,believe,create,pollution,act,insulate,likely,many,generation,dramatic,change,geoscience,dr.,raymond,fact,warming,trend,may,already,note,current,decade,millennium,warmest,high,swirl,around,cause,volatile,type,record,break,rainfall,dring,prolong,hot,cold,meteorological,able,spend,beach,reportedly,deplet,last,chlorofluorocarbon,heal,return,level,2050,2060,director,nightly,news,cover,longer,period,chief,meteorologist,2000,consulting,firm,New_York_City,Americans,University,Massachusetts,Amherst,Cornell,Mark_Wysocki,sun_worshipers,now_banned,CFCs,pre_fluorocarbon,Dave_Hofmann,Climate_Monitoring
,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 28, 1999, Sunday",3 of 26 DOCUMENTS,The New York Post,HOW ALBANY CHOKES N.Y.C.,BRIAN C. ANDERSON,All Editions; Pg. 055,,1324 words,,,"March 4, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,school,city,public,tax,teacher,charter,Legislature,bill,Albany,make,business,legislature,union,improve,state,many,pass,reform,sander,Pataki,assembly,democrat,think,salary,though,classroom,voucher,without,dollar,control,back,still,good,give,december,education,student,building,New_York_City,Assembly,New_York,climate,never,legislative,pay,worker,district,mayor,term,power,major,improvement,cost,million,new,yet,approval,half,billion,cut,thing,delegation,labor,interest,represent,municipal,employee,private,benefit,budget,ed,koch,increase,pension,already,go,dispute,warn,hike,version,enough,pull,court,issue,lawmaker,opposition,determine,set,decide,use,take,milieu,certification,teach,place,short,money,D_Manhattan,Regents
,21,19,10,9,9,9,8,7,7,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 22, 1999, Tuesday",4 of 26 DOCUMENTS,The New York Post,BUSH BESTS GORE IN ROUND ONE - THE MAN FROM TEXAS SHOWS A VISION THAT APPEALS TO AMERICA,Dick Morris,All Editions; Pg. 033,,924 words,,,"June 22, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,Gore,need,bush,announcement,Bush,past,vice,president,put,effort,father,gore,campaign,with,speak,passion,compassion,record,ago,hit,statement,vision,program,environment,global,climate,Clinton,heavyweight,replay,fight,refer,sin,son,remember,distance,cut,mark,clear,people,use,tax,sr.,yearn,seven,work,attack,let,take,effect,party,return,make,thing,organization,every,well,charitable,billion,group,rather,decide,issue,environmental,concern,change,subject,map,completely,area,tactical,choose,Bush_II,'like,pugilistyearning,hischampionship,presidentkept,tovisit,2000,election,start,last,week,al,announce,candidacy,w.,begin,result,advantage,sun,vividly,label,compassionate,conservative,recall,clumsy,sexual,escapade,call
,12,8,6,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
