PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 4, 2000, Tuesday",1 of 23 DOCUMENTS,The New York Post,'TEMP'ORARY SPRING ; COLD BACK TONIGHT AFTER HIGHS IN 60S,PAULA DONEMAN,All Editions; Pg. 011,,456 words,,,"January 4, 2000",ENGLISH,,,"IT MIGHT AS WELL BE...A couple enjoys a jog in the spring-like weather as an in-line skater whizzes past at West and Barrow streets in the Village yesterday -- a day that felt more like April than January.Helayne Seidman IN LU OF WINTER:Lulu, an English bulldog, plays a unusual game of catch with her owner, Jay Bernstein, yesterday in Washington Square Park.Helayne Seidman
IT'S WHAT MONTH? Construction worker Fali Arapi (left) enjoys the T-shirt weather.Helayne Seidman",,,,"Copyright 2000 N.Y.P. Holdings, Inc. All rights reserved."
,cold,temperature,front,warm,winter,time,today,weather,back,tonight,end,set,record,high,metropolitan,east,bring,snow,usually,unusual,museum,bit,blame,global,warming,New_Yorkers,Klein,another,terrific,taste,spring,continue,positively,balmy,behavior,expect,reach,late,march,early,april,use,roar,arrival,peak,astounding,degree,normal,p.m.,mercury,inch,past,old,1997,unseasonably,temp,due,settle,area,weekend,meteorologist,big,change,ahead,scatter,shower,fog,possible,thunderstorm,might,accompany,humid,condition,move,sometime,wednesday,morning,seasonal,upper,low,good,news,well,sign,banish,temporarily,son,ancient,playground,84th,street,beautiful,something,life,makeup,artist,enjoy,coffee,sit
,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 22, 2000, Sunday",2 of 23 DOCUMENTS,The New York Post,"PUTTING THE FOOT ON THE GAS: IT'S THE ENVIRONMENT , STUPID!",Dick Morris,All Editions; Pg. 021,,968 words,,,"October 25, 2000",ENGLISH,,,The future of nuclear power and other environmental issues loom large.,,,,"Copyright 2000 N.Y.P. Holdings, Inc. All rights reserved."
,need,issue,point,Gore,Bush,voter,environment,change,ozone,depletion,tax,offer,win,al,way,global,climate,gore,readily,plan,ten,time,energy,everybody,poll,debate,bush,make,turn,candidate,race,believe,warming,future,world,famine,area,go,pose,home,obvious,good,grasp,hybrid,car,emission,campaign,detail,really,think,benefit,cut,hear,behind,environmental,reverse,five,suppose,already,outgunned,financially,man,lose,battle,character,duel,personality,rather,w.,president,agree,clear,important,popular,vote,brung,back,put,top,among,list,concern,indicate,deeply,threaten,intimately,directly,nuclear,weapon,darken,life,parent,original,environmentalist,talk,rash,flood,hurricane,tornadoe
,7,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 13, 2000, Friday",3 of 23 DOCUMENTS,The New York Post,RUDY'S POLLSTER HELPS RICK TALK A GOOD GAME,Robert Hardt Jr. and Gregg Birnbaum,All Editions; Pg. 022,,434 words,,,"October 13, 2000",ENGLISH,,,RICK LAZIO Best advice comes free.,,,,"Copyright 2000 N.Y.P. Holdings, Inc. All rights reserved."
,make,site,instead,week,president,hillary,Luntz,Lazio,Hillary,Diaz_Balart,follow,call,web,include,tax,global,lady,try,agency,husband,last,bakery,New_York,lazio,seem,free,advice,mayor,pollster,magazine,article,detail,work,word,lab,teach,pol,language,employ,several,key,phrase,campaign,trail,notably,school,voucher,opportunity,scholarship,term,use,relief,cut,climate,change,warming,echo,central,attack,voter,can,name,single,thing,do,people,read,mail,cold,shoulder,information,act,formal,request,official,correspondence,government,take,credit,success,administration,think,might,interesting,put,write,associate,counsel,inform,we,immediate,personal,staff,unit,consider,cover,law,parade,unschedule
,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 2, 2000, Sunday",4 of 23 DOCUMENTS,The New York Post,"NO MORE PLAYING KETCHUP : AFTER HEINZ, TONY O'REILLY'S STRATEGY LOOKS CRYSTAL CLEAR",Evelyn Nussenbaum,All Editions; Pg. 058,,1101 words,,,"July 3, 2000",ENGLISH,,,FILLING HIS PLATE: Tony O'Reilly is on the prowl for acquisitions for Waterford Wedgwood.Ismael Roldan,,,,"Copyright 2000 N.Y.P. Holdings, Inc. All rights reserved."
