PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 12, 2001, Tuesday",1 of 48 DOCUMENTS,The New York Post,"THAT'S A DEPARTURE FOR BUSH ; OKS POLLUTION STUDY, THEN FLIES TO EUROPE",VINCENT MORRIS Post Correspondent,All Editions; Pg. 028,,399 words,,,"June 12, 2001",ENGLISH,,,"WARM GREETINGS: President Bush stresses his commitment to reducing global warming yesterday before catching a flight to Madrid, Spain. AP",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Bush,president,pollution,global,reduce,European,warming,catch,flight,tour,promise,treaty,country,world,nation,urge,percent,require,issue,missile,defense,face,Spain,U.S.,United_States,offer,limited,support,fight,bid,blunt,criticism,european,have,accuse,zilch,hour,study,invest,research,new,technology,scientist,charge,cause,atmosphere,heat,recognize,responsibility,emission,set,mandatory,level,reduction,crimp,economy,emit,greenhouse,gas,americans,take,bolder,step,push,follow,lead,cut,2012,politician,leery,go,road,without,curb,united,front,confront,climate,change,cite,clear,link,pollutant,increase,surface,temperature,challenge,100,effort,rest,afternoon,overnight,stop,trip,overseas,saturday,predict,leader,find
,9,6,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 15, 2001, Thursday",2 of 48 DOCUMENTS,The New York Post,ECONOMY IN THE BALANCE,,All Editions; Pg. 028,,479 words,,,"March 15, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Bush,plant,emission,power,New_York,climate,change,cost,benefit,clear,dioxide,market,cap,time,study,weigh,make,week,real,need,many,work,business,run,electricity,carbon,new,reckless,costly,price,higher,level,economy,report,energy,point,state,Harvard_Business_School,America,CO2,ISO,president,seem,pay,position,case,properly,global,trend,equally,enforce,law,regard,onerous,promise,reduce,sulfur,nitrogen,oxide,mercury,classified,pollutant,keep,light,home,warm,happen,must,sufficient,produce,include,emit,lawmaker,chemical,hamstringing,limit,curb,impose,burden,send,electric,soar,bear,brunt,unstable,financial,slow,sale,production,spotlight,danger,december,administration,document,lead,teeter,blow,fatal,talk
,8,7,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 12, 2001, Tuesday",3 of 48 DOCUMENTS,The New York Post,THE POLITICS OF WARMING',,All Editions; Pg. 050,,453 words,,,"June 12, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,change,climate,study,report,warming,emission,country,plan,problem,Bush,United_States,president,reject,media,suggest,need,work,future,uncertainty,state,percent,anything,anyway,energy,renewable,source,NAS,Kyoto_Protocol,tell,environmental,lose,bravo,leave,tour,sky,fall,assertion,radical,environmentalist,comment,recent,typically,poor,national,survey,settle,everything,global,create,adopt,nothing,truth,fact,monday,scientist,dispute,stress,enough,write,position,confidently,attribute,past,carbon,dioxide,forecast,reason,always,norm,give,involve,matter,risk,economic,note,rest,world,emit,greenhouse,gas,many,develop,larger,top,emitter,exempt,inequity,put,competitive,disadvantage,senate,four,ago,vote,debate,whether,take,place,cause
,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 15, 2001, Thursday",4 of 48 DOCUMENTS,The New York Post,HEAT'S ON CHRISTIE IN GLOBAL-WARM SPLIT WITH W.,Marilyn Rauber in Washington and Fredric U. Dicker in Albany,All Editions; Pg. 002,,359 words,,,"March 15, 2001",ENGLISH,,,CHRISTIE WHITMAN - Keeping low profile.,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Bush,decision,deny,energy,White_House,bush,global,warming,carbon,dioxide,gas,campaign,problem,support,recent,week,abandon,epa,cabinet,source,lobbyist,go,country,reality,flip_flop,Whitman,CO2,boss,laid,low,diss,president,governor,hole,office,decline,comment,announce,oppose,regulate,emission,greenhouse,contribute,vow,trail,crack,embarrassment,crackdown,talk,new,chief,make,consultation,insist,spokesman,bombard,utility,industry,take,surprise,although,inform,public,solicitous,know,necessarily,add,consult,every,stage,trip,n.j.,renege,pledge,woe,cave,respond,nation,real,tell,reporter,deal,crisis,common,sense,way,force,greater,reliance,costlier,natural,discouraging,coal,plant,generate,democrat,quick,bash,accuse
,11,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 8, 2001, Sunday",5 of 48 DOCUMENTS,The New York Post,ENVIRONMENTAL LEADERSHIP TRUST SEEING GREEN,Beth Piskora,All Editions; Pg. 058,,631 words,,,"April 13, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,environmental,company,cost,portfolio,reduce,fund,Environmental_Leadership_Trust,trust,manager,mean,energy,Halliburton,invest,prevention,peer,2000,industry,stock,time,success,Naimon,Enron,unit,program,better,bottom,line,shareholder,show,outperform,believe,investor,green,socially,responsible,mutual,oct,1999,inception,10.92,percent,material,waste,holding,service,many,share,climate,change,spill,compliance,firm,buy,traditionally,leave,investment,think,polluter,case,unique,successful,pollution,philosophy,real,founder,president,overall,deliver,continue,proprietary,research,faster,find,thus,reinforce,emphasis,manage,follow,unconventional,approach,fare,quite,well,difficult,end,generate,return,7.42,500,lowest,exposure,distinct,competitive,advantage,order,make,issue,must,pass
