PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 9, 2002, Sunday",1 of 34 DOCUMENTS,The New York Post,THE EPA'S HOT AIR,,All Editions; Pg. 024,,462 words,,,"June 13, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,change,report,human,activity,much,EPA,last,cause,president,gas,climate,world,America,global,warming,greenhouse,put,bureaucracy,science,due,administration,know,create,temperature,take,answer,truly,economy,affect,Kyoto,monday,notify,accept,notion,real,next,stop,happily,appear,bush,quickly,dismiss,protocol,mean,reduce,industrial,use,blueprint,economic,catastrophe,doubt,quick,characterize,notification,though,technically,face,fierce,criticism,otherwise,ally,call,with,ouch,however,flap,seem,misinterpretation,accord,describe,serious,issue,seek,opinion,undecided,problem,blame,state,observe,several,decade,likely,mostly,rule,significant,part,reflection,natural,variability,word,course,concern,might,go,wobbly,understandable,barely,week,ago
,6,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 15, 2002, Friday",2 of 34 DOCUMENTS,The New York Post,INSIDE THE LIBS' WIN,JOHN PODHORETZ,All Editions; Pg. 031,,674 words,,,"February 16, 2002",ENGLISH,,,Shays: Won thanks to foes' indifference.,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,reform,believe,liberal,idea,conservative,thing,campaign_finance,matter,money,week,really,care,due,rich,corporation,topic,conversation,large,learn,new,regulation,political,speech,ever,ideological,divide,have,little,issue,opinion,think,conduct,cynic,law,pass,reason,wonderful,people,bad,public,americans,America,Congress,fascinating,circle,sept,war,future,main,party,small,democrat,contrast,seem,terrorist,try,strike,al,operation,chief,somewhere,world,action,dedicated,scream,passage,sweeping,peacetime,devise,long,still,across,usually,argue,abortion,welfare,necessary,dangerous,defense,spend,much,total,disconnect,passionately,obsessively,half,rain,forest,go,produce,newsprint,seek,impose,regard,baleful,influence,politics,simply,can
,7,7,6,6,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 28, 2002, Tuesday",3 of 34 DOCUMENTS,The New York Post,PATAKI'S PROMISES GET 'LEFT' BEHIND,FREDRIC U. DICKER,All Editions; Pg. 021,,609 words,,,"May 28, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,Pataki,state,governor,spend,billion,New_York,back,elect,1994,range,issue,president,liberal,tax,record,GOP,gov,today,convention,run,republican,last,give,election,many,former,political,whole,every,critic,wide,include,term,government,entitlement,program,control,budget,percent,plan,increase,debt,massive,pay,union,latest,poll,re_election,Mario_Cuomo,Cuomo,record_high,head,open,clear,favorite,despite,democrat,outnumber,margin,gather,hotel,delegate,week,never,lose,conservative,anything,transformation,version,governmental,activist,big,spender,breathtaking,ally,bitterly,attest,think,move,middle,keep,go,clearly,leave,camp,financial,group,whose,founder,difficulty,voter,decide,future,side,past,within,outside,call,opportunist
,17,8,6,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 9, 2002, Monday",4 of 34 DOCUMENTS,The New York Post,SEARS' CREDIT WOES ; SALES SLIDE AND INTEREST-INCOME RELIANCE SPELL TROUBLE,Chirstopher Byron,All Editions; Pg. 035,,1301 words,,,"December 9, 2002",ENGLISH,,,Sears store and shoppers. AP,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,company,Sears,business,credit,percent,billion,store,sale,earning,per,merchandise,card,much,customer,stock,nearly,rate,share,retail,interest,income,price,go,already,change,decline,last,report,least,charge,operation,little,seem,mess,november,rise,holiday,turn,yet,folk,really,retailer,balance,sheet,equity,debt,book,revenue,hardly,operating,borrower,end,market,value,Wall_Street,Wal_Mart,generate,buy,everything,fall,high,season,another,thing,start,sick,line,today,6.2,derive,vulnerable,history,hard,current,take,likely,worse,begin,open,become,put,sell,urban,ago,319,square,foot,390,plunge,december,promise,time,digit,range,16th,straight,look,entire,run
,21,14,10,9,9,8,7,7,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 4, 2002, Monday",5 of 34 DOCUMENTS,The New York Post,INVESTOR PROPHYLACTICS,Christopher Byron,All Editions; Pg. 031,,1358 words,,,"February 4, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,Medi_Hut,company,business,Larval,financial,Marasco,go,market,stock,name,customer,Enron,Larry_Marasco,turn,thing,last,may,employee,million,revenue,sale,begin,sell,report,Wall_Street,really,corp,audit,least,back,president,start,trade,investor,outfit,way,soar,condom,become,1998,percent,own,replace,2001,current,know,storage,locker,square,Bradstreet,night,right,publicly,already,better,people,place,let,wipe,work,need,change,good,loss,lot,n.j.,certainly,look,undisclosed,tie,latest,annual,three,share,ago,200,cap,late,without,fellow,brother,firm,syringe,product,call,higher,bother,take,fold,though,continue,vallar,file,disclose,information,hold,address,industrial,park
,30,14,13,13,11,9,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 11, 2002, Monday",6 of 34 DOCUMENTS,The New York Post,KRISPY KREME BITES,Christopher Byron,All Editions; Pg. 031,,1438 words,,,"February 11, 2002",ENGLISH,,,N.Y. Post: Jennifer Weisbord,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,company,make,partnership,doughnut,Krispy_Kreme,financial,spe,business,million,entity,stock,building,bank,begin,use,balance,sheet,money,look,purpose,thing,debt,let,simply,synthetic,lease,factory,set,tenant,know,lot,special,turn,entire,partner,sell,percent,cost,Enron,Wall_Street,folk,accounting,spend,filing,share,disappear,we,something,really,gimmick,case,spes,call,put,asset,office,property,lie,back,footnote,growth,store,run,insider,last,increase,Special_Purpose,great,gang,around,loot,think,whole,next,lately,fund,current,climate,investor,single,right,least,obligation,represent,actually,auditor,recent,widespread,become,help,switch,pocket,good,reason,can,many,guy,wad,thousand
,17,10,10,9,9,8,8,8,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 17, 2002, Sunday",7 of 34 DOCUMENTS,The New York Post,SPITZER'S HOT AIR,,All Editions; Pg. 032,,517 words,,,"February 21, 2002",ENGLISH,,,Eliot Spitzer,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,plan,Bush,greenhouse,gas,emission,New_York,make,cut,America,president,clear,sky,last,week,air,anything,do,maybe,end,cost,hundred,reduction,group,policy,proposal,need,acid,rain,damage,act,temperature,radical,percent,warming,regardless,whether,trend,must,initiative,announce,name,improve,nation,quality,ever,much,ten,billion,dollar,government,private,compliance,measure,priority,fact,activist,green,praise,attorney,general,rollback,current,likely,bring,devastating,consequence,state,administration,grave,disappointment,every,american,breathe,clean,beneficiary,indefensible,owner,dirty,power,plant,coal,company,oil,industry,benefit,people,produce,evil,energy,chat,folk,speak,adirondack,park,upstate,notion,bear,nightmare,suffer
,6,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 11, 2002, Sunday",8 of 34 DOCUMENTS,The New York Post,BULL'S EYE,"Eric Moskowitz, Lisa Marsh, Lois Weiss and Jessica Sommar",All Editions; Pg. 029,,445 words,,,"August 15, 2002",ENGLISH,,,SAM WAKSAL JON MILLER,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,new,earning,use,fleet,kiosk,weight,customer,journal,column,interest,tax,amortization,stock,store,can,mat,next,line,chow,change,spokesperson,EBITA,CEO,sense,wsj,reporter,confusing,time,seem,trouble,hack,alphabet,soup,finance,section,monday,read,ebita,meet,playmate,discuss,imaginary,cousin,accounting,method,stand,umm,gome,mean,purpose,note,frankly,sound,better,winner,name,chairman,unit,succeed,recently,dump,editor,chief,mag,newsstand,sale,jump,percent,battle,people,intensify,president,tech,giant,report,strong,help,spark,blockbuster,week,lawsuit,actor,playwright,slice,profit,bestseller,ash,tis,loser,patriarch,cablevision,family,force,close,half,wiz,plan,sell,clearview
,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 2, 2002, Wednesday",9 of 34 DOCUMENTS,The New York Post,MIKE THE KNIFE: NEW MAYOR CALLS FOR 20% CUTS,DAVID SEIFMAN City Hall Bureau Chief,All Editions; Pg. 001,,718 words,,,"January 2, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,city,Bloomberg,mayor,million,president,new,office,borough,able,budget,staff,percent,Giuliani,afford,billion,public,big,yorker,address,everything,currently,cut,rebuild,school,oath,business,project,reduction,former,last,advocate,tell,urge,still,promise,world,state,leader,New_York,bloomberg,bluntly,warn,inaugural,finances,stretch,thin,"4,000",frigid,guest,hall,plaza,108th,move,quickly,lower,expectation,challenge,newly,elect,official,restoring,infrastructure,continue,fight,crime,reform,easy,current,economic,climate,billionaire,political,novice,speak,collective,sacrifice,moment,take,next,mother,turn,today,younger,daughter,require,tough,decision,hard,choice,we,government,nonprofit,sector,labor,without,mention,gap,fiscal,beginning
,11,9,8,8,7,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 17, 2002, Sunday",10 of 34 DOCUMENTS,The New York Post,STOCK PAYOFFS EMERGE DEVELOPING COUNTRIES TO SEE BOUNCE,EMILY LAMBERT,All Editions; Pg. 030,,485 words,,,"March 19, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
