PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 26, 2003, Wednesday",1 of 32 DOCUMENTS,The New York Post,THE SHEEP LOOK UP; BIPARTISAN ANTI-ALBANY REVOLT,Fredric U. Dicker,All Editions; Pg. 029,,841 words,,,"November 26, 2003",ENGLISH,,,Spartacus? Nassau County's Tom Suozzi.,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,state,New_York,Business_Council,business,people,Suozzi,government,change,policy,union,executive,political,plan,other,tax,council,Citizens_Budget_Commission,Albany,event,week,culture,may,attack,leave,nov,hold,drop,democratic,unmistakable,local,county,around,proposal,course,go,announce,insider,time,receive,support,legislator,note,group,connect,high,indeed,right,number,member,worsen,climate,chairman,politically,practice,earn,together,sign,become,real,hemmerdinger,hopeful,future,Nassau_County,Pataki,stun,past,provide,glimmer,hope,call,populist,remarkable,meeting,dysfunctional,govern,process,thomas,suozzi,bomb,highly,ambitious,weigh,defeat,lawmaker,next,order,send,message,albany,cripple,nice,suggest,adopt,similar,proverbial,lead,balloon,spark,denunciation
,12,10,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 7, 2003, Sunday",2 of 32 DOCUMENTS,The New York Post,CHANGING CLASSES; OVERHAUL KICKS IN TOMORROW,SUSAN EDELMAN and CARL CAMPANILE,All Editions; Pg. 020,,630 words,,,"September 12, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,school,new,city,parent,open,change,make,week,student,teacher,read,education,go,kid,high,Klein,grade,information,regional,reform,safety,write,staff,need,office,move,fast,math,curriculum,test,mistake,testing,public,department,spokesman,crisis,three,fail,include,pay,coordinator,replace,disruptive,special,service,provide,violent,extra,agent,center,hire,largest,experiment,tomorrow,ring,bell,business,morning,know,watch,multitude,institute,shot,friday,next,follow,critical,run,full,sure,great,start,urge,principal,call,hot,line,rapid,response,team,help,criticize,many,introduce,textbook,last,chancellor,method,clout,mayor,bloomberg,mayoralty,stake,success,heat,raise,score,climate,people
,21,12,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 28, 2003, Friday",3 of 32 DOCUMENTS,The New York Post,A NEWER LOOK FOR NEW WTC,WILLIAM NEUMAN,All Editions; Pg. 003,,460 words,,,"February 28, 2003",ENGLISH,,,"DANIEL LIBESKIND: Wants ""wall"" display.",,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,foot,memorial,space,wall,Libeskind,pit,plan,office,foundation,world,behind,glass,design,deep,site,million,square,Ground_Zero,street,level,spire,restaurant,among,change,original,praise,jag,building,instead,cover,9/11,input,Daniel,scarred,trade,center,shield,spindly,new,twist,rejigger,unveiled,win,architect,many,question,remain,future,scheme,include,agency,hire,mayor,bloomberg,gov,pataki,press,conference,officially,announce,selection,proposal,edge,soften,sit,bedrock,show,grass,starkly,gray,tallest,contain,110th,floor,replace,destroy,window,element,likely,raise,eyebrow,preoccupation,decay,concrete,basement,never,visible,part,hidden,attack,excavator,clear,debris,put,display,symbol,durability,democracy,fact
,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 9, 2003, Wednesday",4 of 32 DOCUMENTS,The New York Post,HOOTIE'S TRUMP CARD CAN BEAT BURK,George Willis,All Editions; Pg. 068,,605 words,,,"April 9, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,Burk,master,go,Johnson,plan,female,member,protest,make,gate,certainly,membership,protester,announcement,controversy,last,away,play,outside,Augusta_National,Farrell,normally,week,press,conference,ask,club,organization,announce,admit,2004,ultimate,hold,allow,saturday,change,support,have,public,golf,wood,issue,stage,try,tournament,inside,compete,ready,win,Martha_Burk,annual,sparsely,attend,speckle,occasional,yawns,morning,eye,ear,chairman,verbal,feud,head,attention,worldwide,media,smart,take,opportunity,halt,posse,checkmate,tomorrow,side,chance,claim,victory,good,political,squabble,end,rainbow,push,alter,eliminate,need,entrance,emphasis,demonstration,100,call,beginning,breath,however,pick,ground,shock,stance,thus
,8,7,6,6,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
