PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 17, 2010 Thursday",1 of 63 DOCUMENTS,The New York Post,CLIMATE HEAT ON O FROM BOTH PARTIES,CHARLES HURT Bureau Chief,All Editions; Pg. 10,,577 words,,,"June 17, 2010",ENGLISH,,,-U.S. Senate badge logo. -NO SMOKING: Smokestack industries - and everyday energy consumers - could pay a price under carbon-emission limits. [AP] -U.S. Senate badge logo.,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,bill,energy,Obama,company,tax,emission,legislation,cap,climate,pass,cost,household,use,guidance,democrat,carbon,plant,percent,Senate,McConnell,president,gulf,advance,time,leave,stall,amount,job,national,increase,consumer,sen,last,call,argue,provide,liberal,go,remain,set,market,allow,buy,sell,accord,congressional,income,per,billion,climate_change,cap_and_trade,skewer,right,oil,spill,agenda,lambast,give,concrete,approve,push,highly,controversial,trade,plan,penalize,produce,dioxide,republican,charge,measure,massive,hike,productive,kill,way,save,planet,greenhouse,gas,responsible,change,hold,hostage,try,half,leader,mitch,tell,contain,direct,gasoline,widely,agree,corporation,especially,lindsay,graham,help
,8,7,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 22, 2010 Monday",2 of 63 DOCUMENTS,The New York Post,THE EPA'S CLIMATE CON,,All Editions; Pg. 22,,387 words,,,"February 22, 2010",ENGLISH,,,,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,warming,power,climate,alarmist,agency,EPA,last,challenging,recent,revelation,consensus,cause,give,case,carbon,impose,look,great,unravel,none,soon,three,state,week,file,papers,scheme,use,fear,seize,sweeping,much,economy,official,charge,scientific,human,catastrophic,undermine,decision,regulate,greenhouse,gass,pollutant,inordinate,nearly,every,industry,country,certainly,good,among,leak,december,show,scientist,formerly,prestigious,conspire,hide,inconvenient,data,attempt,intimidate,skeptic,key,find,un,intergovernmental,panel,2007,along,reveal,utterly,bogus,claim,evidence,beyond,citation,science,magazine,global,glacier,disappear,2035,director,admit,temperature,may,higher,today,technical,reason,huge,blow,confess,statistically,significant,past
,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 30, 2010 Saturday",3 of 63 DOCUMENTS,The New York Post,OSAMA BLOWS ECO-SMOKE,JENNIFER FERMINO,All Editions; Pg. 4,,358 words,,,"February 1, 2010",ENGLISH,,,Osama bin Laden in tye-dye shirt with peace necklace flashing a peace (V) sign with his fingers. [Post photo illustration],,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,bin,climate,change,Laden,tape,big,world,new,take,bemoan,influence,business,live,country,agreement,behind,public,Osama,United_States,global_warming,sounding,food,clerk,leader,terror,cabal,release,gripe,global,warming,seriously,corrup,unlikely,advocate,green,qualm,gleefully,kill,almost,"3,000",victim,soil,9/11,naysayer,lay,message,whole,responsible,repercussion,whether,intentionally,unintentionally,action,must,lade,speak,matter,intellectual,luxury,phenomenon,actual,fact,audiotape,air,al,put,fault,squarely,nation,industrialize,especially,bear,responsibility,crisis,lecture,verify,intelligence,agency,rip,favorite,whipping,boy,former,president,w.,bush,ratify,place,target,develop,precede,congress,dismiss,placate,giant,corporation,stand,speculation,monopoly
,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 25, 2010 Sunday",4 of 63 DOCUMENTS,The New York Post,HOT-BUTTON DC POLITICS,,Sports+Late City Final; Pg. 15,,120 words,,,"April 27, 2010",ENGLISH,,,,,,Newspaper,"Copyright 2010 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,immigration,threaten,energy,climate,legislation,move,reform,bill,Republican,sen,lindsey,graham,withdraw,support,democrat,senator,three,comprehensive,schedule,unveiled,tomorrow,letter,leader,back,away,measure,call,cynical,political,ploy,push,ahead,anger,environmentalist,best,chance,recent,pass,address,global,warming,post,wire,service,WASHINGTON,South_Carolina,co_sponsors,climate_change,Senate,Graham,Senate_Majority_Leader_Harry_Reid,D_Nev.
,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
