PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 10, 2018 Wednesday",8 of 169 DOCUMENTS,USA TODAY,"After year of disasters, Gore still has hope for climate; The world is on cusp of revolution, he says","Sammy Roth, USA TODAY",NEWS; Pg. 4A,,741 words,,,"January 10, 2018",ENGLISH,,,photo Zoe Meyers/The Desert Sun,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,climate,Gore,world,country,change,agreement,Trump,Paris,movement,president,new,point,plan,solar,wind,power,billion,people,scientist,disaster,still,think,U.S.,thousand,business,wildfire,2017,slow,film,sign,sell,amount,carbon,limit,fund,gas,reach,beginning,revolution,exceed,damage,though,many,nearly,every,fear,deal,rest,we,do,degree,large,late,leadership,denial,India,China,Industrial_Revolution,California,United_States,million,life,elsewhere,upend,hurricane,ten,lose,home,last,mock,science,twitter,reject,international,administration,begin,undoing,dozen,regulation,mean,rise,global,temperature,despite,optimistic,interview,today,screen,inconvenient,sequel,truth,week,call,progress,electric,vehicle,2030,generate,stagger
,11,9,6,6,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 28, 2018 Wednesday",10 of 169 DOCUMENTS,USA TODAY,"To save its ice, hockey is thinking green","Erik Brady, USA TODAY",NEWS; Pg. 1A,,841 words,,,"March 28, 2018",ENGLISH,,,,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,NHL,report,climate,league,sport,fiscal,save,pond,change,hockey,environmental,sustainability,energy,skate,may,thing,game,freeze,player,impact,hershkowitz,use,carbon,global,think,initiative,consumption,2014,2016,important,back,policy,play,ice,average,season,accord,chairman,away,country,fan,last,cause,try,vice,president,social,rise,temperature,period,time,go,critical,future,show,launch,reduce,water,measure,can,generation,team,rink,Hockey,Canada,feature,glove,stick,though,nothing,really,next,audacious,set,sight,planet,sound,joke,well,many,learn,trouble,length,shrink,eastern,western,canada,decade,research,2018,wednesday,morning,assess,commitment,fight,all,found,director,credit
,14,10,7,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 24, 2018 Tuesday",11 of 169 DOCUMENTS,USA TODAY,Climate change linked to suicides; Study suggests rates could rise with temps,"Doyle Rice, USA TODAY",NEWS; Pg. 1A,,659 words,,,"July 24, 2018",ENGLISH,,,,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,suicide,temperature,study,rate,find,climate,increase,health,change,lead,United_States,suggest,cost,author,cause,death,organization,last,factor,risk,Mexico,U.S.,decade,researcher,warm,accord,report,hurt,human,additional,across,mental,tragic,percent,monthly,result,number,nearly,risen,globally,"800,000",people,understanding,consider,medication,prescription,executive,director,suicidal,warming,three,look,language,twitter,co_author,Burke,Suicide_Awareness_Voices,Education,non_profit,rise,link,monday,compare,historical,data,go,back,strong,correlation,weather,publish,journal,know,century,conflict,violence,tend,peak,warmer,addition,other,individual,appear,heat,profoundly,affect,mind,decide,inflict,harm,"9,000","44,000",2050,may,decisive,evidence,substantial,effect,0.7
,18,8,8,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 18, 2018 Thursday",15 of 169 DOCUMENTS,USA TODAY,"Nuclear threat is rising, global risks report says","Kim Hjelmgaard, USA TODAY",NEWS; Pg. 4A,,454 words,,,"January 18, 2018",ENGLISH,,,,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,leader,world,risk,global,forum,Trump,business,economic,major,war,cyberattack,disaster,top,list,accord,survey,international,include,extreme,weather,climate,change,nuclear,concern,president,power,conflict,environment,terrorism,system,deal,record,southern,North,environmental,threat,stability,2018,"1,000",government,education,service,group,chance,another,financial,meltdown,ebb,expansion,happen,worldwide,annual,find,release,wednesday,ahead,meeting,next,week,mother,nature,face,second,straight,show,natural,may,abet,climb,result,test,ballistic,missile,weapon,vow,annihilate,launch,attack,respondent,expect,worsen,political,confrontation,friction,nearly,believe,associate,military,incursion,regional,draw,higher,past,join,resort,jan,schedule,give,close
,5,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 16, 2018 Wednesday",18 of 169 DOCUMENTS,USA TODAY,Hurricane Harvey's record rain tied directly to warmer Gulf,"Doyle Rice, USA TODAY",NEWS; Pg. 4A,,265 words,,,"May 16, 2018",ENGLISH,,,,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,rain,ocean,storm,Harvey,warm,water,study,climate,change,heat,record,gulf,rainfall,last,august,accord,find,people,damage,amount,seawater,degree,much,hurricane,Hurricane_Harvey,Trenberth,fuel,historic,partly,blame,foot,southeast,trigger,flooding,kill,cause,126,billion,displace,"30,000",destroy,"200,000",home,business,highest,ever,scientist,show,time,volume,land,correspond,evaporate,unusually,lead,author,nearly,help,boost,word,store,directly,related,unload,single,dump,history,warmer,increase,risk,greater,intensity,duration,main,ingredient,formation,least,harvey,produce,without,troubling,harbinger,future,continue,expect,supercharge,Record,Mexico,man_made,Texas,Kevin_Trenberth,National_Center,Atmospheric_Research,Gulf,Washington_Post,Capital_Weather_Gang,USA,human_induced
,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 5, 2018 Monday",26 of 169 DOCUMENTS,USA TODAY,"Opposing view: 'A costly, unfair and ineffective tax'",Bob Edwards,OPINION; Pg. 5A,,376 words,,,"November 5, 2018",ENGLISH,,,,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,state,tax,billion,increase,initiative,per,energy,cost,voter,new,measure,impact,climate,1631,family,pay,gasoline,gas,2020,within,alone,household,damage,economy,firm,reduce,cent,gallon,spend,accountability,Washington,ask,important,question,cleanest,greenest,nation,saddle,badly,write,change,deeply,flaw,unfairly,draft,force,small,business,farmer,consumer,higher,heating,fuel,electricity,natural,well,goods,service,impose,fee,ton,certain,carbon,emission,beginning,plus,inflation,quadruple,limit,high,go,analysis,show,2.3,five,especially,hurt,senior,work,least,afford,fact,include,language,purport,mitigate,evidence,regressive,nature,proposal,study,consulting,find,collect,equivalent,"21,300",job,gross,product
,6,6,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 17, 2018 Wednesday",28 of 169 DOCUMENTS,USA TODAY,"Trump's job review, from Putin with love",Steven Strauss,NEWS; Pg. 7A,,680 words,,,"January 17, 2018",ENGLISH,,,graphic,,,NEWSPAPER,"Copyright 2018 Gannett Company, Inc.                               All Rights Reserved"
,U.S.,America,have,ally,major,Russia,much,world,keep,damage,climate,university,gop,destroy,attack,devastate,better,country,confidence,presidency,president,job,nuclear,war,openly,necessary,great,send,leader,put,gesture,result,make,disaster,tax,increase,research,FBI,North_Korea,sincere,thanks,leadership,unstinting,work,behalf,realize,prepare,performance,review,do,we,include,verbal,sing,praise,encourage,racial,religious,animosity,among,americans,dismantling,undermine,highlight,success,ability,lead,draw,support,faster,think,possible,go,across,report,drop,median,key,plummete,dramatically,fantastic,steering,conflict,instead,try,avoid,disastrous,team,speculate,military,action,might,way,paranoid,edge,bit,bellicosity,trigger,clash
,14,11,6,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
