PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 9, 1997, Tuesday",1 of 135 DOCUMENTS,USA TODAY,Testing the air up there,Tim Friend,LIFE; Pg. 6D,,1969 words,"LA JOLLA, Calif.",,"September 09, 1997",ENGLISH,,,"GRAPHIC, B/W, Grant Jerding, USA TODAY, Source: USA TODAY reserch by Tim Friend; Center for Clouds, Chemistry and Climate (Diagram, Map); PHOTO, B/W, Harvey Nichols; PHOTO, B/W",SCIENCE,,,"Copyright 1997 Gannett Company, Inc."
,aerosol,warming,cloud,global,climate,tree,scientist,air,radiation,line,study,pollutant,make,change,become,atmosphere,solar,cool,region,new,amount,emission,sulfur,cause,greenhouse,sea,time,natural,measure,show,temperature,surface,India,Nichols,century,last,occur,director,ocean,affect,chemistry,carry,aircraft,measurement,polar,north,INDOEX,man_made,country,may,effect,field,question,gas,find,predict,scientific,source,nation,mirror,clear,reflect,back,provide,wind,determine,type,ship,issue,farther,respond,whether,mile,work,permafrost,Chemistry,Earth,Ramanathan,pollution,generate,emerge,impact,100,lead,begin,address,carbon,dioxide,regulate,complexity,industrial,power,ago,biggest,warm,produce,burn,coal,many
,18,14,14,12,11,11,10,9,9,9,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 22, 1997, Tuesday",4 of 135 DOCUMENTS,USA TODAY,Geology's deep secrets Under the ocean's floor lie answers to the cycles of life,Tim Friend,LIFE; Pg. 4D,,1224 words,ABOARD THE JOIDES RESOLUTION,,"July 22, 1997",ENGLISH,,,"GRAPHIC, Color, Grant Jerding, USA TODAY, Source: Joint Oceanographic Institutions (Diagram); GRAPHIC, B/W, Grant Jerding, USA TODAY, Source: Joint Oceanographic Institutions (Diagram)",,,,"Copyright 1997 Gannett Company, Inc."
,sediment,sea,Earth,ocean,core,ship,climate,floor,foot,scientist,level,Austin,history,mile,study,past,million,cycle,period,last,warming,glacier,change,isotope,occur,glaciation,JOIDES,ODP,Christie_Blick,beneath,finding,fall,operation,mission,leg,record,force,continental,way,water,organisms,thread,drill,shelf,sand,cool,every,"100,000",resolution,technician,pull,rock,coast,reveal,risen,answer,global,much,geological,regular,know,174,understand,obtain,back,time,evolution,work,today,current,look,odp,story,oxygen,skeleton,chapter,extend,around,think,shallow,"2,000",week,discover,"16,000",ago,farther,deep,layer,orbit,sun,New_Jersey,co_chief,Texas,Milankovitch,aboard,cry,deck,blare,loudspeaker
,11,10,10,9,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
"March 7, 1997, Friday",6 of 135 DOCUMENTS,USA TODAY,Expect health effects from climate changes,Anita Manning,LIFE; Pg. 9D,,375 words,"BETHESDA, Md.",,"March 07, 1997",ENGLISH,,,,,,,"Copyright 1997 Gannett Company, Inc."
,century,climate,rise,sea,cause,water,change,environmental,effect,global,warming,health,next,scientist,meeting,affect,life,temperature,level,inch,disease,mosquitoe,carry,increase,drought,md,profound,human,middle,conference,crisis,doomsday,speak,thursday,occupational,effort,aim,reduce,pollutant,ultimately,permit,recovery,lag,time,repercussion,feel,thing,have,take,grant,pressure,tinker,support,system,emission,gas,carbon,dioxide,methane,stop,tomorrow,worldwide,continue,several,anticipate,result,last,geography,professor,enough,destroy,salt,marsh,submerge,island,another,131,erosion,land,loss,displacement,coastal,population,widespread,infectious,dengue,fever,malaria,thrive,hot,humid,region,tropical,broaden,likely,range,expand,risk,transmission
,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 16, 1997, Tuesday",8 of 135 DOCUMENTS,USA TODAY,Lake yields roots of climate changes Scientists study 'layer cake' of sediment,Tim Friend,LIFE; Pg. 6D,,528 words,,,"December 16, 1997",ENGLISH,,,"PHOTO, B/W, Paul Baker, Duke University; PHOTO, B/W",SCIENCE,,,"Copyright 1997 Gannett Company, Inc."
,lake,core,sediment,level,take,bottom,provide,boat,team,foot,climate,record,study,wash,great,fall,new,research,work,within,ocean,find,ice,dating,back,punch,type,change,retrieve,Lake_Titicaca,Earth,National_Science_Foundation,highest,world,and,underwent,dramatic,water,"9,000","3,500",ago,show,"12,500",sea,900,deepest,point,least,300,shrank,considerably,size,drop,decimate,ancient,civilization,depend,upon,indicate,period,arid,geologist,finding,make,long,shallow,along,shoreline,scientist,area,deep,history,accuracy,detail,glacier,similar,funding,agency,country,engage,site,pole,equator,floor,continent,together,unprecedented,view,hundred,million,"25,000",eventually,"100,000",think,thing,accumulate,layer,cake,tube
,17,10,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
