PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 14, 1998, Tuesday",1 of 109 DOCUMENTS,USA TODAY,'A window on the future' of weather,Jack Williams,LIFE; Pg. 7D,,474 words,,,"April 14, 1998",ENGLISH,,,"GRAPHIC, B/W, Dave Merrill, USA TODAY, Source: USA TODAY research by Jack Williams (Diagram)",SCIENCE,,,"Copyright 1998 Gannett Company, Inc."
,el,nino,weather,warming,climate,world,extreme,global,warmer,hurricane,future,model,may,bring,change,cause,computer,we,baker,can,forecast,NOAA,fall,give,pattern,scientist,strength,modeling,head,show,effect,center,stronger,big,predict,whether,forecaster,able,ahead,research,Karl,disrupt,offer,glimpse,seem,heavy,rain,many,area,name,central,eastern,pacific,occur,every,seven,measure,much,normal,water,become,tell,manifest,d.,jame,word,winter,taste,might,expect,warm,window,stress,strong,always,attribute,increase,indication,amplify,national,climatic,data,latest,similar,past,however,generally,detail,unanswer,question,affect,reduce,number,threaten,researcher,yet,fewer,either,globally
,15,15,7,7,6,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 2, 1998, Wednesday",2 of 109 DOCUMENTS,USA TODAY,Unknown factors still surround global warming,Traci Watson,NEWS; Pg. 17A,,559 words,,,"December 03, 1998",ENGLISH,,,"PHOTO, b/w, Jim Cooper, AP",,,,"Copyright 1998 Gannett Company, Inc."
,warming,still,climate,scientist,gas,sun,greenhouse,Earth,global,note,Hansen,take,temperature,uncertainty,paper,give,politician,subject,reflect,scientific,papers,way,new,show,much,think,human,cause,use,heat,many,affect,particle,there,by,help,planet,effect,change,knowledge,point,record,international,treaty,write,action,nation,costly,step,prevent,stake,career,subtle,rise,promise,unleash,posse,natural,disaster,dispute,recent,earliest,outspoken,raising,alarm,1988,testimony,bring,public,eye,fast,hansen,part,produce,trap,normally,radiate,space,article,publish,oct,issue,proceedings,ignorance,factor,world,example,car,power,plant,spout,tiny,soot,pollutant,atmosphere,sunlight,cloud,formation,cool
,8,6,6,6,6,6,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 20, 1998, Tuesday",13 of 109 DOCUMENTS,USA TODAY,Mission to map threatened reefs,Tim Friend,LIFE; Pg. 5D,,713 words,,,"January 20, 1998",ENGLISH,,,"PHOTO, Color, Gonzalo Arcila; PHOTO, Color, Michael Lippitsch",SCIENCE,,,"Copyright 1998 Gannett Company, Inc."
,reef,coral,crew,ocean,vessel,foundation,ship,study,Heraclitus,research,sailing,global,map,sea,mile,sail,diver,collect,core,tropical,voyage,planetary,samples,wide,range,scientific,earth,forest,grow,people,include,member,underwater,video,survey,make,carbon,dioxide,student,eight,boat,carry,Sunda_Straits,Bali,Western,know_how,somewhere,leg,1998,explore,third,mission,lead,nonprofit,use,create,resemble,junk,take,remarkably,exist,live,president,good,estimate,abundance,less,know,species,composition,status,complex,community,among,diverse,ecosystem,rain,home,fish,population,host,countless,invertebrate,exotic,plant,sustain,may,yield,important,natural,drug,fight,cancer,disease,line,"60,000",coastline,109,country
,17,15,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 21, 1998, Tuesday",14 of 109 DOCUMENTS,USA TODAY,It's a good year for incumbents,William M. Welch,NEWS; Pg. 4A,,1016 words,WASHINGTON,,"April 21, 1998",ENGLISH,,,"GRAPHIC, B/W, Kevin Rechin, USA TODAY, Source: USA TODAY/CNN/Gallup telephone poll of 1, 007 adults Friday-Sunday. Margin of error: + or - 3 percentage points(Bar graph, Line graph, Pie chart); PHOTO, B/W; PHOTO, B/W, AP",,,,"Copyright 1998 Gannett Company, Inc."
,incumbent,republican,democrat,Congress,re_election,House,good,majority,party,congressional,member,high,time,1994,election,change,political,voter,shape,run,find,approval,think,help,candidate,go,race,face,challenger,money,campaign,public,1980,rate,1996,seat,many,Republican,Clinton,strong,economy,contentment,big,result,1998,deserve,another,control,may,last,investigation,throughout,unopposed,opponent,challenge,vulnerable,group,1990,bring,presidential,late,nearly,much,defeat,capture,hold,particularly,watch,office,low,turnout,better,rep.,head,climate,spend,constituent,GOP,Starr,Democratic,Senate,Hayworth,riding,feeling,secure,beginning,decade,federal,budget,balance,deficit,prospect,surplus,horizon,accomplishment,point,mark,inaction,highly
,14,11,10,9,7,7,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
