PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 19, 1999, Tuesday",1 of 78 DOCUMENTS,USA TODAY,Antarctica's icy grip may be slowly loosening,Jack Williams,LIFE; Pg. 6D,,1187 words,"McMURDO STATION, Antarctica",,"January 19, 1999",ENGLISH,,,"GRAPHIC, B/W, Dave Merrill, USA TODAY, Source: Jane Ferrigno, U.S. Geological Survey; The West Antarctic Ice Sheet Initiative; USA TODAY research by Jack Williams (Illustration)",SCIENCE,,,"Copyright 1999 Gannett Company, Inc."
,ice,Antarctica,sea,scientist,sheet,WAIS,water,melt,world,level,foot,melting,stream,global,rise,go,much,might,climate,collapse,bottom,move,ocean,mile,warming,likely,warmer,begin,Ross_Ice_Shelf,cover,continent,cause,200,scenario,live,rock,edge,shelf,fall,river,many,time,use,inch,another,century,West_Antarctic_Ice_Sheet,sea_level,other,work,call,make,imagine,state,give,effect,around,least,hundred,worry,add,determine,coastal,part,large,toward,thick,600,quickly,change,place,elevation,drill,study,seem,snow,people,happen,take,storm,slow,oppenheimer,increase,child,grandchild,affect,Antarctic,fly,immensity,overwhelming,last,hour,trip,practically,thing,visible,airplane,window,bare
,45,14,10,9,9,9,8,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"December 16, 1999, Thursday",2 of 78 DOCUMENTS,USA TODAY,Global warming propaganda trumps science,David Mastio,NEWS; Pg. 19A,,1373 words,,,"December 16, 1999",ENGLISH,,,"GRAPHIC, b/w, Grant Jerding, USA TODAY(Map); PHOTO, b/w, GNS; PHOTO, b/w, Mark Wilson, AP; PHOTO, b/w, Todd Lewan, AP; PHOTO, b/w, Adrin Snider, AP; PHOTO, b/w, Tim Friend, USA TODAY",,,,"Copyright 1999 Gannett Company, Inc."
,warming,global,change,scientist,study,map,climate,ice,environmental,evidence,spread,record,glacier,group,anecdote,report,world,time,much,cause,predict,environmentalist,blame,accord,disease,area,fever,prove,concern,wrong,today,temperature,expect,central,increase,melting,sheet,100,public,include,real,story,fit,big,along,almost,agree,problem,picture,neglect,view,1980,degree,still,way,many,science,determine,mean,happen,plant,disrupt,pattern,link,turn,point,species,average,insignificant,natural,number,food,idea,anything,snow,air,several,frog,show,weather,country,price,1998,cotton,low,effect,polar,question,remain,march,large,may,break,foot,deadly,common,tropical,mosquitoe,due
,23,20,10,9,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 20, 1999, Tuesday",3 of 78 DOCUMENTS,USA TODAY,Tide turns on tech Money floods industrials,David Rynecki,MONEY; Pg. 1B,,1128 words,NEW YORK,,"April 20, 1999",ENGLISH,,,"GRAPHIC, Color, Julie Stacey, USA TODAY, Sources: Bloomberg and AP (BAR GRAPH, CHART)",COVER STORY,,,"Copyright 1999 Gannett Company, Inc."
,stock,market,investor,last,many,monday,tech,earning,bull,rotation,industrial,recent,leave,money,global,performance,time,economy,back,point,name,handful,share,lead,analyst,nearly,longer,gain,fund,rate,list,Microsoft,record,advance,way,reward,ever,firm,manager,trader,leader,behind,flow,take,reason,april,high,stun,force,crisis,demand,sector,week,latest,among,price,much,have,head,indexe,fall,mutual,note,issue,least,change,interest,federal,reserve,away,top,life,oil,example,good,suggest,inflation,feed,Nasdaq,Dow,Wall_Street,America_Online,small_company,McCabe,feast,famine,grip,vicious,fleeing,pricey,technology,search,downtrodden,giant,underscored,conflict,average,enter,session
,22,15,10,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 12, 1999, Tuesday",4 of 78 DOCUMENTS,USA TODAY,Earth continues warming trend Average temperature in 1998 hottest in more than a century,Traci Watson,NEWS; Pg. 2A,,283 words,,,"January 12, 1999",ENGLISH,,,"PHOTO, b/w, Melanie Einzig, AP",,,,"Copyright 1999 Gannett Company, Inc."
,1998,scientist,average,el,nino,gas,temperature,warmest,degree,news,likely,hottest,20th,warmer,view,heat,global,warming,greenhouse,data,Earth,trustworthy,measurement,make,119,ago,report,monday,planet,surface,58.1,1.2,higher,recent,confirm,seem,last,hold,almost,monthly,conference,let,sweaty,nation,know,january,june,steamiest,july,forth,end,world,meteorological,organization,call,1860,agency,international,group,note,straight,however,mean,continue,part,warmth,strongest,century,ever,pool,warm,ocean,water,coast,affect,climate,worldwide,indication,cause,emission,release,factory,car,many,building,trap,atmophere,certainly,contributor,senior,national,climatic,center,n.c.,explanation,consistent,increase,though,undisputed
,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
